ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
32765	1	B	A	C	D	A	D	D	D	A	B	D	D	B	C	B	A	A	A	D	A	C	C	D	A	C	C	C	B	D	B
33518	1	B	A	D	D	B	D	C	D	A	X	D	X	X	C	B	B	A	A	D	X	C	B	D	B	B	B	B	B	D	X
32248	1	B	A	D	D	B	D	D	D	A	C	C	X	B	A	B	B	A	A	X	X	C	B	X	B	C	C	X	B	D	X
33281	1	B	A	D	D	B	D	D	D	A	A	C	D	B	C	X	D	A	A	D	B	C	C	A	A	C	C	C	B	D	X
33664	1	B	A	D	D	B	D	D	D	A	B	C	A	B	C	A	D	A	A	D	B	C	B	A	B	C	B	C	B	D	C
32673	1	B	A	D	D	B	D	D	A	A	B	C	A	B	C	A	B	D	C	D	X	C	X	D	A	B	C	C	D	X	X
33090	1	B	B	D	B	B	C	A	B	A	X	D	X	B	C	A	B	A	A	D	X	X	C	A	A	C	C	X	B	X	X
32190	1	B	A	D	D	B	C	D	D	A	B	C	D	B	C	B	B	A	A	D	B	C	B	A	B	C	B	C	B	D	B
33802	1	B	A	D	D	B	C	D	D	A	B	C	A	B	C	X	X	B	A	D	X	C	B	X	B	X	B	X	B	X	X
32940	1	B	A	D	D	B	D	D	D	A	B	D	X	B	C	A	X	A	A	D	B	C	B	A	B	C	X	C	B	D	B
33794	1	B	A	D	D	B	C	D	A	A	B	D	X	B	C	A	B	X	X	X	X	X	B	X	C	B	B	X	C	X	X
32875	1	B	A	D	D	B	C	A	D	A	A	B	C	B	C	B	B	A	B	C	X	B	B	C	B	C	C	D	B	X	C
33679	1	A	A	D	D	B	D	D	B	A	B	C	A	B	C	A	A	A	C	D	B	D	C	A	B	C	C	C	B	D	B
32696	1	B	A	C	D	B	D	D	D	A	D	C	D	X	C	A	B	D	B	D	B	C	C	A	A	C	C	X	B	X	X
33055	1	C	A	D	D	A	D	D	C	A	B	C	A	C	C	B	B	A	C	D	A	C	D	A	A	A	A	D	B	D	D
33766	1	B	A	D	D	B	D	D	X	A	B	C	X	B	C	A	X	A	B	D	B	C	C	D	B	C	C	B	C	X	B
32817	1	B	A	D	D	B	D	D	D	A	B	C	D	B	C	B	B	A	X	D	B	C	B	A	B	B	C	B	B	X	B
33789	1	B	A	D	D	B	D	B	B	A	B	D	B	B	C	A	B	C	A	D	B	D	C	A	B	C	C	B	B	D	C
33516	1	B	A	D	D	B	D	D	A	A	B	C	D	B	C	A	C	A	A	B	A	C	X	D	B	C	C	D	B	D	X
33137	1	B	A	D	D	A	C	D	D	A	B	D	C	A	C	B	B	C	A	B	B	C	C	A	D	C	B	C	C	D	C
32543	1	B	A	D	D	B	C	D	D	A	B	C	X	B	C	A	B	A	A	D	X	B	C	A	B	C	B	B	B	D	X
32177	1	B	A	D	D	B	D	D	X	A	B	C	X	B	C	B	B	X	A	D	B	C	B	A	X	C	B	C	B	D	B
32806	1	B	A	D	D	X	C	D	X	A	D	C	X	X	C	A	B	A	X	D	B	X	X	C	A	B	X	X	B	B	C
33369	1	C	A	D	D	A	C	D	A	A	B	C	A	X	C	B	B	C	A	D	D	C	D	A	A	C	C	D	C	D	C
32524	1	B	A	D	D	B	X	D	D	A	B	C	D	B	C	X	X	X	A	D	B	C	X	A	A	X	C	C	B	D	X
33521	1	B	A	D	D	B	D	D	D	A	B	C	D	B	C	A	B	A	A	D	B	D	C	A	B	C	B	D	B	D	B
33295	1	B	A	D	D	B	D	D	D	A	X	A	D	B	C	A	X	A	A	X	B	A	C	X	A	X	C	X	X	D	X
32518	1	A	A	D	D	B	D	D	D	A	B	C	D	B	C	A	B	A	D	D	B	C	B	A	A	C	B	C	B	D	B
32630	1	B	A	D	D	B	D	D	D	D	B	C	D	B	C	B	B	A	A	D	A	C	C	D	B	C	B	C	B	X	X
32946	1	B	A	D	D	B	D	D	B	A	B	C	X	X	C	A	B	C	A	D	X	C	X	D	B	B	C	X	C	D	X
32952	1	B	B	D	D	B	D	D	B	A	C	C	D	B	C	A	B	A	D	D	B	D	C	D	B	C	C	C	B	D	B
33347	1	B	A	D	D	B	D	D	D	A	B	X	X	B	C	A	B	A	X	D	A	D	B	A	B	C	C	C	B	D	X
33486	1	B	A	D	D	B	D	D	X	A	B	X	X	B	C	C	B	X	B	D	A	C	C	A	B	B	C	B	X	D	X
32793	1	B	B	D	D	B	D	D	D	A	B	C	D	B	C	A	B	A	B	C	B	B	C	D	B	B	C	D	C	D	D
33722	1	B	A	D	D	B	D	D	D	A	B	C	X	B	C	A	B	D	A	D	X	C	X	A	B	C	C	X	B	D	X
32463	1	B	A	D	D	B	D	D	D	A	B	C	X	X	C	A	B	A	A	D	X	C	B	A	B	C	C	C	B	D	C
32588	1	B	A	D	D	B	D	D	B	A	B	C	A	B	C	B	X	A	A	D	B	A	B	A	A	C	C	C	B	D	X
33942	1	B	A	D	D	B	D	A	D	A	B	D	B	B	C	B	C	A	C	B	A	D	C	A	A	C	A	D	B	C	C
32865	1	B	A	D	D	B	D	D	A	A	B	C	X	B	C	A	B	B	C	X	A	C	B	A	B	C	B	C	B	D	B
