ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore	logicaJuist	logicaFout	logicaBlanco	logicaScore
33722	1	1	22	3	5	14	22	3	5	21	6	0	0	6	16	3	5	15	7	1	1	7	11	1	4	11	2	0	0	2	2	0	0	2	0	1	0	0
32463	1	1	24	3	3	15	24	3	3	23	6	0	0	6	18	3	3	17	8	0	1	8	13	2	1	12	1	0	1	1	2	0	0	2	0	1	0	0
32588	1	1	23	5	2	14	23	5	2	21	6	0	0	6	17	5	2	15	7	2	0	6	13	1	2	13	2	0	0	2	1	1	0	1	0	1	0	0
33942	1	0	16	14	0	8	16	14	0	11	6	0	0	6	10	14	0	5	5	4	0	4	8	8	0	5	2	0	0	2	1	1	0	1	0	1	0	0
32865	1	1	23	5	2	14	23	5	2	21	6	0	0	6	17	5	2	15	5	2	2	4	14	2	0	13	2	0	0	2	1	1	0	1	1	0	0	1
33072	1	1	23	2	5	15	23	2	5	22	4	0	2	4	19	2	3	18	9	0	0	9	10	1	5	10	2	0	0	2	2	0	0	2	0	1	0	0
33129	1	1	19	11	0	10	19	11	0	15	4	2	0	3	15	9	0	12	4	5	0	2	12	4	0	11	2	0	0	2	1	1	0	1	0	1	0	0
32609	1	1	24	6	0	15	24	6	0	22	6	0	0	6	18	6	0	16	7	2	0	6	14	2	0	13	2	0	0	2	1	1	0	1	0	1	0	0
33643	1	1	24	4	2	15	24	4	2	23	5	1	0	5	19	3	2	18	8	1	0	8	11	3	2	10	2	0	0	2	2	0	0	2	1	0	0	1
33654	1	1	24	4	2	15	24	4	2	23	5	1	0	5	19	3	2	18	8	1	0	8	11	3	2	10	2	0	0	2	2	0	0	2	1	0	0	1
32425	1	1	21	9	0	12	21	9	0	18	6	0	0	6	15	9	0	12	7	2	0	6	11	5	0	9	2	0	0	2	1	1	0	1	0	1	0	0
32924	1	1	17	7	6	10	17	7	6	15	5	1	0	5	12	6	6	10	5	3	1	4	10	4	2	9	2	0	0	2	0	0	2	0	0	0	1	0
33577	1	1	26	4	0	16	26	4	0	25	6	0	0	6	20	4	0	19	8	1	0	8	13	3	0	12	2	0	0	2	2	0	0	2	1	0	0	1
32328	1	1	26	2	2	17	26	2	2	25	6	0	0	6	20	2	2	19	6	1	2	6	15	1	0	15	2	0	0	2	2	0	0	2	1	0	0	1
33900	1	0	11	19	0	3	11	19	0	5	3	3	0	2	8	16	0	3	2	7	0	0	7	9	0	4	2	0	0	2	0	2	0	0	0	1	0	0
33708	1	1	21	9	0	12	21	9	0	18	6	0	0	6	15	9	0	12	7	2	0	6	10	6	0	8	2	0	0	2	1	1	0	1	1	0	0	1
32422	1	0	14	11	5	7	14	11	5	10	5	1	0	5	9	10	5	6	4	5	0	2	9	3	4	8	0	1	1	0	0	2	0	0	1	0	0	1
33409	1	0	11	9	10	5	11	9	10	8	4	2	0	3	7	7	10	5	2	3	4	1	6	5	5	4	1	1	0	1	1	0	1	1	1	0	0	1
33573	1	1	21	9	0	12	21	9	0	18	6	0	0	6	15	9	0	12	7	2	0	6	11	5	0	9	2	0	0	2	1	1	0	1	0	1	0	0
33607	1	0	13	5	12	8	13	5	12	11	3	3	0	2	10	2	12	9	3	1	5	3	8	2	6	7	0	1	1	0	2	0	0	2	0	1	0	0
32198	1	1	22	8	0	13	22	8	0	19	6	0	0	6	16	8	0	13	7	2	0	6	12	4	0	11	2	0	0	2	1	1	0	1	0	1	0	0
32998	1	1	24	5	1	15	24	5	1	22	6	0	0	6	18	5	1	16	9	0	0	9	12	3	1	11	2	0	0	2	1	1	0	1	0	1	0	0
32684	1	0	14	7	9	8	14	7	9	12	6	0	0	6	8	7	9	6	4	2	3	3	7	3	6	6	2	0	0	2	1	1	0	1	0	1	0	0
33141	1	1	28	2	0	18	28	2	0	27	6	0	0	6	22	2	0	21	9	0	0	9	14	2	0	13	2	0	0	2	2	0	0	2	1	0	0	1
32923	1	0	14	16	0	6	14	16	0	9	4	2	0	3	10	14	0	5	4	5	0	2	9	7	0	7	1	1	0	1	0	2	0	0	0	1	0	0
33394	1	1	20	8	2	12	20	8	2	17	6	0	0	6	14	8	2	11	5	4	0	4	12	2	2	11	2	0	0	2	1	1	0	1	0	1	0	0
33013	1	1	20	9	1	11	20	9	1	17	6	0	0	6	14	9	1	11	5	4	0	4	11	4	1	10	2	0	0	2	1	1	0	1	1	0	0	1
32625	1	1	23	7	0	14	23	7	0	21	5	1	0	5	18	6	0	16	4	5	0	2	14	2	0	13	2	0	0	2	2	0	0	2	1	0	0	1
33723	1	1	22	8	0	13	22	8	0	19	6	0	0	6	16	8	0	13	8	1	0	8	12	4	0	11	1	1	0	1	1	1	0	1	0	1	0	0
33255	1	1	25	5	0	16	25	5	0	23	6	0	0	6	19	5	0	17	8	1	0	8	13	3	0	12	2	0	0	2	2	0	0	2	0	1	0	0
33497	1	1	19	9	2	11	19	9	2	16	5	1	0	5	14	8	2	11	6	3	0	5	10	4	2	9	1	1	0	1	2	0	0	2	0	1	0	0
33652	1	0	16	8	6	9	16	8	6	13	4	2	0	3	12	6	6	10	6	2	1	5	8	4	4	7	0	1	1	0	2	0	0	2	0	1	0	0
33826	1	1	20	5	5	12	20	5	5	18	6	0	0	6	14	5	5	12	5	2	2	4	11	2	3	10	2	0	0	2	2	0	0	2	0	1	0	0
33048	1	0	15	6	9	9	15	6	9	13	4	2	0	3	11	4	9	10	3	3	3	2	10	1	5	10	1	1	0	1	1	0	1	1	0	1	0	0
33407	1	0	14	14	2	6	14	14	2	9	6	0	0	6	8	14	2	3	2	6	1	0	9	6	1	7	1	1	0	1	2	0	0	2	0	1	0	0
33427	1	0	10	10	10	4	10	10	10	7	2	4	0	1	8	6	10	6	3	3	3	2	6	5	5	4	0	1	1	0	0	1	1	0	1	0	0	1
33742	1	1	23	5	2	14	23	5	2	21	6	0	0	6	17	5	2	15	8	1	0	8	12	2	2	11	2	0	0	2	1	1	0	1	0	1	0	0
32517	1	1	22	4	4	14	22	4	4	21	6	0	0	6	16	4	4	15	6	1	2	6	12	2	2	11	2	0	0	2	1	1	0	1	1	0	0	1
33108	1	0	17	12	1	9	17	12	1	13	5	1	0	5	12	11	1	8	6	3	0	5	10	5	1	8	1	1	0	1	0	2	0	0	0	1	0	0
33071	1	1	28	2	0	18	28	2	0	27	5	1	0	5	23	1	0	23	8	1	0	8	15	1	0	15	2	0	0	2	2	0	0	2	1	0	0	1
33412	1	1	28	2	0	18	28	2	0	27	6	0	0	6	22	2	0	21	7	2	0	6	16	0	0	16	2	0	0	2	2	0	0	2	1	0	0	1
32712	1	0	16	14	0	8	16	14	0	11	5	1	0	5	11	13	0	7	4	5	0	2	10	6	0	8	2	0	0	2	0	2	0	0	0	1	0	0
33530	1	0	14	9	7	7	14	9	7	11	5	1	0	5	9	8	7	6	2	4	3	1	10	2	4	9	1	1	0	1	1	1	0	1	0	1	0	0
32892	1	0	15	10	5	8	15	10	5	12	5	1	0	5	10	9	5	7	5	2	2	4	8	5	3	6	2	0	0	2	0	2	0	0	0	1	0	0
32628	1	1	19	11	0	10	19	11	0	15	6	0	0	6	13	11	0	9	4	5	0	2	11	5	0	9	2	0	0	2	1	1	0	1	1	0	0	1
32978	1	1	28	2	0	18	28	2	0	27	6	0	0	6	22	2	0	21	8	1	0	8	16	0	0	16	2	0	0	2	2	0	0	2	0	1	0	0
33780	1	1	19	11	0	10	19	11	0	15	3	3	0	2	16	8	0	13	6	3	0	5	11	5	0	9	0	2	0	0	1	1	0	1	1	0	0	1
32551	1	1	23	3	4	15	23	3	4	22	6	0	0	6	17	3	4	16	7	0	2	7	12	3	1	11	2	0	0	2	2	0	0	2	0	0	1	0
33300	1	0	10	20	0	2	10	20	0	3	5	1	0	5	5	19	0	0	3	6	0	1	6	10	0	3	1	1	0	1	0	2	0	0	0	1	0	0
32309	1	1	22	7	1	13	22	7	1	20	6	0	0	6	16	7	1	14	6	3	0	5	13	3	0	12	1	0	1	1	2	0	0	2	0	1	0	0
33268	1	1	19	5	6	12	19	5	6	17	5	1	0	5	14	4	6	13	5	0	4	5	12	3	1	11	1	1	0	1	1	0	1	1	0	1	0	0
33161	1	1	23	6	1	14	23	6	1	21	6	0	0	6	17	6	1	15	8	1	0	8	12	3	1	11	2	0	0	2	1	1	0	1	0	1	0	0
33812	1	1	24	6	0	15	24	6	0	22	5	1	0	5	19	5	0	17	8	1	0	8	13	3	0	12	2	0	0	2	1	1	0	1	0	1	0	0
33351	1	1	25	4	1	16	25	4	1	24	6	0	0	6	19	4	1	18	8	0	1	8	13	3	0	12	2	0	0	2	2	0	0	2	0	1	0	0
33274	1	0	14	6	10	8	14	6	10	12	6	0	0	6	8	6	10	6	4	2	3	3	7	3	6	6	1	0	1	1	2	0	0	2	0	1	0	0
33559	1	1	24	6	0	15	24	6	0	22	5	1	0	5	19	5	0	17	7	2	0	6	14	2	0	13	2	0	0	2	1	1	0	1	0	1	0	0
