ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
27237	1	D	A	E	B	B	B	D	D	A	C	B	B	D	C	B	E	A	X	B	C	E	E	E	E	X	A	X	D	X	B	E	C	A	C	D	A	D	E	X	C
25450	1	D	C	D	B	D	B	D	D	A	B	E	X	C	C	A	B	X	X	E	X	C	D	A	A	X	A	X	C	C	X	E	A	A	E	C	E	C	A	X	X
26765	1	E	C	D	C	C	B	D	D	C	B	C	X	C	C	B	E	E	C	E	X	B	E	E	A	X	B	X	E	D	D	B	B	B	E	E	A	D	C	C	C
27224	1	C	D	D	C	E	B	D	D	B	C	E	A	C	A	D	E	C	E	A	C	C	E	A	A	A	A	A	E	D	D	E	D	E	C	C	D	D	D	D	A
26655	1	C	X	A	A	X	E	D	B	A	B	E	X	C	C	A	C	C	A	X	E	A	X	C	E	E	B	X	A	X	B	E	X	E	X	B	D	D	D	C	A
26386	1	C	C	D	D	C	B	D	D	E	C	A	A	X	C	A	E	C	X	C	D	E	A	E	B	A	B	C	D	D	E	E	B	B	C	D	A	C	C	A	C
27306	1	D	C	D	B	C	B	D	E	B	B	D	D	D	D	A	E	B	X	X	C	C	E	E	A	A	B	E	D	X	C	E	E	C	C	E	D	D	D	C	C
24538	1	D	C	A	E	X	A	D	E	B	C	E	A	C	E	A	E	A	E	A	C	C	E	A	A	C	B	E	D	D	E	D	A	E	C	E	D	D	D	D	B
26609	1	D	C	D	B	B	X	D	E	B	B	E	D	C	E	A	E	A	E	X	C	X	E	A	X	A	X	D	D	D	C	D	C	C	E	E	X	D	X	C	C
25777	1	C	C	C	B	E	A	D	E	B	D	C	E	A	E	A	C	E	E	A	B	C	D	B	A	D	D	B	C	A	C	E	C	B	C	B	B	B	D	C	D
27481	1	D	C	B	B	B	B	E	E	B	D	X	A	C	C	A	E	X	D	X	X	X	E	E	X	A	B	X	D	X	E	D	X	E	C	X	B	D	D	X	C
