feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	taalvaardigheidJuist	taalvaardigheidFout	taalvaardigheidBlanco	taalvaardigheidScore	taalvaardigheidGroep
19xe85067	1	1	20	7	8	10	10-13	11	7	7	7	<10	9	0	1	9	>=9	9	3	3	8	8-11	2	4	4	1	<5
19xe82948	1	1	29	3	3	16	>=14	19	3	3	14	>=14	10	0	0	10	>=9	11	1	3	11	8-11	8	2	0	7	>=7
19xe91592	1	1	26	7	2	14	>=14	17	6	2	12	10-13	9	1	0	9	>=9	13	1	1	13	>=12	4	5	1	2	<5
19xe33028	1	1	21	6	8	11	10-13	11	6	8	7	<10	10	0	0	10	>=9	9	0	6	9	8-11	2	6	2	0	<5
19xe80025	1	1	29	4	2	16	>=14	19	4	2	14	>=14	10	0	0	10	>=9	12	1	2	12	>=12	7	3	0	6	5-7
19xe95452	1	0	9	15	11	2	<10	6	11	8	2	<10	3	4	3	2	<7	2	5	8	0	<8	4	6	0	2	<5
19xe78310	1	1	21	9	5	10	10-13	11	9	5	6	<10	10	0	0	10	>=9	8	2	5	7	<8	3	7	0	1	<5
19xe70385	1	0	10	6	19	5	<10	8	5	12	5	<10	2	1	7	2	<7	4	3	8	3	<8	4	2	4	3	<5
19xe84085	1	0	14	9	12	6	<10	8	6	11	5	<10	6	3	1	5	<7	5	3	7	4	<8	3	3	4	2	<5
19xe65060	1	0	11	15	9	3	<10	5	12	8	1	<10	6	3	1	5	<7	3	5	7	1	<8	2	7	1	0	<5
19xe22091	1	1	24	7	4	12	10-13	16	5	4	11	10-13	8	2	0	7	7-8	9	2	4	8	8-11	7	3	0	6	5-7
19xe34757	1	1	23	7	5	12	10-13	13	7	5	9	<10	10	0	0	10	>=9	9	3	3	8	8-11	4	4	2	3	<5
19xe87635	1	1	26	7	2	14	>=14	16	7	2	11	10-13	10	0	0	10	>=9	11	4	0	10	8-11	5	3	2	4	<5
19xe90225	1	1	28	7	0	15	>=14	18	7	0	13	10-13	10	0	0	10	>=9	12	3	0	11	8-11	6	4	0	5	5-7
19xe19218	1	1	32	3	0	18	>=14	23	2	0	18	>=14	9	1	0	9	>=9	13	2	0	12	>=12	10	0	0	10	>=7
19xe59534	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	13	2	0	12	>=12	9	1	0	9	>=7
19xe51257	1	1	20	10	5	10	10-13	11	9	5	6	<10	9	1	0	9	>=9	6	5	4	4	<8	5	4	1	4	<5
19xe75949	1	1	25	6	4	13	10-13	16	5	4	11	10-13	9	1	0	9	>=9	9	3	3	8	8-11	7	2	1	6	5-7
19xe20850	1	1	23	9	3	11	10-13	14	8	3	9	<10	9	1	0	9	>=9	8	4	3	7	<8	6	4	0	5	5-7
19xe60610	1	0	16	10	9	7	<10	9	8	8	5	<10	7	2	1	6	<7	3	5	7	1	<8	6	3	1	5	5-7
19xe89567	1	0	10	25	0	1	<10	7	18	0	1	<10	3	7	0	1	<7	3	12	0	0	<8	4	6	0	2	<5
19xe55597	1	0	15	13	7	6	<10	5	13	7	1	<10	10	0	0	10	>=9	4	4	7	3	<8	1	9	0	0	<5
19xe92463	1	0	20	11	4	9	<10	12	9	4	7	<10	8	2	0	7	7-8	7	4	4	6	<8	5	5	0	3	<5
19xe56355	1	0	4	0	31	2	<10	0	0	25	0	<10	4	0	6	4	<7	0	0	15	0	<8	0	0	10	0	<5
19xe64597	1	1	27	8	0	14	>=14	18	7	0	13	10-13	9	1	0	9	>=9	11	4	0	10	8-11	7	3	0	6	5-7
19xe24212	1	0	3	0	32	2	<10	0	0	25	0	<10	3	0	7	3	<7	0	0	15	0	<8	0	0	10	0	<5
19xe61006	1	1	22	13	0	10	10-13	14	11	0	8	<10	8	2	0	7	7-8	5	10	0	2	<8	9	1	0	9	>=7
19xe83565	1	1	22	13	0	10	10-13	13	12	0	7	<10	9	1	0	9	>=9	4	11	0	0	<8	9	1	0	9	>=7
19xe47401	1	1	27	2	6	15	>=14	20	1	4	16	>=14	7	1	2	7	7-8	11	0	4	11	8-11	9	1	0	9	>=7
