ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
33182	1	C	B	A	B	D	B	D	B	D	C	D	A	A	B	A	C	D	C	A	D	D	D	C	B	B
32240	1	C	B	A	B	A	B	A	B	D	C	A	C	C	B	A	C	C	C	A	X	B	D	C	B	B
33439	1	C	B	A	B	D	B	B	B	D	C	A	A	C	B	A	C	D	D	A	X	D	C	C	B	B
33402	1	C	B	C	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
33567	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
33120	1	C	B	A	B	D	B	C	B	D	C	C	B	A	B	A	C	D	C	A	D	D	D	C	B	B
33510	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	D	B	B
32955	1	C	B	A	B	D	B	D	B	D	C	D	B	A	B	A	C	C	D	A	D	A	B	A	B	B
33168	1	C	B	A	B	D	C	A	B	D	C	X	B	A	X	A	C	X	C	X	X	B	X	C	X	B
32205	1	C	B	B	B	B	B	D	B	D	C	A	X	X	B	D	C	D	C	C	X	B	C	B	D	X
33566	1	X	B	A	B	D	B	D	X	D	C	A	X	X	B	A	C	X	C	A	D	D	D	X	B	A
32225	1	C	B	A	B	D	B	X	B	D	C	A	X	B	B	A	X	X	C	A	D	X	X	X	B	A
33934	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	C	C	D	C	A	A	D	B	C	A	B
32815	1	C	B	A	B	D	B	B	B	D	C	D	X	X	B	A	C	D	C	A	D	D	D	C	B	B
33148	1	C	B	A	B	D	B	D	B	D	C	A	B	X	X	X	C	X	C	A	D	D	D	C	C	B
32719	1	C	B	A	B	D	B	C	B	D	C	A	B	B	B	A	C	D	D	A	C	B	D	C	B	B
32364	1	C	B	A	D	D	C	D	B	D	C	A	X	X	B	B	D	D	C	A	C	X	C	X	C	B
