feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep
19xb32603	1	1	15	5	5	11	10-13	8	1	1	8	7-8	7	4	4	6	<8
19xb36976	1	1	13	1	11	10	10-13	7	0	3	7	7-8	6	1	8	6	<8
19xb34471	1	1	18	1	6	14	>=14	10	0	0	10	>=9	8	1	6	8	8-11
19xb30067	1	1	18	1	6	14	>=14	10	0	0	10	>=9	8	1	6	8	8-11
19xb39965	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb16074	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb83153	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb56811	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb47978	1	1	17	8	0	11	10-13	9	1	0	9	>=9	8	7	0	6	<8
19xb92758	1	1	18	5	2	13	10-13	10	0	0	10	>=9	8	5	2	6	<8
19xb63885	1	0	10	13	2	5	<10	5	4	1	4	<7	5	9	1	2	<8
19xb95189	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb26029	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19xb30420	1	1	19	5	1	14	>=14	10	0	0	10	>=9	9	5	1	7	<8
19xb23736	1	1	17	4	4	13	10-13	9	0	1	9	>=9	8	4	3	7	<8
19xb25191	1	1	17	4	4	13	10-13	9	0	1	9	>=9	8	4	3	7	<8
19xb90048	1	1	16	9	0	10	10-13	8	2	0	7	7-8	8	7	0	6	<8
19xb12620	1	1	16	2	7	12	10-13	9	0	1	9	>=9	7	2	6	6	<8
19xb53697	1	0	13	6	6	9	<10	6	3	1	5	<7	7	3	5	6	<8
19xb74448	1	0	5	9	11	2	<10	4	2	4	3	<7	1	7	7	0	<8
19xb41316	1	1	20	1	4	16	>=14	9	1	0	9	>=9	11	0	4	11	8-11
19xb12400	1	1	19	2	4	15	>=14	10	0	0	10	>=9	9	2	4	8	8-11
19xb37466	1	1	19	2	4	15	>=14	8	2	0	7	7-8	11	0	4	11	8-11
19xb89762	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19xb54858	1	1	19	2	4	15	>=14	9	0	1	9	>=9	10	2	3	9	8-11
19xb60920	1	1	14	4	7	10	10-13	8	1	1	8	7-8	6	3	6	5	<8
19xb27510	1	1	15	1	9	12	10-13	10	0	0	10	>=9	5	1	9	5	<8
19xb46462	1	0	9	4	12	6	<10	5	3	2	4	<7	4	1	10	4	<8
19xb67261	1	0	9	8	8	5	<10	6	3	1	5	<7	3	5	7	1	<8
19xb19253	1	0	14	11	0	8	<10	7	3	0	6	<7	7	8	0	4	<8
19xb38123	1	0	15	10	0	9	<10	8	2	0	7	7-8	7	8	0	4	<8
19xb87014	1	0	6	2	17	4	<10	4	1	5	4	<7	2	1	12	2	<8
19xb12001	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb21635	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19xb77192	1	0	14	7	4	9	<10	9	1	0	9	>=9	5	6	4	3	<8
19xb56420	1	0	11	0	14	9	<10	10	0	0	10	>=9	1	0	14	1	<8
19xb17308	1	1	20	3	2	15	>=14	9	1	0	9	>=9	11	2	2	10	8-11
19xb86458	1	1	21	1	3	17	>=14	9	0	1	9	>=9	12	1	2	12	>=12
19xb32332	1	1	16	5	4	11	10-13	9	1	0	9	>=9	7	4	4	6	<8
19xb75709	1	1	17	1	7	13	10-13	10	0	0	10	>=9	7	1	7	7	<8
19xb11104	1	0	13	12	0	7	<10	8	2	0	7	7-8	5	10	0	2	<8
19xb55524	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb49049	1	1	21	1	3	17	>=14	9	0	1	9	>=9	12	1	2	12	>=12
19xb87625	1	1	15	3	7	11	10-13	8	1	1	8	7-8	7	2	6	6	<8
19xb53447	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19xb71351	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb86260	1	1	15	1	9	12	10-13	9	0	1	9	>=9	6	1	8	6	<8
19xb31665	1	1	15	6	4	10	10-13	9	1	0	9	>=9	6	5	4	4	<8
19xb11801	1	0	12	6	7	8	<10	6	3	1	5	<7	6	3	6	5	<8
19xb40357	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb82066	1	1	18	1	6	14	>=14	10	0	0	10	>=9	8	1	6	8	8-11
19xb49667	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19xb41023	1	1	17	6	2	12	10-13	8	2	0	7	7-8	9	4	2	8	8-11
19xb47496	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19xb66324	1	0	0	3	22	0	<10	0	3	7	0	<7	0	0	15	0	<8
19xb55159	1	0	14	8	3	9	<10	8	2	0	7	7-8	6	6	3	4	<8
19xb65711	1	1	20	3	2	15	>=14	10	0	0	10	>=9	10	3	2	9	8-11
19xb12417	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb17831	1	1	18	4	3	13	10-13	9	1	0	9	>=9	9	3	3	8	8-11
19xb74675	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb51003	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19xb39295	1	1	18	7	0	13	10-13	9	1	0	9	>=9	9	6	0	7	<8
19xb67549	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb77080	1	1	21	1	3	17	>=14	10	0	0	10	>=9	11	1	3	11	8-11
19xb42518	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19xb79194	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19xb47635	1	1	19	2	4	15	>=14	10	0	0	10	>=9	9	2	4	8	8-11
19xb59554	1	1	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11
19xb39111	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19xb79826	1	1	18	2	5	14	>=14	10	0	0	10	>=9	8	2	5	7	<8
19xb13655	1	1	22	2	1	17	>=14	9	1	0	9	>=9	13	1	1	13	>=12
19xb84096	1	1	20	3	2	15	>=14	10	0	0	10	>=9	10	3	2	9	8-11
19xb31572	1	1	24	1	0	19	>=14	9	1	0	9	>=9	15	0	0	15	>=12
19xb18775	1	1	20	2	3	15	>=14	9	1	0	9	>=9	11	1	3	11	8-11
