ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
q1444309	1	C	B	C	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	D	X	B	X
q1417794	1	C	B	A	B	D	B	D	X	D	C	A	B	A	B	A	A	D	C	A	X	X	C	C	B	B
q1415455	1	C	B	A	B	B	B	D	B	D	C	D	B	X	B	X	C	D	X	A	D	B	D	C	C	X
q1440090	1	C	B	A	B	D	B	D	B	D	C	A	A	X	B	A	C	X	C	A	X	D	X	X	X	X
q1422282	1	C	B	A	B	D	D	B	B	D	C	B	A	A	A	C	C	B	D	A	C	B	A	C	B	C
q1422806	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	D	C	A	C	A	D	D	C	C	X	B
q1418166	1	X	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	A	C	A	D	D	C	C	X	B
q1379769	1	C	B	A	B	D	B	X	C	D	C	B	X	X	B	X	C	X	D	A	D	D	X	C	B	X
q1391922	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	C	X	C	B
q1391951	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
q1459279	1	C	B	A	B	D	X	D	B	D	C	A	X	X	B	X	C	D	D	A	X	D	X	X	X	X
q1417091	1	C	B	A	C	D	B	D	B	D	C	A	A	X	X	A	C	D	C	B	A	B	X	X	C	B
q1238811	1	X	B	A	B	A	B	A	B	C	C	X	X	X	B	X	C	X	C	A	D	C	X	C	A	D
q1391959	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
q1384656	1	C	B	A	B	D	B	D	B	D	C	A	X	B	B	X	C	D	C	A	X	D	X	X	X	B
q1391955	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	C	C	A	D	C	D	C	B	B
q1356087	1	C	B	A	C	D	C	D	B	D	C	A	B	X	B	A	C	D	C	A	A	B	B	C	A	X
q1417033	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	D	C	D	D	A	D	D	D	C	C	B
q1421724	1	X	X	X	C	C	C	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
q1401104	1	C	B	A	B	D	B	D	A	B	C	A	B	C	D	X	C	D	B	A	D	A	D	X	X	D
q1459277	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	C	C	X	D	B	X
q1382041	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
q1456466	1	C	B	D	B	D	B	D	B	D	C	A	B	X	B	A	C	X	A	A	A	D	D	X	B	B
q1457691	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	A	B	D	C	A	D	B	C	C	B	B
q1391964	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	D	D	D	X	B	B
q1403046	1	C	B	A	B	D	A	D	B	D	C	A	B	D	B	D	D	D	C	C	C	D	C	D	B	B
q1382631	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
q1390780	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	X	X	C	X	B	B
q1381683	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	A	A	D	D	D	C	B	A
q1421329	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	D	C	D	D
q1391921	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	X	C	A	X	B	D	X	B	X
q1391965	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	X	B	D	C	B	D
q1391826	1	C	B	A	B	D	B	B	B	D	C	A	B	A	C	A	C	D	D	A	D	B	D	C	B	B
q1444545	1	C	B	A	B	D	B	D	B	D	C	C	B	X	B	D	C	X	C	A	D	D	X	X	B	X
q1391744	1	C	B	A	B	A	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	X	B	B
