ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
34187	1	0	11	6	5	8	11	6	5	8
34697	1	1	19	1	2	17	19	1	2	17
34711	1	1	21	1	0	19	21	1	0	19
34670	1	0	8	4	10	6	8	4	10	6
34528	1	1	14	8	0	10	14	8	0	10
34610	1	1	18	4	0	15	18	4	0	15
34850	1	0	11	9	2	7	11	9	2	7
34102	1	1	20	1	1	18	20	1	1	18
34544	1	1	20	1	1	18	20	1	1	18
34426	1	1	16	4	2	13	16	4	2	13
33968	1	1	14	1	7	12	14	1	7	12
34752	1	1	14	2	6	12	14	2	6	12
34675	1	1	21	1	0	19	21	1	0	19
34009	1	0	11	8	3	8	11	8	3	8
34629	1	1	16	3	3	14	16	3	3	14
34377	1	1	15	5	2	12	15	5	2	12
34064	1	0	12	7	3	9	12	7	3	9
34702	1	0	7	7	8	4	7	7	8	4
34152	1	1	15	1	6	13	15	1	6	13
34509	1	1	16	6	0	13	16	6	0	13
34721	1	0	6	3	13	5	6	3	13	5
34207	1	0	7	2	13	6	7	2	13	6
34786	1	1	12	2	8	10	12	2	8	10
34536	1	1	15	3	4	13	15	3	4	13
34275	1	1	16	4	2	13	16	4	2	13
34201	1	1	14	4	4	12	14	4	4	12
34141	1	1	14	5	3	11	14	5	3	11
34550	1	1	16	6	0	13	16	6	0	13
34507	1	0	10	5	7	8	10	5	7	8
34352	1	1	16	2	4	14	16	2	4	14
34312	1	0	13	9	0	9	13	9	0	9
34206	1	1	13	4	5	11	13	4	5	11
34099	1	0	10	3	9	8	10	3	9	8
34512	1	1	17	3	2	15	17	3	2	15
34281	1	0	9	2	11	8	9	2	11	8
34496	1	0	7	15	0	2	7	15	0	2
34043	1	1	17	2	3	15	17	2	3	15
34725	1	1	16	3	3	14	16	3	3	14
34706	1	1	17	2	3	15	17	2	3	15
34298	1	1	16	4	2	13	16	4	2	13
34727	1	1	16	6	0	13	16	6	0	13
34344	1	0	8	7	7	5	8	7	7	5
34578	1	1	17	3	2	15	17	3	2	15
34427	1	0	12	9	1	8	12	9	1	8
34431	1	0	7	11	4	3	7	11	4	3
34368	1	1	17	2	3	15	17	2	3	15
34593	1	1	21	1	0	19	21	1	0	19
34574	1	0	8	13	1	3	8	13	1	3
34263	1	1	17	4	1	14	17	4	1	14
33993	1	1	18	3	1	15	18	3	1	15
34580	1	0	12	7	3	9	12	7	3	9
34838	1	1	16	6	0	13	16	6	0	13
34129	1	1	17	5	0	14	17	5	0	14
34463	1	0	10	9	3	6	10	9	3	6
34124	1	1	20	2	0	18	20	2	0	18
34808	1	1	20	2	0	18	20	2	0	18
34606	1	1	21	1	0	19	21	1	0	19
33965	1	1	22	0	0	20	22	0	0	20
34076	1	1	15	0	7	14	15	0	7	14
34608	1	1	16	5	1	13	16	5	1	13
34278	1	1	14	4	4	12	14	4	4	12
34230	1	1	18	2	2	16	18	2	2	16
34678	1	0	12	9	1	8	12	9	1	8
34267	1	0	9	5	8	7	9	5	8	7
34119	1	0	10	12	0	5	10	12	0	5
34591	1	0	9	2	11	8	9	2	11	8
33971	1	1	22	0	0	20	22	0	0	20
34419	1	1	19	3	0	16	19	3	0	16
