ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
33576	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	A	C	D	C	A	X	D	X	C	B	D	C	B	C	A	X	A	C	B	C	B
32503	1	C	B	A	B	D	B	C	B	D	C	A	B	C	B	A	C	D	C	A	B	A	C	C	B	B	C	B	A	A	C	A	C	B	B	B
32637	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	C	D	C	A	D	B	C	C	A	A	C	B	D	A	D	A	A	C	C	B
32786	1	A	D	A	A	D	B	D	B	D	C	D	D	B	B	A	C	D	D	A	B	B	C	C	B	B	A	B	C	A	D	A	C	B	B	B
32838	1	C	B	A	B	D	C	A	C	B	C	C	B	C	B	A	A	A	C	D	A	B	A	C	A	A	B	A	A	A	A	A	A	B	C	B
32894	1	C	B	A	B	D	X	D	B	D	C	A	X	A	B	A	C	D	C	A	X	B	X	C	C	B	C	B	C	A	D	A	C	B	B	B
32521	1	C	B	A	B	D	B	B	X	D	X	X	X	D	B	D	C	C	C	A	A	A	C	A	B	A	C	A	B	D	D	A	A	B	B	C
33617	1	C	B	A	B	D	B	A	B	D	C	C	B	X	B	A	D	X	C	X	X	X	D	X	X	D	C	B	C	A	X	B	C	X	B	B
32173	1	A	B	A	B	D	B	D	A	D	C	A	X	A	A	C	C	D	C	A	A	B	C	A	D	A	C	A	B	D	D	B	B	C	B	D
32900	1	C	A	A	B	D	B	D	B	D	C	A	X	X	B	A	C	B	D	A	B	B	A	C	B	X	C	D	C	A	D	A	C	B	B	D
33410	1	A	B	B	B	C	X	B	X	D	X	A	A	X	B	X	X	X	B	X	C	B	A	X	X	X	A	A	A	A	C	C	B	A	C	C
33200	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	D	C	X	B	X	C	B	A	A	D	B	C	B	B	B
33285	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	A	B	C	B	C	A	D	A	C	B	B	B
33150	1	C	B	A	C	D	B	D	B	D	A	D	X	X	B	X	X	B	C	A	B	D	X	X	C	B	C	B	A	A	D	A	C	D	A	B
33627	1	C	B	A	B	D	B	D	B	D	C	X	B	X	B	X	C	D	X	X	X	B	D	D	B	X	C	D	X	A	X	A	B	X	C	B
32533	1	C	B	A	A	D	A	C	C	D	C	C	C	B	C	C	C	C	A	A	D	C	D	B	C	B	B	B	D	D	B	C	D	A	B	D
33241	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	X	B	B	C	B	C	A	D	A	C	B	B	B
32590	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	D	A	X	B	C	C	B	B	B	B	C	A	D	B	C	B	B	C
33890	1	X	B	B	A	D	B	C	B	D	D	X	X	B	A	C	B	A	C	A	A	B	C	B	X	D	A	A	C	A	C	C	D	D	B	D
32813	1	B	B	A	A	X	X	X	X	C	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
33696	1	C	B	A	D	D	A	D	B	B	C	A	B	B	B	A	C	D	C	A	D	B	C	D	B	D	C	B	B	A	D	C	B	C	B	B
32914	1	C	C	A	B	D	B	D	B	D	C	A	D	X	X	X	C	D	C	A	X	A	A	X	D	X	C	X	C	A	D	C	A	B	B	C
33909	1	C	B	A	B	D	B	D	B	B	C	A	X	C	B	C	C	D	B	A	D	B	X	C	B	A	C	B	D	A	A	A	C	B	C	B
33883	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	B	D	B	A	D	D	D	C	B	B	C	B	B	A	D	A	C	B	B	B
32558	1	C	B	A	B	X	B	D	B	D	C	A	B	A	B	A	C	D	C	X	X	X	D	X	B	X	C	X	C	A	D	A	C	B	B	B
33356	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	D	C	A	D	A	C	A	B	B
33284	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	C	B	B	C	B	C	A	D	A	C	B	B	B
32487	1	C	B	A	B	D	B	D	B	B	C	A	B	C	B	B	C	D	C	A	C	D	A	D	B	A	C	B	C	A	D	A	B	B	A	B
33555	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	C	C	B	D	C	B	C	A	D	A	C	B	B	B
32934	1	C	B	A	B	D	B	D	B	D	C	A	C	A	B	A	C	D	C	A	D	D	A	C	B	B	C	B	C	A	D	A	A	B	D	B
32188	1	C	B	A	B	D	B	D	B	D	C	A	C	C	B	A	C	D	C	A	D	B	C	C	B	B	C	A	C	A	A	A	C	C	B	B
32992	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	A	A	C	B	B	B
32358	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	D	D	D	X	B	B	C	B	C	A	D	A	C	B	B	B
33759	1	C	B	A	B	D	B	D	B	D	C	A	X	A	X	A	C	A	C	A	D	B	D	B	C	X	C	B	C	A	D	A	C	C	B	B
33819	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	A	B	D	C	B	B	C	B	C	A	D	A	C	B	B	B
32580	1	C	B	A	B	D	B	D	B	D	C	A	A	X	B	X	C	D	C	A	A	C	C	C	C	A	C	B	C	A	D	A	C	B	B	B
33384	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	D	B	B	C	B	C	A	D	A	C	B	B	B
33876	1	A	B	A	B	D	C	X	B	D	A	A	X	A	B	C	C	D	D	B	A	A	D	B	A	A	C	B	C	A	X	A	C	C	B	B
33423	1	C	B	A	B	D	B	D	B	D	C	A	A	D	B	A	D	A	C	A	A	B	A	C	B	B	C	B	C	A	D	A	A	B	B	B
32986	1	C	B	A	B	D	B	D	A	D	C	A	B	D	A	A	C	D	C	A	D	C	D	B	B	A	C	B	C	A	D	A	C	B	B	C
33614	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
33128	1	X	B	A	B	D	A	D	B	D	C	D	X	D	B	A	C	C	D	X	X	A	A	A	X	D	C	A	A	C	X	A	C	X	D	C
32390	1	C	B	A	B	D	B	D	B	D	C	D	B	A	X	A	C	D	C	A	D	B	C	C	X	A	C	B	C	A	D	A	C	B	C	B
33505	1	C	B	A	B	D	D	C	X	B	C	A	X	C	A	C	C	B	C	A	X	B	A	X	B	X	C	B	C	A	D	A	D	C	B	D
32828	1	C	B	A	B	D	B	D	B	D	C	A	X	B	X	A	C	C	C	A	D	C	C	C	B	B	C	B	C	A	D	A	C	B	B	B
32398	1	C	B	A	B	D	B	C	B	D	C	A	B	X	B	A	C	D	C	A	D	D	C	B	B	B	C	B	C	A	D	A	C	B	B	B
33263	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	C	C	B	B	C	B	C	A	D	A	C	B	B	B
32755	1	C	B	A	B	D	C	D	B	D	C	A	B	C	B	B	A	D	C	A	C	B	X	C	B	B	C	A	C	A	A	B	C	X	B	B
32312	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	X	D	D	A	X	B	C	X	B	B	X	B	C	A	D	X	C	B	B	B
