ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
33423	1	1	27	8	0	14	17	8	0	11	10	0	0	10	8	7	0	6	9	1	0	9
32986	1	1	27	8	0	14	18	7	0	13	9	1	0	9	9	6	0	7	9	1	0	9
33614	1	1	35	0	0	20	25	0	0	20	10	0	0	10	15	0	0	15	10	0	0	10
33128	1	0	14	14	7	5	6	13	6	1	8	1	1	8	3	8	4	0	3	5	2	1
32390	1	1	29	4	2	16	19	4	2	14	10	0	0	10	10	3	2	9	9	1	0	9
33505	1	0	18	12	5	8	12	9	4	7	6	3	1	5	5	6	4	3	7	3	0	6
32828	1	1	30	3	2	17	20	3	2	15	10	0	0	10	10	3	2	9	10	0	0	10
32398	1	1	32	2	1	18	23	1	1	18	9	1	0	9	13	1	1	13	10	0	0	10
33263	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
32755	1	1	24	9	2	12	15	8	2	10	9	1	0	9	9	5	1	7	6	3	1	5
32312	1	1	27	2	6	15	17	2	6	13	10	0	0	10	9	2	4	8	8	0	2	8
32904	1	1	28	6	1	15	19	5	1	14	9	1	0	9	10	4	1	9	9	1	0	9
33806	1	1	27	6	2	14	19	4	2	14	8	2	0	7	9	4	2	8	10	0	0	10
32768	1	1	33	2	0	18	23	2	0	18	10	0	0	10	14	1	0	14	9	1	0	9
32430	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
33849	1	1	23	8	4	12	15	6	4	10	8	2	0	7	8	3	4	7	7	3	0	6
33406	1	1	29	6	0	15	19	6	0	14	10	0	0	10	12	3	0	11	7	3	0	6
