Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32672,bw1592582790DqtBXjawWTBDp7i3HglIEzkogx5Vm1,19,A,12,25,10,0,9,15,10,0,10,10,0,0,7,9,6,0,5,6,4,0,,,,,,,,,,,,,,,,
,,32407,bw1591361263TKJbV1EPIDzFx4WnyUDjCwu6PomJvc,19,A,15,29,6,0,16,21,4,0,7,8,2,0,12,13,2,0,7,8,2,0,,,,,,,,,,,,,,,,
,,33403,bw1596991056itSzb28N3auepA6sMjLE2TrWiLWFVL,19,A,17,31,2,2,17,22,1,2,9,9,1,0,12,12,1,2,10,10,0,0,,,,,,,,,,,,,,,,
,,33603,bw15974289302NBv3UhWUOnvDJG9RtTr5AhTdhHtrb,19,A,19,33,1,1,18,23,1,1,10,10,0,0,14,14,0,1,9,9,1,0,,,,,,,,,,,,,,,,
,,33069,bw1594999727l2QkyMOVg2DnbOcIHSIYv15xzXz4i8,19,A,19,33,1,1,18,23,1,1,10,10,0,0,13,13,1,1,10,10,0,0,,,,,,,,,,,,,,,,
,,33495,bw1597264110uP1foDfhXX20FJDypmrZcSZuByDdNj,19,A,13,23,3,9,10,14,3,8,9,9,0,1,8,8,1,6,5,6,2,2,,,,,,,,,,,,,,,,
,,32922,bw1593951481lWA0Rtib9YXIXjmP82ExkybwA1qjM9,19,B,9,21,14,0,6,12,13,0,9,9,1,0,6,8,7,0,2,4,6,0,,,,,,,,,,,,,,,,
,,32897,bw1593787888jEvDWw6kMytptmWsEKGeznXVFpbkxf,19,A,15,28,7,0,14,19,6,0,9,9,1,0,14,14,1,0,3,5,5,0,,,,,,,,,,,,,,,,
,,33738,bw1594930707O8wxuzMFe22st5vFz4yboGXIS1bM6S,19,B,9,19,11,5,4,9,11,5,10,10,0,0,1,3,7,5,5,6,4,0,,,,,,,,,,,,,,,,
,,33379,bw1596882733qcGKSqnqeWpb1aqllaBJdNUIcerJbq,19,A,18,32,2,1,17,22,2,1,10,10,0,0,11,12,2,1,10,10,0,0,,,,,,,,,,,,,,,,
,,33151,bw1595680245qmmmCsdFuiHbMdyZXJ0N8uz4cKp2y2,19,A,16,30,5,0,15,20,5,0,10,10,0,0,11,12,3,0,7,8,2,0,,,,,,,,,,,,,,,,
,,32500,bw1591622085DDBcOlmXq0J1YwkKkjQ1z6hC5G2Mp0,19,B,8,19,13,3,5,10,12,3,9,9,1,0,5,7,5,3,1,3,7,0,,,,,,,,,,,,,,,,
,,32885,bw15937163375e874ElVavq4DDHr2u1ierR8O4iClY,19,A,10,21,11,3,10,15,8,2,5,6,3,1,6,8,5,2,6,7,3,0,,,,,,,,,,,,,,,,
