ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
q1336725	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	D	C	B	C	A	D	B	C	B	B	B
q1418776	1	C	B	A	A	X	B	D	X	D	C	A	X	X	B	X	C	D	X	X	X	X	X	X	B	X	X	C	C	A	C	C	C	B	B	B
q1422309	1	C	B	A	B	D	B	D	X	D	X	A	X	C	X	B	X	A	C	X	D	A	C	C	C	X	C	B	D	A	D	X	C	X	B	B
q1300193	1	A	A	A	C	D	A	D	X	C	B	A	A	D	X	X	B	C	C	X	X	X	X	B	B	A	X	A	X	A	A	X	C	X	X	X
q1456073	1	C	B	A	B	D	C	D	B	D	C	D	X	X	X	X	D	A	C	X	X	B	X	X	X	X	C	A	X	A	A	X	C	C	B	B
q1458801	1	C	B	D	B	D	A	D	X	D	C	C	B	B	B	B	B	A	A	C	B	B	X	D	C	A	C	B	C	D	X	B	C	X	B	B
q1442397	1	X	B	A	B	D	X	X	X	D	X	X	X	X	X	X	A	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
q1316281	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	D	D	D	X	B	B	C	B	C	A	D	A	B	B	B	B
q1438820	1	C	B	A	B	D	B	D	C	D	C	A	D	A	B	X	C	D	X	A	X	B	X	C	X	X	C	C	B	A	C	A	C	A	D	B
q1445405	1	C	B	A	B	D	D	D	B	D	C	D	B	X	B	A	C	D	A	A	B	D	B	X	B	B	D	C	X	A	D	C	C	B	B	B
q1423834	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	X	C	D	D	A	C	D	X	A	B	B	C	B	B	A	A	B	C	X	B	B
q1408578	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	X	D	X	A	X	X	X	B	B	X	C	B	C	A	D	A	C	B	B	B
q1345229	1	A	B	A	B	D	B	X	B	D	C	X	X	X	B	X	A	D	X	A	X	X	X	X	X	B	X	B	X	D	X	X	X	X	X	X
q1463084	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	D	D	C	A	D	C	X	C	B	X	C	B	C	A	C	A	C	B	B	B
q1316260	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	B	C	C	B	B	C	B	C	A	D	A	C	B	B	B
