ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
q0967475	1	1	23	5	7	12	14	4	7	10	9	1	0	9	12	3	0	11	2	1	7	2
q0982724	1	1	29	4	2	16	19	4	2	14	10	0	0	10	12	1	2	12	7	3	0	6
q1382535	1	1	26	7	2	14	17	6	2	12	9	1	0	9	11	2	2	10	6	4	0	5
q1422784	1	1	29	2	4	16	19	2	4	15	10	0	0	10	12	0	3	12	7	2	1	6
q1403226	1	0	17	9	9	8	7	9	9	3	10	0	0	10	5	4	6	4	2	5	3	0
q1400968	1	1	26	6	3	14	17	5	3	12	9	1	0	9	9	3	3	8	8	2	0	7
q1233055	1	0	9	5	21	4	5	4	16	3	4	1	5	4	2	2	11	1	3	2	5	2
q1404892	1	1	31	3	1	17	21	3	1	16	10	0	0	10	12	2	1	11	9	1	0	9
q1443179	1	1	24	1	10	14	15	0	10	12	9	1	0	9	6	0	9	6	9	0	1	9
q1336725	1	1	33	2	0	18	23	2	0	18	10	0	0	10	14	1	0	14	9	1	0	9
q1418776	1	1	18	4	13	10	11	3	11	8	7	1	2	7	5	0	10	5	6	3	1	5
q1422309	1	1	20	6	9	10	12	6	7	8	8	0	2	8	5	5	5	3	7	1	2	7
q1300193	1	0	8	14	13	2	5	8	12	2	3	6	1	1	3	6	6	1	2	2	6	1
q1456073	1	0	15	8	12	7	6	7	12	3	9	1	0	9	1	4	10	0	5	3	2	4
q1458801	1	0	15	16	4	6	8	14	3	3	7	2	1	6	2	12	1	0	6	2	2	5
q1442397	1	0	5	1	29	3	0	1	24	0	5	0	5	5	0	1	14	0	0	0	10	0
q1316281	1	1	31	2	2	17	21	2	2	16	10	0	0	10	12	1	2	12	9	1	0	9
q1438820	1	1	21	8	6	10	12	7	6	8	9	1	0	9	7	2	6	6	5	5	0	3
q1445405	1	1	24	8	3	12	15	7	3	10	9	1	0	9	9	4	2	8	6	3	1	5
q1423834	1	1	24	6	5	13	14	6	5	10	10	0	0	10	8	3	4	7	6	3	1	5
q1408578	1	1	27	1	7	15	17	1	7	13	10	0	0	10	7	1	7	7	10	0	0	10
q1345229	1	0	13	3	19	7	5	2	18	3	8	1	1	8	4	1	10	4	1	1	8	1
q1463084	1	1	29	3	3	16	19	3	3	14	10	0	0	10	10	2	3	9	9	1	0	9
q1316260	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
q1392349	1	1	31	4	0	17	22	3	0	17	9	1	0	9	13	2	0	12	9	1	0	9
q1434878	1	1	28	7	0	15	19	6	0	14	9	1	0	9	12	3	0	11	7	3	0	6
q1408685	1	0	18	10	7	8	10	9	6	6	8	1	1	8	6	5	4	4	4	4	2	3
q1434137	1	1	29	4	2	16	21	2	2	16	8	2	0	7	14	0	1	14	7	2	1	6
q1457253	1	0	18	5	12	9	9	5	11	6	9	0	1	9	6	2	7	5	3	3	4	2
q1399950	1	1	25	6	4	13	16	6	3	11	9	0	1	9	9	4	2	8	7	2	1	6
q1345478	1	1	30	4	1	16	21	4	0	16	9	0	1	9	13	2	0	12	8	2	0	7
q1388245	1	1	30	4	1	16	21	3	1	16	9	1	0	9	12	2	1	11	9	1	0	9
q1438321	1	1	26	2	7	14	19	2	4	15	7	0	3	7	10	1	4	10	9	1	0	9
