ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
33959	1	C	D	X	D	D	B	D	A	A	D	C	B	A	D	B	C	X	C	B	C	B	C
34071	1	D	D	A	D	X	B	D	A	A	D	C	B	A	A	X	C	X	C	B	C	A	C
34283	1	C	D	D	D	D	C	D	A	B	B	A	A	C	D	B	D	C	C	B	A	B	C
34538	1	D	D	A	D	D	D	D	A	A	B	C	B	A	D	B	C	C	C	A	C	A	C
34239	1	D	C	A	D	D	C	D	X	A	B	X	X	A	D	B	C	D	C	B	X	A	C
34564	1	D	D	D	D	X	B	D	A	A	D	X	B	A	D	A	C	C	C	B	C	A	C
33980	1	D	D	A	D	D	B	D	A	A	D	D	B	A	D	B	C	C	C	B	C	B	C
34754	1	D	A	B	X	D	A	D	A	A	D	C	X	A	D	D	D	C	C	B	X	B	X
34291	1	D	D	C	D	A	B	D	A	A	A	C	X	A	D	A	C	X	X	B	X	A	C
34597	1	D	D	A	D	D	A	D	A	X	A	X	X	A	D	B	D	B	C	B	X	B	X
34682	1	D	D	A	D	D	B	D	A	A	B	C	B	A	D	B	D	C	C	B	C	B	C
34492	1	D	D	A	D	D	C	D	A	A	D	C	B	B	D	B	C	C	C	B	C	A	C
34011	1	D	C	X	A	D	D	D	A	X	A	X	A	B	X	B	C	C	B	C	C	A	C
34053	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	C	C	A	C	A	C
34742	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	B	C	C	B	C	A	C
33975	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	A	C	C	C	B	C	A	A
34442	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	C	C	B	C	A	C
34506	1	D	D	B	D	D	X	D	A	X	X	C	A	X	A	B	C	C	C	B	X	A	X
34242	1	D	C	X	D	D	B	C	A	A	D	C	X	A	D	A	D	D	C	X	A	B	X
34259	1	D	A	A	A	D	D	D	A	C	B	B	A	B	A	B	C	X	B	B	C	X	C
34647	1	C	C	A	D	X	X	D	A	A	X	D	B	C	X	A	A	X	B	X	C	B	C
34070	1	D	A	A	D	D	B	D	A	A	A	X	B	A	D	D	C	C	C	B	C	B	C
34389	1	C	D	A	A	D	C	D	A	X	D	C	X	A	A	C	A	X	C	B	X	B	C
34277	1	D	D	A	D	D	B	D	A	A	D	A	A	A	D	B	C	C	C	B	C	A	D
34266	1	D	D	A	D	D	B	D	A	A	X	C	B	A	D	B	C	C	C	B	X	B	C
34069	1	X	A	A	X	A	A	D	A	X	X	C	X	X	D	A	A	X	A	D	C	A	X
34641	1	X	D	D	X	D	C	D	A	A	D	X	X	D	D	X	A	X	C	B	C	B	X
34649	1	D	D	A	C	D	B	D	A	A	A	B	X	A	D	B	C	C	C	B	C	A	C
34309	1	D	D	A	D	D	D	D	A	A	D	C	B	A	D	B	B	C	C	B	C	B	C
34045	1	D	D	A	D	D	B	D	A	A	D	C	X	C	D	B	C	B	C	B	C	A	C
34464	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	C	C	B	C	A	C
34251	1	C	D	A	D	D	D	D	A	A	B	A	A	B	A	B	C	C	C	A	A	A	D
34747	1	D	D	A	D	X	X	D	A	X	D	X	B	B	D	B	D	X	C	B	C	A	X
34025	1	X	D	D	D	D	B	D	A	A	D	C	B	A	X	B	X	D	C	B	C	A	C
