ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
31173	1	1	14	3	5	12	14	3	5	12
31207	1	1	12	4	6	10	12	4	6	10
31289	1	1	16	3	3	14	16	3	3	14
31268	1	1	16	3	3	14	16	3	3	14
31197	1	0	11	4	7	9	11	4	7	9
31141	1	1	22	0	0	20	22	0	0	20
31193	1	1	18	0	4	16	18	0	4	16
31311	1	1	17	5	0	14	17	5	0	14
31203	1	0	10	8	4	7	10	8	4	7
31126	1	1	17	5	0	14	17	5	0	14
31279	1	1	15	2	5	13	15	2	5	13
31154	1	1	18	2	2	16	18	2	2	16
31188	1	1	16	3	3	14	16	3	3	14
31200	1	1	13	4	5	11	13	4	5	11
31135	1	1	14	5	3	11	14	5	3	11
31217	1	1	15	1	6	13	15	1	6	13
31176	1	1	19	2	1	17	19	2	1	17
31079	1	1	21	1	0	19	21	1	0	19
31246	1	1	22	0	0	20	22	0	0	20
31140	1	1	17	3	2	15	17	3	2	15
31158	1	0	11	5	6	8	11	5	6	8
31330	1	1	12	0	10	11	12	0	10	11
31253	1	1	14	7	1	11	14	7	1	11
31204	1	1	15	6	1	12	15	6	1	12
31267	1	1	18	4	0	15	18	4	0	15
31303	1	1	15	3	4	13	15	3	4	13
31133	1	1	17	2	3	15	17	2	3	15
31155	1	1	16	2	4	14	16	2	4	14
31148	1	1	20	1	1	18	20	1	1	18
31221	1	1	18	0	4	16	18	0	4	16
31150	1	1	15	3	4	13	15	3	4	13
31298	1	0	10	4	8	8	10	4	8	8
31265	1	1	21	1	0	19	21	1	0	19
31134	1	1	14	4	4	12	14	4	4	12
31331	1	0	3	5	14	1	3	5	14	1
30698	1	1	16	2	4	14	16	2	4	14
30904	1	1	16	2	4	14	16	2	4	14
30485	1	1	18	2	2	16	18	2	2	16
30484	1	1	14	2	6	12	14	2	6	12
30543	1	0	10	7	5	7	10	7	5	7
30533	1	0	11	7	4	8	11	7	4	8
30860	1	1	16	2	4	14	16	2	4	14
30547	1	0	11	3	8	9	11	3	8	9
30704	1	1	12	3	7	10	12	3	7	10
30732	1	1	12	2	8	10	12	2	8	10
30500	1	1	17	0	5	15	17	0	5	15
30491	1	1	13	7	2	10	13	7	2	10
30471	1	1	18	1	3	16	18	1	3	16
30753	1	1	19	1	2	17	19	1	2	17
30775	1	0	10	4	8	8	10	4	8	8
30752	1	1	18	2	2	16	18	2	2	16
30734	1	1	20	2	0	18	20	2	0	18
30876	1	1	12	4	6	10	12	4	6	10
30647	1	1	15	5	2	12	15	5	2	12
30915	1	1	14	3	5	12	14	3	5	12
30652	1	0	3	6	13	1	3	6	13	1
30910	1	0	12	6	4	9	12	6	4	9
30894	1	1	15	6	1	12	15	6	1	12
30671	1	1	19	1	2	17	19	1	2	17
30905	1	1	17	1	4	15	17	1	4	15
30895	1	1	19	0	3	17	19	0	3	17
30675	1	0	11	3	8	9	11	3	8	9
30869	1	0	11	5	6	8	11	5	6	8
30912	1	1	15	6	1	12	15	6	1	12
30633	1	1	18	3	1	15	18	3	1	15
30877	1	1	17	1	4	15	17	1	4	15
30888	1	1	16	2	4	14	16	2	4	14
30882	1	1	14	4	4	12	14	4	4	12
30868	1	1	15	2	5	13	15	2	5	13
30899	1	0	9	5	8	7	9	5	8	7
30663	1	1	13	2	7	11	13	2	7	11
30870	1	1	19	1	2	17	19	1	2	17
30884	1	1	15	1	6	13	15	1	6	13
30659	1	0	6	8	8	3	6	8	8	3
30629	1	1	16	3	3	14	16	3	3	14
30504	1	0	11	5	6	8	11	5	6	8
30682	1	1	17	2	3	15	17	2	3	15
30493	1	0	9	3	10	7	9	3	10	7
30559	1	0	12	5	5	9	12	5	5	9
30764	1	1	18	4	0	15	18	4	0	15
30565	1	0	13	8	1	9	13	8	1	9
30508	1	1	12	2	8	10	12	2	8	10
30494	1	1	22	0	0	20	22	0	0	20
30789	1	1	13	3	6	11	13	3	6	11
30773	1	0	7	5	10	5	7	5	10	5
30556	1	0	11	4	7	9	11	4	7	9
30743	1	1	20	1	1	18	20	1	1	18
30713	1	1	18	3	1	15	18	3	1	15
30806	1	0	6	11	5	2	6	11	5	2
30747	1	1	21	0	1	19	21	0	1	19
30474	1	1	15	2	5	13	15	2	5	13
30779	1	1	13	1	8	12	13	1	8	12
30509	1	1	21	1	0	19	21	1	0	19
30726	1	1	13	4	5	11	13	4	5	11
30797	1	1	13	4	5	11	13	4	5	11
30897	1	1	17	0	5	15	17	0	5	15
30665	1	1	18	2	2	16	18	2	2	16
30794	1	1	15	3	4	13	15	3	4	13
30787	1	1	19	1	2	17	19	1	2	17
30802	1	1	19	2	1	17	19	2	1	17
30582	1	1	19	1	2	17	19	1	2	17
30755	1	1	13	6	3	10	13	6	3	10
30715	1	1	17	5	0	14	17	5	0	14
30714	1	1	18	3	1	15	18	3	1	15
30545	1	0	11	8	3	8	11	8	3	8
30495	1	1	19	3	0	16	19	3	0	16
30511	1	1	19	2	1	17	19	2	1	17
30735	1	1	13	4	5	11	13	4	5	11
30553	1	1	18	2	2	16	18	2	2	16
30744	1	1	15	2	5	13	15	2	5	13
30598	1	1	18	2	2	16	18	2	2	16
30630	1	1	22	0	0	20	22	0	0	20
30711	1	1	15	3	4	13	15	3	4	13
30733	1	1	18	3	1	15	18	3	1	15
30721	1	1	17	1	4	15	17	1	4	15
30754	1	1	18	4	0	15	18	4	0	15
30535	1	1	18	3	1	15	18	3	1	15
30706	1	1	13	1	8	12	13	1	8	12
30778	1	1	20	2	0	18	20	2	0	18
30550	1	0	6	7	9	3	6	7	9	3
30481	1	1	17	3	2	15	17	3	2	15
30751	1	1	17	5	0	14	17	5	0	14
30782	1	1	16	4	2	13	16	4	2	13
30480	1	1	19	2	1	17	19	2	1	17
30725	1	1	16	3	3	14	16	3	3	14
30678	1	1	13	4	5	11	13	4	5	11
30571	1	1	13	3	6	11	13	3	6	11
30832	1	1	16	2	4	14	16	2	4	14
30476	1	0	9	6	7	6	9	6	7	6
30616	1	1	18	1	3	16	18	1	3	16
30608	1	1	15	1	6	13	15	1	6	13
30584	1	1	14	5	3	11	14	5	3	11
30701	1	1	13	4	5	11	13	4	5	11
30693	1	0	12	8	2	8	12	8	2	8
30651	1	1	13	3	6	11	13	3	6	11
30602	1	1	17	1	4	15	17	1	4	15
30575	1	1	20	1	1	18	20	1	1	18
30498	1	1	14	3	5	12	14	3	5	12
30862	1	0	11	2	9	9	11	2	9	9
30793	1	0	8	8	6	5	8	8	6	5
30842	1	0	11	8	3	8	11	8	3	8
30815	1	0	10	5	7	8	10	5	7	8
30605	1	1	15	5	2	12	15	5	2	12
30703	1	1	13	3	6	11	13	3	6	11
