"ijkID","feedbackcode"
"17dwGRG602530318","17dw84346"
"17dwGRG602630319","17dw25356"
"17dwAEEX13430320","17dw30603"
"17dwAEEX13530321","17dw40653"
"17dwAEEX13630322","17dw87393"
"17dwAEEX13730323","17dw68293"
"17dwGRG602730324","17dw52330"
"17dwAEEX13830325","17dw93224"
"17dwGRG602830326","17dw34023"
"17dwAEEX13930327","17dw10601"
"17dwGRG602930328","17dw17426"
"17dwAEEX14030329","17dw72871"
"17dwAEEX14130330","17dw94478"
"17dwAEEX14230331","17dw36589"
"17dwGRG603030332","17dw61534"
"17dwAEEX14330333","17dw89895"
"17dwAEEX14430334","17dw11406"
"17dwGRG603130335","17dw97280"
"17dwGRG603230336","17dw59053"
"17dwGRG700130337","17dw41202"
"17dwGRG700230338","17dw36231"
"17dwGRG700330339","17dw62551"
"17dwAEEX14530340","17dw90909"
"17dwAEEX14630341","17dw17761"
"17dwAEEX14730342","17dw43399"
"17dwGRG700430343","17dw66106"
"17dwGRG700530344","17dw66142"
"17dwAEEX14830345","17dw83995"
"17dwAEEX14930346","17dw34274"
"17dwAEEX15030347","17dw24927"
"17dwAEEX15130348","17dw79317"
"17dwAEEX15230349","17dw79415"
"17dwAEEX15330350","17dw57041"
"17dwGRG700630351","17dw83113"
"17dwGRG700730352","17dw44806"
"17dwAEEX15430353","17dw53938"
"17dwGRG700830354","17dw75833"
"17dwGRG700930355","17dw81820"
"17dwAEEX15530356","17dw95057"
"17dwAEEX15630357","17dw50852"
"17dwGRG701030358","17dw77085"
"17dwAEEX18730453","17dw25207"
"17dwAEEX15730359","17dw61776"
"17dwAEEX15830360","17dw49832"
"17dwAEEX15930361","17dw67212"
"17dwGRG701130362","17dw88780"
"17dwAEEX16030363","17dw92422"
"17dwGRG901130454","17dw68944"
"17dwGRG701230364","17dw94458"
"17dwGRG701330365","17dw49689"
"17dwAEEX16130366","17dw63809"
"17dwGRG701430367","17dw78962"
"17dwGRG701530368","17dw89677"
"17dwGRG701630369","17dw58462"
"17dwGRG701730370","17dw31534"
"17dwAEEX16230371","17dw54297"
"17dwAEEX18830455","17dw86834"
"17dwGRG701830372","17dw75488"
"17dwGRG701930373","17dw54958"
"17dwAEEX16330374","17dw31945"
"17dwGRG702030375","17dw74546"
"17dwGRG702130376","17dw84787"
"17dwAEEX16430377","17dw88829"
"17dwGRG702230378","17dw29771"
"17dwGRG702330379","17dw46632"
"17dwGRG901230456","17dw95219"
"17dwGRG702430380","17dw79157"
"17dwGRG901330457","17dw67739"
"17dwGRG702530381","17dw46138"
"17dwAEEX16530382","17dw56878"
"17dwAEEX16630383","17dw99721"
"17dwAEEX18930458","17dw68377"
"17dwGRG702630384","17dw35542"
"17dwAEEX16730385","17dw81677"
"17dwGRG702730386","17dw73064"
"17dwGRG702830387","17dw44231"
"17dwGRG702930388","17dw25916"
"17dwAEEX16830389","17dw53820"
"17dwGRG703030390","17dw52661"
"17dwGRG703130391","17dw67024"
"17dwGRG703230392","17dw87517"
"17dwGRG800130393","17dw31931"
"17dwGRG800230394","17dw88941"
"17dwAEEX16930395","17dw89627"
"17dwGRG800330396","17dw12035"
"17dwGRG800430397","17dw37457"
"17dwGRG901430459","17dw83761"
"17dwGRG800530398","17dw47478"
"17dwGRG800630399","17dw70390"
"17dwGRG800730400","17dw32754"
"17dwGRG800830401","17dw45132"
"17dwGRG800930402","17dw28258"
"17dwGRG801030403","17dw95152"
"17dwAEEX17030404","17dw73715"
"17dwAEEX17130405","17dw43052"
"17dwAEEX17230406","17dw25996"
"17dwGRG901530460","17dw12650"
"17dwGRG801130407","17dw52984"
"17dwAEEX17330408","17dw37240"
"17dwAEEX17430409","17dw28398"
"17dwGRG801230410","17dw18506"
"17dwAEEX17530411","17dw43059"
"17dwGRG801330412","17dw20152"
"17dwGRG801430413","17dw82157"
"17dwGRG801530414","17dw53650"
"17dwGRG801630415","17dw60371"
"17dwGRG801730416","17dw92683"
"17dwAEEX17630417","17dw51197"
"17dwGRG901630461","17dw74513"
"17dwAEEX19030462","17dw66010"
"17dwGRG801830418","17dw95889"
"17dwGRG801930419","17dw88954"
"17dwAEEX19130463","17dw45204"
"17dwGRG802030420","17dw57103"
"17dwAEEX17730421","17dw40899"
"17dwGRG802130422","17dw32724"
"17dwGRG802230423","17dw16621"
"17dwGRG901730464","17dw31227"
"17dwGRG802330424","17dw19193"
"17dwGRG901830465","17dw11832"
"17dwGRG802430425","17dw79226"
"17dwGRG802530426","17dw82007"
"17dwAEEX17830427","17dw77215"
"17dwGRG901930466","17dw34263"
"17dwGRG902030467","17dw22288"
"17dwGRG802630428","17dw21176"
"17dwGRG802730429","17dw92516"
"17dwGRG802830430","17dw53367"
"17dwGRG802930431","17dw88268"
"17dwAEEX17930432","17dw51576"
"17dwAEEX18030433","17dw70071"
"17dwGRG803030434","17dw44313"
"17dwGRG902130468","17dw83917"
"17dwAEEX19230469","17dw80959"
"17dwGRG803130435","17dw15024"
"17dwGRG803230436","17dw18526"
"17dwGRG900130437","17dw73192"
"17dwGRG900230438","17dw81894"
"17dwGRG900330439","17dw20770"
"17dwAEEX18130440","17dw97543"
"17dwGRG900430441","17dw44765"
"17dwGRG900530442","17dw51935"
"17dwAEEX18230443","17dw81194"
"17dwAEEX18330444","17dw72517"
