feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
17ia78039	1	D	C	B	B	D	X	D	A	C	B	B	X	C	D	C	X	B	D	D	A	C	A
17ia24205	1	D	C	D	B	D	A	C	A	X	B	X	X	X	D	C	X	X	D	D	A	C	D
17ia28114	1	X	C	B	B	D	A	D	A	C	C	B	X	X	X	X	X	X	X	D	D	A	C
17ia82063	1	A	D	B	C	D	X	X	B	C	D	A	B	X	D	C	X	A	X	D	B	C	A
17ia70795	1	B	C	D	D	B	X	X	D	C	A	X	X	X	X	X	B	D	A	D	A	B	A
17ia20843	1	D	C	B	D	B	A	D	C	X	B	D	X	X	B	C	X	C	D	A	A	B	D
17ia92144	1	B	B	C	A	A	X	X	B	D	B	D	D	X	X	X	X	X	X	D	X	C	A
17ia72859	1	D	C	B	B	C	A	C	B	X	A	X	X	X	C	D	X	X	D	D	A	C	D
17ia69407	1	D	C	D	B	D	B	D	A	B	D	B	A	C	B	C	A	B	A	D	C	A	D
17ia97650	1	X	C	D	B	D	X	C	A	C	D	B	A	X	X	C	X	X	D	D	A	C	A
17ia63175	1	D	D	C	A	A	C	A	A	C	C	B	D	D	B	C	A	B	D	D	B	D	C
17ia83104	1	D	C	B	B	B	B	C	D	C	D	B	X	C	D	D	X	B	D	D	A	C	A
17ia45279	1	X	C	X	B	C	C	C	D	X	C	B	X	A	X	B	X	X	C	D	D	B	C
17ia34943	1	X	X	X	B	D	A	X	C	X	X	X	X	X	X	X	X	X	X	D	A	C	A
17ia65532	1	C	D	B	A	C	C	D	D	A	D	X	X	B	C	B	A	X	C	C	A	B	B
17ia42836	1	X	C	X	B	B	X	X	A	X	C	D	X	X	A	C	X	X	D	D	D	X	A
17ia43098	1	X	D	D	B	X	B	X	A	X	C	D	X	C	B	X	X	X	X	D	A	X	A
17ia96548	1	X	C	X	B	D	X	X	X	C	B	C	X	X	X	X	X	X	X	D	A	C	A
17ia62638	1	D	C	B	C	D	X	B	B	C	B	C	A	A	D	A	X	X	D	D	A	B	B
17ia12143	1	D	C	B	B	C	X	D	X	C	B	B	X	X	C	C	X	X	D	D	A	D	A
17ia71608	1	X	C	B	B	D	X	C	A	X	D	X	X	X	C	D	X	X	X	D	A	C	X
17ia86131	1	X	D	D	X	X	C	X	C	X	X	X	X	X	X	X	X	X	D	D	A	X	B
17ia85110	1	X	C	D	B	X	X	X	X	X	B	X	X	C	X	D	X	X	X	D	A	C	A
17ia56875	1	D	C	B	B	D	A	B	A	C	D	X	A	X	C	C	X	B	X	D	A	C	A
17ia13029	1	D	C	B	B	D	A	B	A	X	D	B	X	X	D	C	X	B	D	D	A	X	A
