ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
q1346556	1	C	B	A	B	D	X	D	B	D	C	A	A	A	B	A	C	D	C	A	D	D	D	X	X	B	C	B	B	A	D	B	C	B	B	B
q1384479	1	C	B	A	B	D	X	D	B	B	C	D	B	X	A	A	C	D	D	A	D	B	D	X	B	B	C	B	C	A	D	A	C	B	B	B
q1346124	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	A	D	A	C	A	D	D	X	X	D	B	C	B	A	A	D	A	C	B	B	B
q1446686	1	C	B	A	B	D	A	D	B	D	C	A	B	B	B	A	C	D	C	A	D	B	C	C	C	B	D	B	C	A	D	A	C	B	B	B
q1247692	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	A	C	D	C	A	D	B	C	X	B	X	X	B	C	A	D	A	C	B	B	B
q1381766	1	C	B	A	B	A	B	X	B	C	C	X	B	A	B	A	C	X	C	A	C	C	D	C	C	X	C	A	B	D	A	A	C	X	C	D
q1378915	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	X	C	D	C	A	D	X	C	C	B	B	C	B	X	A	X	A	X	B	B	B
q1425287	1	C	B	A	B	D	B	C	B	D	C	A	B	D	B	B	C	B	D	A	D	B	B	A	B	B	C	A	B	A	A	A	A	A	D	B
q1384066	1	A	B	D	B	D	A	D	B	D	C	C	B	A	B	A	C	C	C	A	D	D	C	C	D	D	D	B	C	A	A	A	C	C	B	B
q1459985	1	C	B	A	D	D	B	B	X	D	C	A	B	X	B	X	C	D	C	A	X	D	D	B	D	B	C	B	C	A	C	B	C	A	A	B
q1414559	1	C	B	A	B	B	A	X	X	D	X	A	X	X	B	X	A	C	C	B	C	A	X	X	X	X	A	B	A	A	D	A	C	C	C	B
q1397199	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	D	D	C	X	B	X	C	B	X	A	D	A	X	X	B	B
q1378376	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	X	C	A	X	D	B	X	B	B	X	B	C	A	A	A	C	B	B	C
q1381478	1	C	B	A	B	D	C	X	B	D	C	A	B	X	X	X	C	X	C	A	A	B	X	X	C	X	C	B	A	A	X	A	A	X	B	B
q1381286	1	C	B	A	C	D	B	X	B	D	C	A	B	X	B	X	D	X	C	A	C	B	D	X	B	X	C	B	C	A	D	A	D	B	B	B
q1446542	1	C	B	A	B	D	X	B	B	D	C	D	C	X	B	X	C	X	C	A	X	B	D	B	B	B	C	C	B	A	B	A	B	B	B	D
q1396245	1	C	B	A	C	D	B	X	X	D	C	A	B	A	A	A	C	D	C	A	D	B	D	X	A	D	C	B	A	A	A	A	C	B	B	B
q1425826	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	B	C	B	C	A	D	D	C	A	B	B	C	B	C	A	D	A	C	C	B	D
q1315344	1	C	B	A	C	D	B	X	X	D	C	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
q1442616	1	C	B	C	B	X	B	X	A	D	C	A	A	X	B	X	C	A	X	A	X	A	X	B	B	B	X	B	D	A	D	A	X	B	C	B
q1317416	1	C	B	A	B	D	B	B	B	D	C	C	B	B	B	A	C	C	B	A	B	B	C	A	B	B	B	C	B	A	D	C	C	C	B	B
q1346660	1	C	B	A	B	D	D	D	B	D	C	C	B	A	D	D	C	D	C	A	C	B	D	C	B	B	C	D	B	A	A	B	C	B	C	B
q1423589	1	C	B	D	B	D	B	C	B	D	C	A	B	C	B	D	C	C	C	A	A	B	C	C	B	A	C	B	C	B	D	B	C	C	B	B
q1436801	1	C	B	A	B	D	C	X	B	D	C	C	X	X	B	X	C	C	C	A	D	D	D	X	A	B	C	A	B	A	B	C	C	C	B	C
q1417617	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	A	C	A	D	B	D	X	B	D	C	B	C	A	D	A	D	B	B	B
