ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
24518	1	D	D	D	B	B	A	D	D	B	B	E	E	C	E	A	C	E	C	X	X	C	B	A	E	D	X	E	X	E	X	A	X	E	X	B	X	D	X	D	X
25588	1	D	C	D	A	E	A	D	D	E	C	E	C	C	A	A	C	D	C	X	E	C	B	A	E	D	B	B	E	E	X	E	X	A	C	B	C	D	E	C	C
24863	1	D	C	D	B	B	B	D	D	B	C	E	C	D	A	A	C	E	C	B	C	X	B	C	E	D	B	C	C	E	C	C	A	D	C	C	X	D	E	D	E
25917	1	E	C	D	A	X	B	D	E	E	B	E	E	D	A	A	C	D	C	B	A	C	B	A	E	D	B	C	E	X	C	X	A	E	C	B	C	B	A	A	X
26175	1	D	C	D	B	C	A	D	E	B	B	E	C	E	D	A	C	E	C	A	C	C	B	A	E	B	B	C	E	E	C	A	D	D	C	B	C	D	A	E	X
26957	1	D	C	D	B	E	B	D	D	B	B	E	C	C	A	A	C	E	B	X	C	C	B	A	E	B	B	D	C	E	C	C	X	A	B	B	E	B	E	D	D
24993	1	X	C	D	B	X	B	D	E	X	C	E	C	D	D	A	C	X	X	E	C	X	X	A	E	D	X	C	X	E	X	C	X	X	X	B	C	X	X	D	A
27101	1	C	C	C	B	C	E	D	E	B	B	E	C	D	A	A	C	E	C	C	C	A	E	A	E	A	B	X	C	E	X	C	E	D	B	B	D	D	E	A	D
26730	1	D	C	D	B	D	B	D	D	B	B	E	C	D	A	A	C	X	C	B	X	C	B	A	E	D	B	C	X	E	C	A	A	D	D	X	X	D	A	D	D
26800	1	D	C	D	C	D	B	D	D	B	B	E	C	D	A	A	C	E	C	E	A	C	B	C	E	D	B	C	C	B	C	C	A	D	C	C	C	D	C	D	D
