feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep
19xd31737	1	1	20	6	9	10	10-13	13	5	7	9	<10	7	1	2	7	7-8	6	3	6	5	<8	7	2	1	6	5-7
19xd92360	1	1	23	5	7	12	10-13	14	5	6	10	10-13	9	0	1	9	>=9	5	4	6	4	<8	9	1	0	9	>=7
19xd57154	1	0	17	18	0	6	<10	10	15	0	4	<10	7	3	0	6	<7	8	7	0	6	<8	2	8	0	0	<5
19xd14932	1	1	27	8	0	14	>=14	18	7	0	13	10-13	9	1	0	9	>=9	12	3	0	11	8-11	6	4	0	5	5-7
19xd96427	1	0	14	15	6	5	<10	8	12	5	3	<10	6	3	1	5	<7	5	5	5	3	<8	3	7	0	1	<5
19xd52419	1	1	29	3	3	16	>=14	19	3	3	14	>=14	10	0	0	10	>=9	10	2	3	9	8-11	9	1	0	9	>=7
19xd26988	1	0	19	13	3	8	<10	11	11	3	6	<10	8	2	0	7	7-8	8	4	3	7	<8	3	7	0	1	<5
19xd95205	1	1	27	4	4	15	>=14	17	4	4	13	10-13	10	0	0	10	>=9	9	3	3	8	8-11	8	1	1	8	>=7
19xd30252	1	1	29	1	5	16	>=14	19	1	5	15	>=14	10	0	0	10	>=9	9	1	5	9	8-11	10	0	0	10	>=7
19xd90372	1	0	18	17	0	7	<10	9	16	0	3	<10	9	1	0	9	>=9	3	12	0	0	<8	6	4	0	5	5-7
19xd10518	1	1	20	6	9	10	10-13	12	4	9	9	<10	8	2	0	7	7-8	5	2	8	4	<8	7	2	1	6	5-7
19xd85263	1	1	32	2	1	18	>=14	23	2	0	18	>=14	9	0	1	9	>=9	13	2	0	12	>=12	10	0	0	10	>=7
19xd28469	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12	10	0	0	10	>=7
19xd19099	1	0	18	10	7	8	<10	11	7	7	7	<10	7	3	0	6	<7	8	2	5	7	<8	3	5	2	1	<5
19xd17076	1	0	18	10	7	8	<10	11	7	7	7	<10	7	3	0	6	<7	8	2	5	7	<8	3	5	2	1	<5
19xd22468	1	0	15	10	10	7	<10	8	10	7	4	<10	7	0	3	7	7-8	5	5	5	3	<8	3	5	2	1	<5
19xd63367	1	1	31	4	0	17	>=14	21	4	0	16	>=14	10	0	0	10	>=9	13	2	0	12	>=12	8	2	0	7	>=7
