ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
q1359318	1	1	28	3	4	15	19	3	3	14	9	0	1	9	13	0	2	13	6	3	1	5
q1459269	1	1	25	4	6	14	18	2	5	14	7	2	1	6	9	2	4	8	9	0	1	9
q1369260	1	1	29	2	4	16	20	1	4	16	9	1	0	9	11	0	4	11	9	1	0	9
q1345637	1	1	27	5	3	14	19	3	3	14	8	2	0	7	11	1	3	11	8	2	0	7
q1378996	1	1	26	5	4	14	16	5	4	11	10	0	0	10	9	3	3	8	7	2	1	6
q1395065	1	1	26	5	4	14	16	5	4	11	10	0	0	10	7	4	4	6	9	1	0	9
q1382065	1	1	33	2	0	18	24	1	0	19	9	1	0	9	14	1	0	14	10	0	0	10
q1427370	1	1	29	3	3	16	19	3	3	14	10	0	0	10	10	3	2	9	9	0	1	9
q1133281	1	1	18	3	14	10	12	2	11	9	6	1	3	6	3	2	10	2	9	0	1	9
q1417543	1	1	26	4	5	14	17	3	5	13	9	1	0	9	11	1	3	11	6	2	2	5
q1382237	1	1	20	7	8	10	14	5	6	10	6	2	2	5	7	3	5	6	7	2	1	6
q1421342	1	1	19	1	15	11	13	0	12	10	6	1	3	6	6	0	9	6	7	0	3	7
q1413294	1	1	31	2	2	17	21	2	2	16	10	0	0	10	14	0	1	14	7	2	1	6
q1340977	1	0	17	11	7	8	9	10	6	5	8	1	1	8	4	6	5	2	5	4	1	4
q1395056	1	1	29	2	4	16	19	2	4	15	10	0	0	10	12	1	2	12	7	1	2	7
q1411827	1	0	12	11	12	5	6	9	10	2	6	2	2	5	4	4	7	3	2	5	3	0
q1174968	1	0	16	11	8	7	11	6	8	7	5	5	0	3	5	3	7	4	6	3	1	5
q1315781	1	1	29	4	2	16	19	4	2	14	10	0	0	10	10	3	2	9	9	1	0	9
q1440580	1	0	14	14	7	5	6	12	7	2	8	2	0	7	4	6	5	2	2	6	2	0
q1384466	1	1	27	3	5	15	18	3	4	14	9	0	1	9	11	1	3	11	7	2	1	6
q1384239	1	1	27	4	4	15	19	3	3	14	8	1	1	8	10	2	3	9	9	1	0	9
q1414550	1	1	26	3	6	14	17	3	5	13	9	0	1	9	8	2	5	7	9	1	0	9
q1363954	1	1	19	5	11	10	10	5	10	7	9	0	1	9	5	1	9	5	5	4	1	4
q1397240	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
q1417521	1	1	29	4	2	16	19	4	2	14	10	0	0	10	10	3	2	9	9	1	0	9
q1378775	1	0	16	8	11	8	8	8	9	4	8	0	2	8	4	5	6	2	4	3	3	3
q1405755	1	1	28	2	5	16	18	2	5	14	10	0	0	10	10	1	4	10	8	1	1	8
q1387466	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
q1381738	1	1	22	11	2	10	13	10	2	8	9	1	0	9	9	4	2	8	4	6	0	2
q1388979	1	1	28	3	4	15	18	3	4	14	10	0	0	10	8	3	4	7	10	0	0	10
q1307633	1	1	20	6	9	10	11	6	8	7	9	0	1	9	4	4	7	3	7	2	1	6
q1371572	1	1	26	3	6	14	17	3	5	13	9	0	1	9	10	1	4	10	7	2	1	6
q1347445	1	0	18	5	12	9	8	5	12	5	10	0	0	10	4	2	9	3	4	3	3	3
q1330309	1	0	10	9	16	4	6	9	10	2	4	0	6	4	2	5	8	0	4	4	2	3
q1380690	1	0	11	7	17	5	7	6	12	4	4	1	5	4	5	2	8	4	2	4	4	1
q1300713	1	0	20	15	0	9	13	12	0	7	7	3	0	6	5	10	0	2	8	2	0	7
q1417569	1	1	29	4	2	16	20	3	2	15	9	1	0	9	11	2	2	10	9	1	0	9
q1381741	1	1	24	3	8	13	14	3	8	10	10	0	0	10	5	2	8	4	9	1	0	9
q1423096	1	1	26	4	5	14	17	3	5	13	9	1	0	9	8	2	5	7	9	1	0	9
q1377357	1	0	15	11	9	6	6	11	8	2	9	0	1	9	3	4	8	2	3	7	0	1
q1382242	1	0	17	13	5	7	10	11	4	5	7	2	1	6	7	6	2	5	3	5	2	1
q1461360	1	1	24	3	8	13	14	3	8	10	10	0	0	10	5	2	8	4	9	1	0	9
q1439347	1	0	14	20	1	4	7	18	0	1	7	2	1	6	6	9	0	3	1	9	0	0
q1421904	1	0	19	16	0	8	12	13	0	6	7	3	0	6	8	7	0	6	4	6	0	2
q1425282	1	0	14	17	4	5	8	13	4	3	6	4	0	5	4	8	3	1	4	5	1	2
q1324494	1	1	23	3	9	13	14	2	9	11	9	1	0	9	6	0	9	6	8	2	0	7
q1423627	1	1	20	2	13	11	14	2	9	11	6	0	4	6	6	0	9	6	8	2	0	7
q1346395	1	0	14	6	15	7	9	5	11	6	5	1	4	5	1	3	11	0	8	2	0	7
q1353366	1	1	22	3	10	12	14	2	9	11	8	1	1	8	6	2	7	5	8	0	2	8
q1370536	1	1	26	4	5	14	17	4	4	13	9	0	1	9	10	2	3	9	7	2	1	6
q1461991	1	1	24	3	8	13	16	3	6	12	8	0	2	8	8	1	6	8	8	2	0	7
q1378450	1	0	11	11	13	4	6	9	10	2	5	2	3	4	3	5	7	1	3	4	3	2
q1404432	1	0	13	8	14	6	6	6	13	3	7	2	1	6	1	2	12	0	5	4	1	4
q1396633	1	0	5	7	23	2	0	2	23	0	5	5	0	3	0	2	13	0	0	0	10	0
q1341159	1	0	11	22	2	2	7	17	1	1	4	5	1	2	2	12	1	0	5	5	0	3
q1404902	1	1	30	2	3	17	20	2	3	15	10	0	0	10	12	1	2	12	8	1	1	8
q1266655	1	0	10	25	0	1	7	18	0	1	3	7	0	1	3	12	0	0	4	6	0	2
q1306323	1	0	10	24	1	1	6	18	1	0	4	6	0	2	4	10	1	1	2	8	0	0
