Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32733,bw1593074003DgloIwhwpBNTcUQh98NU0sAnhNuRLd,19,A,11,,,,10,,,,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,32745,bw15931641374f4HzjFfOEqlyNX8MuFTz2hcu78ezn,19,A,10,,,,9,,,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,32747,bw1593167975fhYkiSjtnpyXnt5J4PmNHFbayx4w4P,19,A,18,,,,10,,,,11,,,,10,,,,,,,,,,,,,,,,,,,,,,,
,,32751,bw1593183488UuNU2FlHZvPmns4oXVEG3RUGIDJG3W,19,A,15,,,,10,,,,11,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,32756,bw15932145322VrER0JQP5CrTnvwW2TTV5yoRkQ6AJ,19,A,11,,,,8,,,,7,,,,4,,,,,,,,,,,,,,,,,,,,,,,
,,32834,bw1593534890xHPRNmuvsVHM41ONVyMBelTX5tbHAe,19,B,5,,,,7,,,,2,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,32843,bw1593593518bdaDvNhEduPqWxTJg5kC7rgMI18vPH,19,A,13,,,,9,,,,10,,,,4,,,,,,,,,,,,,,,,,,,,,,,
,,32848,bw1593607209e87iCmMRiftG43YqIMYy06lPyzhnHX,19,A,10,,,,8,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,,32854,bw1593618238bAKmaM8csdHUtm5lqSA5qBr32yUBFO,19,A,14,,,,10,,,,11,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,32876,bw1593698646Xli8GAeRzRtlVURdYrtvdd5NV7kZkr,19,A,11,,,,9,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,,32885,bw15937163375e874ElVavq4DDHr2u1ierR8O4iClY,19,A,10,,,,5,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,32888,bw1593724368j1neGluD4qstOGmnheLRM3rOVT7PaD,19,A,11,,,,7,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,32897,bw1593787888jEvDWw6kMytptmWsEKGeznXVFpbkxf,19,A,15,,,,9,,,,14,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,32912,bw1593871797dXxK1Yysqd7KCsXhje454z9IMtY4BS,19,A,13,,,,8,,,,9,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,32922,bw1593951481lWA0Rtib9YXIXjmP82ExkybwA1qjM9,19,B,9,,,,9,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,32941,bw1594044537KKF3Eakk2epP7NZ1VLxQ6kXHaydPkf,19,A,16,,,,10,,,,11,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,33725,bw1594134557AVFxY8nfMlvmhMDWZMcwNOyLL5NDVS,19,A,10,,,,9,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,32970,bw1594243224aAxnpIyneeQfUVYf6ZmYxQIspG5ynh,19,B,9,,,,6,,,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,32984,bw15943209728RqGrc7OtmmqMyAzgg164tIwnZhKn1,19,B,9,,,,6,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,32994,bw1594389693v4Of5Isn3AdRZuGm03uZxHfqQJQuAE,19,A,16,,,,9,,,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,
,,33011,bw1594541658OpZXA9yRfnQiHwihuhJ11gbLC6UIsw,19,A,14,,,,9,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,
,,33030,bw15947245363nafCr3VdNcXsIBCmSG9mTU13Y0uBG,19,A,14,,,,10,,,,12,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,33036,bw1594752340ezUK11Trlaipf0TKFelQta6NSZgZGB,19,A,15,,,,9,,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,33039,bw1594800756qByGRaswIsu6EwGtuFwXmRugwbGgS6,19,A,15,,,,10,,,,10,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,33051,bw1594883234wLne0j3UqlH0FJqocNeI5fTyNNg6ik,19,A,13,,,,7,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,
,,33053,bw15948943445T8mlekNwESDYTm2y2EpH7xJKaQI99,19,A,16,,,,9,,,,10,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,33738,bw1594930707O8wxuzMFe22st5vFz4yboGXIS1bM6S,19,B,9,,,,10,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,,33069,bw1594999727l2QkyMOVg2DnbOcIHSIYv15xzXz4i8,19,A,19,,,,10,,,,13,,,,10,,,,,,,,,,,,,,,,,,,,,,,
,,33087,bw1595181454WiBAy2eJXpFikKcWCmo7XGtH8AGKus,19,A,12,,,,8,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,33093,bw1595243601TuvqD6rWrE2czzs1Qlos68afa6fK4G,19,A,13,,,,9,,,,9,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,,33097,bw1595258674rVpKTkpN25bHmAX8HdYqlkcWtIuUSa,19,B,8,,,,5,,,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,,33103,bw1595271996weH26V1ZjsV1jv5RpRu8E0sVbh4CzN,19,A,15,,,,9,,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,33119,bw1595417125gGGouez9YiA6Ebbiu2FygmyPf34uOi,19,A,12,,,,7,,,,7,,,,8,,,,,,,,,,,,,,,,,,,,,,,
