ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
31936	1	C	C	B	D	B	D	X	A	B	A	A	A	A	X	A	D	X	A	D	B	A	B
31991	1	C	C	B	D	B	D	D	A	B	A	A	A	X	A	A	X	X	A	X	B	A	B
31993	1	B	B	B	B	B	B	B	A	X	A	C	A	B	B	A	X	X	A	X	B	A	B
31960	1	C	C	B	X	B	D	A	A	X	A	D	X	A	X	D	X	X	X	C	C	A	A
31971	1	C	C	B	D	B	D	D	A	B	A	X	A	C	X	A	D	B	A	D	D	A	A
31955	1	C	C	B	D	B	D	D	D	B	A	B	A	X	X	A	B	B	X	D	B	A	A
31983	1	C	C	B	B	B	D	X	A	B	A	X	A	A	A	A	X	B	X	B	B	A	D
31934	1	C	C	B	D	B	D	D	D	X	A	A	C	X	X	A	X	B	A	D	B	B	B
31986	1	C	C	B	X	B	D	X	A	X	A	X	A	X	X	A	X	B	A	X	B	A	A
31907	1	C	A	B	X	X	B	A	A	B	X	X	A	B	X	A	D	A	B	D	B	A	B
31922	1	C	C	B	D	X	D	B	A	B	A	C	A	B	B	D	B	B	A	C	D	B	C
32002	1	C	D	B	X	X	D	C	A	X	X	X	B	B	D	A	X	X	A	X	A	D	B
31963	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	A	A	B	A	D	B	A	B
32000	1	D	D	B	C	B	D	A	A	A	B	A	C	X	X	A	X	A	A	C	C	B	A
31962	1	C	C	B	D	B	D	D	A	B	A	A	A	B	A	A	A	B	A	D	B	D	B
31912	1	C	C	B	D	B	D	D	A	B	A	X	A	A	A	X	X	B	B	X	B	A	B
32075	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	D	A	B	A	D	B	A	B
32070	1	C	C	B	X	X	B	X	A	X	C	X	X	A	D	X	B	B	X	X	D	D	B
32058	1	C	C	B	D	B	D	D	A	X	A	A	A	A	X	A	X	X	A	B	B	X	B
32022	1	C	A	B	C	B	D	D	A	B	C	B	A	A	C	B	D	A	C	B	A	D	C
32042	1	C	D	B	D	B	D	D	A	A	A	X	A	C	X	A	X	X	A	D	B	A	B
32099	1	C	C	B	B	B	D	D	C	C	A	D	B	C	B	D	D	X	A	D	B	D	B
32083	1	C	C	B	D	X	D	D	A	B	A	D	A	A	A	A	A	B	A	D	B	A	B
32082	1	D	C	B	D	B	D	X	X	A	X	X	D	A	X	X	X	X	X	X	B	X	B
32109	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	A	X	B	A	D	B	A	A
32081	1	X	C	B	X	X	D	A	A	X	A	A	C	X	X	D	X	X	A	X	A	B	C
32126	1	C	D	B	D	B	D	X	A	B	A	B	A	A	B	A	X	B	X	D	B	B	B
32031	1	D	D	C	A	X	B	A	A	X	B	D	A	X	X	B	X	X	A	A	X	B	C
32069	1	C	C	B	D	B	D	D	A	B	A	A	A	A	B	A	X	X	B	C	B	A	B
32151	1	C	C	B	D	B	D	D	A	A	A	D	A	C	A	A	A	B	A	B	B	A	B
32032	1	C	A	B	D	X	D	A	A	B	A	A	A	X	X	A	X	X	X	X	X	A	A
32020	1	C	C	B	D	B	D	X	A	X	A	A	A	A	X	A	X	B	A	X	B	A	C
32036	1	C	A	B	X	X	D	D	A	X	A	D	A	X	X	A	X	X	A	X	B	A	A
32110	1	B	C	B	D	X	D	X	A	X	A	A	A	B	X	X	D	X	X	B	B	X	C
32044	1	B	B	B	D	B	D	D	A	A	X	C	A	X	A	A	B	X	A	C	A	D	X
32045	1	C	C	B	X	B	D	X	A	B	A	X	A	A	D	X	A	X	A	X	B	X	X
32101	1	C	C	B	D	X	D	X	A	X	A	X	A	X	X	C	X	B	X	X	B	A	B
32118	1	C	C	B	D	B	D	X	A	C	A	A	A	C	X	A	X	B	X	D	B	A	X
32104	1	B	C	B	D	B	D	D	A	A	A	X	A	X	A	X	X	X	X	X	B	D	X
32123	1	C	C	B	D	B	D	D	A	X	A	X	A	B	X	X	X	X	X	X	B	B	C
32129	1	C	C	B	B	B	D	D	A	X	A	X	D	A	X	A	X	B	A	D	B	A	C
32136	1	C	C	B	D	X	D	A	A	X	X	A	A	X	X	D	X	B	B	X	B	A	C
32125	1	C	C	B	B	X	D	D	A	B	X	A	X	B	C	A	X	B	A	X	B	B	B
32023	1	C	A	B	X	B	D	X	A	X	A	C	D	X	X	X	A	B	A	X	C	D	B
32055	1	C	C	B	D	B	B	X	A	B	A	A	D	X	X	A	X	C	C	D	B	A	X
32010	1	D	C	B	X	D	D	C	A	X	A	X	C	X	X	D	X	X	D	X	X	B	C
32061	1	C	C	B	B	B	D	D	A	X	A	A	D	A	X	A	A	X	D	X	X	A	C
32049	1	C	C	B	A	B	B	C	A	X	A	X	A	B	X	A	C	X	X	D	C	B	A
32048	1	C	C	B	X	B	D	D	A	X	A	D	D	A	A	A	X	C	D	D	B	A	B
32122	1	B	C	B	B	B	D	X	A	X	B	X	A	B	X	D	D	X	X	X	B	A	D
32016	1	C	C	B	D	B	D	A	A	X	A	X	A	B	A	A	X	B	A	X	B	D	A
31939	1	C	C	B	D	B	B	X	A	X	A	D	A	X	D	A	X	X	A	X	X	A	X
31908	1	C	C	B	D	B	D	X	A	X	A	A	D	X	A	A	X	X	A	D	B	A	B
32098	1	C	C	B	D	X	D	D	A	B	X	X	D	B	A	A	A	B	A	D	B	A	B
32080	1	C	C	B	D	X	D	D	A	B	B	X	D	A	B	X	X	C	B	X	A	C	C
32128	1	C	C	B	X	B	D	D	A	B	A	D	A	A	X	A	X	B	X	X	B	A	B
32085	1	C	C	B	X	X	D	X	A	X	X	B	A	B	X	A	A	X	A	X	B	A	B
32120	1	C	C	B	D	B	D	D	A	C	A	X	A	A	A	A	A	B	A	C	B	A	B
