ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
33544	1	A	B	D	A	B	D	D	D	D	D	D	B	A	C	B	C	C	B	A	D	C	D	A	B	A	A	A	A	D	B
32431	1	B	A	B	D	D	C	C	X	A	D	D	A	A	C	B	X	A	A	C	X	B	D	X	C	D	C	D	A	C	A
32209	1	B	B	C	C	A	C	C	D	C	B	B	X	B	C	B	X	A	D	B	B	C	B	D	A	A	A	A	A	B	B
33190	1	B	A	C	X	A	X	D	D	C	B	B	B	A	A	B	B	A	D	C	X	D	X	X	B	A	B	A	A	X	X
33927	1	B	A	D	D	B	D	D	D	C	D	B	B	A	C	B	B	A	A	X	C	D	D	A	B	A	B	A	A	A	X
32295	1	B	A	D	B	A	C	D	D	C	B	B	D	A	C	B	B	A	C	C	C	D	D	B	B	D	B	A	A	B	B
32958	1	B	A	D	B	D	C	D	C	A	B	A	B	C	C	B	C	C	C	D	B	C	D	A	C	C	B	C	A	C	B
33536	1	B	A	D	D	B	D	D	D	C	X	B	B	A	X	B	X	X	A	C	C	D	D	A	B	A	B	A	A	A	X
32879	1	B	A	D	D	B	D	D	D	C	D	B	B	A	C	B	B	D	A	B	C	D	D	A	B	A	B	A	B	B	B
33485	1	B	A	D	D	B	A	D	D	C	D	B	B	A	D	B	D	A	C	A	D	D	A	C	A	A	B	A	B	C	B
33628	1	B	A	D	B	B	C	C	D	A	D	X	B	A	C	X	A	X	B	D	X	D	D	X	X	A	B	X	B	D	A
33595	1	B	X	D	C	B	X	D	D	A	C	D	B	A	C	X	X	X	X	C	X	X	X	X	C	X	X	A	D	X	B
32337	1	B	A	D	D	B	C	C	D	C	B	B	B	B	C	B	B	X	C	A	C	D	D	A	A	A	B	X	B	A	B
32846	1	B	A	D	D	B	D	D	D	C	D	B	B	A	C	B	B	A	A	C	C	D	D	C	B	C	C	A	A	A	D
32189	1	X	A	D	D	B	D	D	D	C	D	B	B	A	C	X	B	A	C	B	C	D	X	A	B	A	X	A	B	B	X
32368	1	B	A	D	D	B	X	D	D	C	D	B	B	A	C	B	B	A	D	B	C	D	X	A	B	A	B	A	B	B	B
32932	1	B	A	D	D	B	D	D	D	C	D	B	B	A	C	B	B	A	A	A	C	D	D	A	B	A	B	A	A	D	B
33550	1	B	A	D	D	B	D	D	D	C	D	B	B	A	C	B	D	C	A	C	C	D	D	C	B	A	B	C	B	A	B
32744	1	A	B	D	C	C	B	D	D	A	B	B	B	A	B	B	C	B	C	D	B	D	C	A	C	D	D	A	A	A	D
33166	1	A	A	D	D	B	D	D	D	C	D	B	B	A	C	D	X	A	C	X	C	D	D	X	B	X	B	A	B	B	B
32690	1	B	A	D	D	B	D	D	D	C	D	B	B	A	C	B	B	A	A	A	C	D	D	A	A	A	B	A	A	B	B
32794	1	B	A	D	D	C	D	D	D	C	B	D	B	A	B	B	X	A	A	C	D	D	D	X	B	A	B	A	A	A	X
