ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore
33631	1	0	15	15	0	7	15	15	0	10	4	2	0	3	11	13	0	7	7	2	0	6	6	10	0	3	2	2	0	1	0	1	0	0
32349	1	1	18	10	2	10	18	10	2	15	4	2	0	3	14	8	2	11	5	4	0	4	10	4	2	9	2	2	0	1	1	0	0	1
32181	1	0	15	9	6	8	15	9	6	12	3	3	0	2	12	6	6	10	4	4	1	3	7	4	5	6	3	1	0	3	1	0	0	1
33282	1	1	22	8	0	13	22	8	0	19	5	1	0	5	17	7	0	15	4	5	0	2	14	2	0	13	3	1	0	3	1	0	0	1
32453	1	1	23	4	3	14	23	4	3	22	6	0	0	6	17	4	3	16	6	3	0	5	12	1	3	12	4	0	0	4	1	0	0	1
32451	1	0	13	10	7	6	13	10	7	10	3	3	0	2	10	7	7	8	6	3	0	5	6	5	5	4	1	2	1	0	0	0	1	0
32273	1	0	16	11	3	8	16	11	3	12	4	1	1	4	12	10	2	9	4	5	0	2	11	2	3	10	0	4	0	0	1	0	0	1
32334	1	0	17	13	0	8	17	13	0	13	3	3	0	2	14	10	0	11	7	2	0	6	10	6	0	8	0	4	0	0	0	1	0	0
33125	1	0	12	18	0	4	12	18	0	6	3	3	0	2	9	15	0	4	3	6	0	1	8	8	0	5	0	4	0	0	1	0	0	1
33748	1	1	19	7	4	11	19	7	4	17	5	1	0	5	14	6	4	12	5	2	2	4	9	5	2	7	4	0	0	4	1	0	0	1
32483	1	1	23	5	2	14	23	5	2	21	5	1	0	5	18	4	2	17	7	2	0	6	12	2	2	11	3	1	0	3	1	0	0	1
33618	1	0	13	14	3	6	13	14	3	8	4	2	0	3	9	12	3	5	5	4	0	4	6	7	3	4	1	3	0	0	1	0	0	1
33112	1	1	28	2	0	18	28	2	0	27	6	0	0	6	22	2	0	21	8	1	0	8	15	1	0	15	4	0	0	4	1	0	0	1
32641	1	1	27	3	0	17	27	3	0	26	6	0	0	6	21	3	0	20	7	2	0	6	15	1	0	15	4	0	0	4	1	0	0	1
32764	1	0	7	9	14	3	7	9	14	4	1	5	0	0	6	4	14	5	2	2	5	1	3	6	7	1	1	1	2	1	1	0	0	1
32376	1	1	25	4	1	16	25	4	1	24	5	1	0	5	20	3	1	19	8	1	0	8	13	2	1	12	3	1	0	3	1	0	0	1
32454	1	0	15	11	4	8	15	11	4	11	4	2	0	3	11	9	4	8	3	4	2	2	9	5	2	7	2	2	0	1	1	0	0	1
32180	1	0	14	12	4	7	14	12	4	10	3	3	0	2	11	9	4	8	4	4	1	3	6	7	3	4	3	1	0	3	1	0	0	1
32244	1	1	22	8	0	13	22	8	0	19	5	1	0	5	17	7	0	15	8	1	0	8	10	6	0	8	3	1	0	3	1	0	0	1
32700	1	1	20	10	0	11	20	10	0	17	4	2	0	3	16	8	0	13	7	2	0	6	12	4	0	11	1	3	0	0	0	1	0	0
33496	1	0	15	12	3	7	15	12	3	11	2	4	0	1	13	8	3	10	6	3	0	5	6	7	3	4	2	2	0	1	1	0	0	1
32289	1	1	25	5	0	16	25	5	0	23	6	0	0	6	19	5	0	17	5	4	0	4	15	1	0	15	4	0	0	4	1	0	0	1
33453	1	0	15	14	1	7	15	14	1	10	3	3	0	2	12	11	1	8	5	4	0	4	8	7	1	6	1	3	0	0	1	0	0	1
33701	1	0	13	16	1	5	13	16	1	8	4	2	0	3	9	14	1	4	5	4	0	4	7	8	1	4	1	3	0	0	0	1	0	0
33451	1	0	14	16	0	6	14	16	0	9	4	2	0	3	10	14	0	5	4	5	0	2	7	9	0	4	2	2	0	1	1	0	0	1
32670	1	0	13	14	3	6	13	14	3	8	4	2	0	3	9	12	3	5	4	5	0	2	6	8	2	3	2	1	1	2	1	0	0	1
32541	1	0	8	22	0	0	8	22	0	1	1	5	0	0	7	17	0	1	2	7	0	0	5	11	0	1	1	3	0	0	0	1	0	0
32318	1	1	22	8	0	13	22	8	0	19	5	1	0	5	17	7	0	15	7	2	0	6	12	4	0	11	2	2	0	1	1	0	0	1
33544	1	0	16	14	0	8	16	14	0	11	3	3	0	2	13	11	0	9	4	5	0	2	9	7	0	7	2	2	0	1	1	0	0	1
32431	1	0	11	15	4	4	11	15	4	6	3	3	0	2	8	12	4	4	4	5	0	2	6	6	4	4	1	3	0	0	0	1	0	0
32209	1	0	11	17	2	4	11	17	2	5	1	5	0	0	10	12	2	6	5	4	0	4	4	10	2	1	2	2	0	1	0	1	0	0
33190	1	1	17	6	7	10	17	6	7	15	2	2	2	1	15	4	5	14	8	0	1	8	6	4	6	5	2	2	0	1	1	0	0	1
33927	1	1	26	2	2	17	26	2	2	25	6	0	0	6	20	2	2	19	7	1	1	7	14	1	1	14	4	0	0	4	1	0	0	1
32295	1	1	21	9	0	12	21	9	0	18	3	3	0	2	18	6	0	16	9	0	0	9	10	6	0	8	1	3	0	0	1	0	0	1
32958	1	0	11	19	0	3	11	19	0	5	3	3	0	2	8	16	0	3	2	7	0	0	8	8	0	5	0	4	0	0	1	0	0	1
33536	1	1	23	2	5	15	23	2	5	22	6	0	0	6	17	2	5	16	8	1	0	8	10	1	5	10	4	0	0	4	1	0	0	1
32879	1	1	28	2	0	18	28	2	0	27	6	0	0	6	22	2	0	21	8	1	0	8	15	1	0	15	4	0	0	4	1	0	0	1
33485	1	1	20	10	0	11	20	10	0	17	5	1	0	5	15	9	0	12	6	3	0	5	10	6	0	8	3	1	0	3	1	0	0	1
33628	1	0	14	9	7	7	14	9	7	11	4	2	0	3	10	7	7	8	3	3	3	2	9	4	3	8	2	1	1	2	0	1	0	0
33595	1	0	11	6	13	6	11	6	13	9	3	1	2	3	8	5	11	6	4	2	3	3	5	3	8	4	1	1	2	1	1	0	0	1
32337	1	1	20	8	2	12	20	8	2	17	5	1	0	5	15	7	2	13	4	4	1	3	13	2	1	12	3	1	0	3	0	1	0	0
32846	1	1	24	6	0	15	24	6	0	22	6	0	0	6	18	6	0	16	8	1	0	8	12	4	0	11	3	1	0	3	1	0	0	1
32189	1	1	23	2	5	15	23	2	5	22	5	0	1	5	18	2	4	17	6	1	2	6	13	0	3	13	3	1	0	3	1	0	0	1
32368	1	1	26	2	2	17	26	2	2	25	5	0	1	5	21	2	1	20	8	1	0	8	14	0	2	14	3	1	0	3	1	0	0	1
32932	1	1	27	3	0	17	27	3	0	26	6	0	0	6	21	3	0	20	7	2	0	6	15	1	0	15	4	0	0	4	1	0	0	1
33550	1	1	25	5	0	16	25	5	0	23	6	0	0	6	19	5	0	17	7	2	0	6	13	3	0	12	4	0	0	4	1	0	0	1
32744	1	0	10	20	0	2	10	20	0	3	1	5	0	0	9	15	0	4	4	5	0	2	4	12	0	0	1	3	0	0	1	0	0	1
33166	1	1	23	3	4	15	23	3	4	22	5	1	0	5	18	2	4	17	6	2	1	5	14	0	2	14	2	1	1	2	1	0	0	1
32690	1	1	27	3	0	17	27	3	0	26	6	0	0	6	21	3	0	20	7	2	0	6	15	1	0	15	4	0	0	4	1	0	0	1
32794	1	1	20	7	3	12	20	7	3	18	5	1	0	5	15	6	3	13	8	1	0	8	9	4	3	8	2	2	0	1	1	0	0	1
32750	1	1	20	6	4	12	20	6	4	18	4	2	0	3	16	4	4	15	6	3	0	5	9	3	4	8	4	0	0	4	1	0	0	1
32549	1	0	13	12	5	6	13	12	5	9	4	2	0	3	9	10	5	6	5	4	0	4	6	5	5	4	2	2	0	1	0	1	0	0
32695	1	1	22	8	0	13	22	8	0	19	5	1	0	5	17	7	0	15	6	3	0	5	13	3	0	12	3	1	0	3	0	1	0	0
32182	1	1	23	7	0	14	23	7	0	21	5	1	0	5	18	6	0	16	6	3	0	5	13	3	0	12	3	1	0	3	1	0	0	1
33838	1	0	17	13	0	8	17	13	0	13	4	2	0	3	13	11	0	9	4	5	0	2	10	6	0	8	2	2	0	1	1	0	0	1
33361	1	1	18	7	5	10	18	7	5	16	4	2	0	3	14	5	5	12	6	2	1	5	8	4	4	7	3	1	0	3	1	0	0	1
33662	1	0	16	8	6	9	16	8	6	13	2	4	0	1	14	4	6	13	6	1	2	6	8	4	4	7	2	2	0	1	0	1	0	0
32473	1	1	21	6	3	13	21	6	3	19	4	2	0	3	17	4	3	16	8	1	0	8	10	3	3	9	3	1	0	3	0	1	0	0
33395	1	0	13	17	0	5	13	17	0	7	5	1	0	5	8	16	0	3	1	8	0	0	10	6	0	8	1	3	0	0	1	0	0	1
32771	1	1	23	4	3	14	23	4	3	22	6	0	0	6	17	4	3	16	7	1	1	7	13	2	1	12	2	1	1	2	1	0	0	1
32326	1	1	20	10	0	11	20	10	0	17	4	2	0	3	16	8	0	13	4	5	0	2	12	4	0	11	3	1	0	3	1	0	0	1
32413	1	1	23	5	2	14	23	5	2	21	5	1	0	5	18	4	2	17	8	1	0	8	12	2	2	11	3	1	0	3	0	1	0	0
32909	1	0	12	18	0	4	12	18	0	6	2	4	0	1	10	14	0	5	3	6	0	1	8	8	0	5	1	3	0	0	0	1	0	0
33034	1	1	21	8	1	12	21	8	1	18	5	1	0	5	16	7	1	14	6	3	0	5	10	5	1	8	4	0	0	4	1	0	0	1
33002	1	1	24	6	0	15	24	6	0	22	5	1	0	5	19	5	0	17	7	2	0	6	14	2	0	13	2	2	0	1	1	0	0	1
33220	1	1	26	3	1	17	26	3	1	25	5	1	0	5	21	2	1	20	9	0	0	9	12	3	1	11	4	0	0	4	1	0	0	1
32869	1	1	23	7	0	14	23	7	0	21	5	1	0	5	18	6	0	16	7	2	0	6	12	4	0	11	3	1	0	3	1	0	0	1
33258	1	1	22	8	0	13	22	8	0	19	4	2	0	3	18	6	0	16	6	3	0	5	14	2	0	13	2	2	0	1	0	1	0	0
33621	1	1	23	7	0	14	23	7	0	21	4	2	0	3	19	5	0	17	8	1	0	8	12	4	0	11	3	1	0	3	0	1	0	0
