Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naam","Voornaam","nummer","ijkID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,30154,"17dwAEEX06930154",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30155,"17dwAEEX07030155",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30156,"17dwGRG302230156",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30157,"17dwAEEX07130157",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30158,"17dwGRG302330158",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30159,"17dwGRG302430159",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30160,"17dwGRG302530160",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30161,"17dwAEEX07230161",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30162,"17dwAEEX07330162",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30163,"17dwAEEX07430163",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30164,"17dwAEEX07530164",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30165,"17dwGRG302630165",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30166,"17dwAEEX07630166",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30167,"17dwAEEX07730167",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30168,"17dwGRG302730168",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30169,"17dwGRG302830169",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30170,"17dwGRG302930170",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30171,"17dwAEEX07830171",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30172,"17dwAEEX07930172",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30173,"17dwGRG303030173",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30174,"17dwAEEX08030174",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30175,"17dwGRG303130175",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30176,"17dwGRG303230176",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30177,"17dwAEEX08130177",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30178,"17dwGRG400130178",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30179,"17dwGRG400230179",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30180,"17dwGRG400330180",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30447,"17dwGRG900730447",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30181,"17dwGRG400430181",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30182,"17dwGRG400530182",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30183,"17dwAEEX08230183",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30184,"17dwAEEX08330184",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30185,"17dwGRG400630185",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30186,"17dwGRG400730186",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30187,"17dwGRG400830187",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30188,"17dwGRG400930188",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30189,"17dwAEEX08430189",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30448,"17dwGRG900830448",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30190,"17dwAEEX08530190",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30191,"17dwAEEX08630191",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30192,"17dwAEEX08730192",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30193,"17dwGRG401030193",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30194,"17dwGRG401130194",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30195,"17dwGRG401230195",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30196,"17dwAEEX08830196",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30197,"17dwGRG401330197",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30198,"17dwGRG401430198",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30199,"17dwGRG401530199",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30200,"17dwGRG401630200",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30201,"17dwGRG401730201",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30202,"17dwGRG401830202",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30203,"17dwGRG401930203",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30204,"17dwGRG402030204",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30205,"17dwGRG402130205",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30206,"17dwGRG402230206",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30207,"17dwAEEX08930207",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30208,"17dwGRG402330208",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30209,"17dwGRG402430209",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30210,"17dwGRG402530210",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30211,"17dwGRG402630211",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30212,"17dwGRG402730212",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30213,"17dwGRG402830213",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30214,"17dwGRG402930214",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30215,"17dwAEEX09030215",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30216,"17dwAEEX09130216",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30217,"17dwGRG403030217",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30218,"17dwAEEX09230218",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30219,"17dwGRG403130219",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30220,"17dwAEEX09330220",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30221,"17dwAEEX09430221",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30222,"17dwAEEX09530222",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30223,"17dwAEEX09630223",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30224,"17dwAEEX09730224",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30225,"17dwGRG403230225",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30226,"17dwAEEX09830226",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30227,"17dwAEEX09930227",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30228,"17dwAEEX10030228",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30229,"17dwGRG500130229",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30230,"17dwGRG500230230",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30231,"17dwAEEX10130231",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30232,"17dwAEEX10230232",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30233,"17dwGRG500330233",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30234,"17dwAEEX10330234",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
