Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32826,ib1593514125kNcUwKPxpvXCLNewGYikEVt3QRUxDH,19,B,5,11,14,0,6,7,3,0,0,4,11,0,,,,,,,,,,,,,,,,,,,,,,,,
,,32445,ib15914560775ILPJWgRKvVG6m05Uv7GtB2RhCQvxP,19,A,19,24,1,0,10,10,0,0,14,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,33844,ib1597136121indZbuG8lUdAGeJXiQSzzEhiYBixvU,19,A,10,14,6,5,9,9,1,0,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
,,33373,ib15968060809vXk7F0bNKgsLuW8spfc8neeod59FB,19,A,16,21,2,2,10,10,0,0,10,11,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,,33465,ib15971651232S6hscgv64YPJ8uGJzgGctAmTwyF6I,19,B,5,9,9,7,6,7,3,0,0,2,6,7,,,,,,,,,,,,,,,,,,,,,,,,
,,32420,ib15913715708ekAJoJtOA8EuA6Xr5TJJkh7x5q3zX,19,A,17,22,3,0,9,9,1,0,12,13,2,0,,,,,,,,,,,,,,,,,,,,,,,,
,,33432,ib1597068966eWM3PC506LmD1IyeJU5YOnl53a3yZ5,19,A,16,21,2,2,10,10,0,0,10,11,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,,33871,ib1597319108cscxGFsaY3abTvlFjxOCXM6VlaqPu2,19,A,13,18,7,0,9,9,1,0,7,9,6,0,,,,,,,,,,,,,,,,,,,,,,,,
,,33488,ib1597246952LoFRwBV28OSkE6u5J1ZawV7eyqsEMx,19,A,19,24,1,0,10,10,0,0,14,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,32717,ib1592990901IJRl1fpqW8ZaeMCIS8roKsNWlTe1wY,19,A,11,17,8,0,9,9,1,0,6,8,7,0,,,,,,,,,,,,,,,,,,,,,,,,
