feedbackCode	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	academisch-redenerenGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep
13hi53345	1	0	4	5	1	3	<5	14	10	6	12	<15	18	15	7	7	<10
13hi76972	1	0	9	1	0	9	>=7	9	8	13	7	<15	18	9	13	8	<10
13hi20943	1	1	10	0	0	10	>=7	17	7	6	15	15-20	27	7	6	13	10-13
13hi66929	1	1	8	2	0	8	>=7	24	3	3	23	>=20	32	5	3	15	>=14
13hi25816	1	1	9	1	0	9	>=7	17	6	7	16	15-20	26	7	7	12	10-13
13hi88042	1	1	6	2	2	6	5-7	22	6	2	21	>=20	28	8	4	13	10-13
13hi32316	1	0	7	3	0	6	5-7	12	11	7	9	<15	19	14	7	8	<10
13hi86012	1	0	8	1	1	8	>=7	11	13	6	8	<15	19	14	7	8	<10
13hi99342	1	0	7	3	0	6	5-7	15	11	4	12	<15	22	14	4	9	<10
13hi24972	1	1	8	2	0	8	>=7	15	10	5	13	<15	23	12	5	10	10-13
13hi89362	1	0	5	4	1	4	<5	12	9	9	10	<15	17	13	10	7	<10
13hi59952	1	0	8	2	0	8	>=7	7	16	7	3	<15	15	18	7	5	<10
13hi72081	1	0	6	4	0	5	5-7	12	15	3	8	<15	18	19	3	7	<10
13hi94878	1	1	9	1	0	9	>=7	18	10	2	16	15-20	27	11	2	12	10-13
13hi71632	1	0	4	5	1	3	<5	14	9	7	12	<15	18	14	8	7	<10
13hi67953	1	0	5	5	0	4	<5	11	12	7	8	<15	16	17	7	6	<10
13hi28402	1	1	7	3	0	6	5-7	16	13	1	13	<15	23	16	1	10	10-13
13hi22578	1	1	4	6	0	3	<5	24	2	4	24	>=20	28	8	4	13	10-13
13hi39547	1	1	9	1	0	9	>=7	30	0	0	30	>=20	39	1	0	19	>=14
13hi99613	1	0	4	6	0	3	<5	10	14	6	7	<15	14	20	6	5	<10
13hi22529	1	1	8	2	0	8	>=7	23	6	1	22	>=20	31	8	1	15	>=14
13hi80337	1	0	8	2	0	8	>=7	14	16	0	10	<15	22	18	0	9	<10
13hi49207	1	1	10	0	0	10	>=7	18	9	3	16	15-20	28	9	3	13	10-13
13hi30673	1	1	10	0	0	10	>=7	25	4	1	24	>=20	35	4	1	17	>=14
13hi25223	1	1	6	4	0	5	5-7	17	8	5	15	15-20	23	12	5	10	10-13
13hi43816	1	0	5	5	0	4	<5	7	21	2	2	<15	12	26	2	3	<10
13hi17421	1	0	7	2	1	7	>=7	12	8	10	10	<15	19	10	11	8	<10
13hi20977	1	1	9	1	0	9	>=7	21	6	3	20	15-20	30	7	3	14	>=14
13hi54984	1	0	4	6	0	3	<5	11	19	0	6	<15	15	25	0	4	<10
13hi55177	1	0	3	7	0	1	<5	11	15	4	7	<15	14	22	4	4	<10
13hi11688	1	0	4	3	3	3	<5	12	12	6	9	<15	16	15	9	6	<10
13hi67344	1	1	8	2	0	8	>=7	22	5	3	21	>=20	30	7	3	14	>=14
13hi75280	1	1	9	1	0	9	>=7	14	9	7	12	<15	23	10	7	10	10-13
13hi73687	1	0	7	3	0	6	5-7	15	11	4	12	<15	22	14	4	9	<10
13hi21012	1	1	6	4	0	5	5-7	20	7	3	18	15-20	26	11	3	12	10-13
13hi52138	1	1	7	2	1	7	>=7	14	6	10	13	<15	21	8	11	10	10-13
13hi58836	1	1	8	1	1	8	>=7	20	7	3	18	15-20	28	8	4	13	10-13
13hi28178	1	1	10	0	0	10	>=7	18	10	2	16	15-20	28	10	2	13	10-13
13hi72471	1	1	7	3	0	6	5-7	19	9	2	17	15-20	26	12	2	12	10-13
13hi56703	1	1	9	1	0	9	>=7	21	7	2	19	15-20	30	8	2	14	>=14
13hi80915	1	0	6	4	0	5	5-7	16	9	5	14	<15	22	13	5	9	<10
13hi44404	1	0	6	4	0	5	5-7	11	13	6	8	<15	17	17	6	6	<10
13hi59970	1	0	8	2	0	8	>=7	13	10	7	11	<15	21	12	7	9	<10
13hi80673	1	1	10	0	0	10	>=7	24	5	1	23	>=20	34	5	1	16	>=14
13hi42609	1	1	10	0	0	10	>=7	15	9	6	13	<15	25	9	6	11	10-13
13hi25656	1	1	7	3	0	6	5-7	22	7	1	20	15-20	29	10	1	13	10-13
13hi87655	1	1	8	2	0	8	>=7	16	6	8	15	15-20	24	8	8	11	10-13
13hi41358	1	1	9	1	0	9	>=7	16	12	2	13	<15	25	13	2	11	10-13
13hi76500	1	0	2	4	4	1	<5	13	11	6	10	<15	15	15	10	6	<10
13hi76362	1	0	4	6	0	3	<5	12	17	1	8	<15	16	23	1	5	<10
13hi94354	1	0	6	3	1	5	5-7	9	14	7	6	<15	15	17	8	5	<10
13hi49151	1	0	2	3	5	1	<5	5	3	22	4	<15	7	6	27	3	<10
13hi73916	1	1	7	3	0	6	5-7	18	11	1	15	15-20	25	14	1	11	10-13
13hi74134	1	1	9	1	0	9	>=7	16	8	6	14	<15	25	9	6	11	10-13
13hi84947	1	1	6	4	0	5	5-7	16	8	6	14	<15	22	12	6	10	10-13
13hi63109	1	1	9	1	0	9	>=7	18	8	4	16	15-20	27	9	4	12	10-13
13hi53613	1	1	8	2	0	8	>=7	23	5	2	22	>=20	31	7	2	15	>=14
13hi29299	1	1	9	1	0	9	>=7	16	6	8	15	15-20	25	7	8	12	10-13
13hi78515	1	1	8	2	0	8	>=7	24	6	0	23	>=20	32	8	0	15	>=14
13hi45383	1	1	6	4	0	5	5-7	24	5	1	23	>=20	30	9	1	14	>=14
13hi72646	1	1	7	3	0	6	5-7	16	12	2	13	<15	23	15	2	10	10-13
13hi82766	1	1	7	3	0	6	5-7	16	13	1	13	<15	23	16	1	10	10-13
13hi85162	1	1	5	5	0	4	<5	19	10	1	17	15-20	24	15	1	10	10-13
13hi27790	1	0	7	3	0	6	5-7	7	18	5	3	<15	14	21	5	4	<10
13hi96865	1	1	6	3	1	5	5-7	20	5	5	19	15-20	26	8	6	12	10-13
13hi33376	1	1	7	3	0	6	5-7	19	9	2	17	15-20	26	12	2	12	10-13
13hi68733	1	1	8	2	0	8	>=7	19	11	0	16	15-20	27	13	0	12	10-13
13hi45079	1	1	8	2	0	8	>=7	19	11	0	16	15-20	27	13	0	12	10-13
13hi95604	1	1	6	4	0	5	5-7	22	1	7	22	>=20	28	5	7	13	10-13
13hi29899	1	1	8	1	1	8	>=7	16	10	4	14	<15	24	11	5	11	10-13
13hi13264	1	1	6	4	0	5	5-7	18	5	7	17	15-20	24	9	7	11	10-13
13hi18813	1	0	7	3	0	6	5-7	12	14	4	9	<15	19	17	4	7	<10
13hi59200	1	0	8	1	1	8	>=7	12	6	12	11	<15	20	7	13	9	<10
13hi62428	1	1	9	0	1	9	>=7	21	7	2	19	15-20	30	7	3	14	>=14
13hi61490	1	1	8	2	0	8	>=7	18	8	4	16	15-20	26	10	4	12	10-13
13hi72167	1	0	5	4	1	4	<5	12	9	9	10	<15	17	13	10	7	<10
13hi94924	1	1	6	2	2	6	5-7	20	3	7	19	15-20	26	5	9	12	10-13
13hi11050	1	0	6	3	1	5	5-7	15	8	7	13	<15	21	11	8	9	<10
13hi22586	1	1	6	2	2	6	5-7	15	4	11	14	<15	21	6	13	10	10-13
13hi25423	1	1	5	5	0	4	<5	21	4	5	20	15-20	26	9	5	12	10-13
13hi36411	1	0	6	4	0	5	5-7	16	12	2	13	<15	22	16	2	9	<10
13hi36247	1	0	7	3	0	6	5-7	14	12	4	11	<15	21	15	4	9	<10
13hi47920	1	0	6	3	1	5	5-7	14	10	6	12	<15	20	13	7	8	<10
13hi15629	1	1	6	3	1	5	5-7	18	8	4	16	15-20	24	11	5	11	10-13
13hi38984	1	1	7	2	1	7	>=7	22	2	6	22	>=20	29	4	7	14	>=14
13hi58107	1	0	5	2	3	5	5-7	11	11	8	8	<15	16	13	11	6	<10
13hi71426	1	1	10	0	0	10	>=7	18	7	5	16	15-20	28	7	5	13	10-13
13hi49050	1	1	8	2	0	8	>=7	16	10	4	14	<15	24	12	4	11	10-13
13hi98950	1	1	9	1	0	9	>=7	24	3	3	23	>=20	33	4	3	16	>=14
13hi88235	1	1	6	3	1	5	5-7	17	3	10	16	15-20	23	6	11	11	10-13
13hi47479	1	1	8	2	0	8	>=7	18	8	4	16	15-20	26	10	4	12	10-13
13hi32901	1	1	7	3	0	6	5-7	21	5	4	20	15-20	28	8	4	13	10-13
13hi92567	1	0	7	2	1	7	>=7	7	13	10	4	<15	14	15	11	5	<10
13hi19354	1	0	4	5	1	3	<5	9	15	6	5	<15	13	20	7	4	<10
13hi65698	1	0	7	3	0	6	5-7	15	10	5	13	<15	22	13	5	9	<10
13hi22391	1	0	4	6	0	3	<5	14	10	6	12	<15	18	16	6	7	<10
13hi94459	1	0	7	3	0	6	5-7	14	8	8	12	<15	21	11	8	9	<10
13hi47350	1	1	6	2	2	6	5-7	17	6	7	16	15-20	23	8	9	11	10-13
13hi14035	1	1	8	2	0	8	>=7	19	11	0	16	15-20	27	13	0	12	10-13
13hi83633	1	1	6	4	0	5	5-7	18	7	5	16	15-20	24	11	5	11	10-13
13hi39100	1	1	6	4	0	5	5-7	22	7	1	20	15-20	28	11	1	13	10-13
13hi53137	1	1	9	1	0	9	>=7	16	10	4	14	<15	25	11	4	11	10-13
