feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
13hi30673	1	D	C	D	B	C	B	D	D	B	B	E	A	C	A	D	X	E	C	B	E	B	D	C	B	C	C	C	E	C	C	D	B	C	C	A	D	D	A	A	D
13hi25223	1	D	C	D	D	C	B	D	E	E	C	E	D	C	A	D	A	E	A	B	E	X	E	A	C	B	X	C	E	B	C	X	B	X	C	A	E	D	X	A	A
13hi43816	1	D	C	D	C	B	A	D	D	C	C	E	D	E	A	D	E	C	E	A	E	B	E	B	C	X	C	D	E	C	C	B	C	B	X	D	A	B	E	D	D
13hi17421	1	X	C	D	B	C	B	D	E	C	B	E	A	C	A	D	A	X	C	X	E	B	E	E	C	X	C	B	X	C	D	D	X	X	X	X	C	X	X	E	C
13hi20977	1	D	C	D	B	C	A	D	D	B	B	E	A	C	A	D	B	C	C	B	E	B	D	B	B	C	C	C	X	C	C	X	D	C	C	A	X	D	A	E	C
13hi54984	1	E	C	D	D	B	A	D	E	E	B	A	A	C	A	D	C	A	C	B	E	B	B	B	E	E	E	C	E	C	D	B	B	B	E	A	D	E	E	D	E
13hi55177	1	E	D	B	A	B	E	D	E	B	B	D	A	C	A	D	A	E	E	E	E	B	E	B	C	A	C	C	X	C	C	X	X	B	A	E	A	C	X	D	D
13hi11688	1	C	A	X	B	B	B	X	D	B	X	E	A	C	A	D	A	X	C	E	C	C	B	D	E	B	C	C	A	C	E	D	X	X	E	X	E	X	X	E	D
13hi67344	1	D	C	D	B	C	B	D	D	C	C	E	A	C	A	D	A	E	C	B	E	B	D	A	E	C	C	C	A	B	C	X	B	C	A	E	B	X	A	X	C
13hi75280	1	D	C	D	B	C	B	D	D	B	C	E	A	C	A	C	X	X	E	B	X	B	D	B	X	C	C	E	X	B	C	X	C	C	A	A	X	D	E	E	D
13hi73687	1	C	D	D	B	C	B	D	D	E	B	E	A	E	A	D	X	E	A	B	E	B	D	C	C	X	C	X	A	C	B	X	B	D	A	A	E	C	D	E	E
13hi21012	1	D	C	D	D	C	A	D	E	E	B	E	A	C	A	A	A	E	C	B	E	B	D	X	B	E	C	D	A	B	C	X	B	C	A	B	A	D	A	X	D
13hi52138	1	X	C	D	B	C	A	D	E	B	B	E	A	C	A	D	X	X	C	B	X	B	E	X	D	C	C	C	X	C	B	X	B	C	A	X	E	X	X	X	B
13hi58836	1	D	C	D	B	X	A	D	D	B	B	E	D	C	A	D	A	D	C	B	E	B	D	C	B	C	D	X	A	C	C	X	B	C	C	A	D	A	X	E	C
13hi28178	1	D	C	D	B	C	B	D	D	B	B	E	A	C	A	D	E	C	C	B	E	B	D	B	C	B	C	C	D	B	A	C	E	C	C	X	E	D	X	A	D
13hi72471	1	D	C	C	B	B	B	D	D	B	A	E	A	C	A	D	A	E	C	B	E	B	D	B	C	C	C	E	E	B	C	E	B	X	A	A	A	C	X	E	C
13hi56703	1	D	C	D	D	C	B	D	D	B	B	E	A	C	A	D	A	E	E	B	E	B	E	A	E	C	C	C	A	B	C	D	C	C	X	A	E	A	X	E	C
13hi80915	1	D	C	D	D	B	A	D	D	C	B	E	A	C	A	D	C	C	C	B	E	B	D	B	D	E	X	A	X	C	C	D	B	C	B	A	X	A	A	X	X
