feedbackCode	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	academisch-redenerenGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep
13hw69821	1	0	7	2	1	7	>=7	5	9	16	3	<15	12	11	17	5	<10
13hw95725	1	0	6	4	0	5	5-7	9	20	1	4	<15	15	24	1	5	<10
13hw42992	1	0	5	4	1	4	<5	6	17	7	2	<15	11	21	8	3	<10
13hw94877	1	0	6	4	0	5	5-7	14	9	7	12	<15	20	13	7	8	<10
13hw76869	1	0	6	4	0	5	5-7	10	12	8	7	<15	16	16	8	6	<10
13hw32611	1	0	7	3	0	6	5-7	8	17	5	4	<15	15	20	5	5	<10
13hw22813	1	0	6	3	1	5	5-7	15	8	7	13	<15	21	11	8	9	<10
13hw28746	1	0	6	4	0	5	5-7	3	24	3	0	<15	9	28	3	1	<10
13hw40077	1	0	5	3	2	4	<5	15	11	4	12	<15	20	14	6	8	<10
13hw86015	1	0	4	5	1	3	<5	14	14	2	11	<15	18	19	3	7	<10
13hw61948	1	0	4	6	0	3	<5	9	16	5	5	<15	13	22	5	4	<10
13hw14952	1	0	5	4	1	4	<5	4	23	3	0	<15	9	27	4	1	<10
13hw83977	1	0	4	6	0	3	<5	4	23	3	0	<15	8	29	3	0	<10
13hw29182	1	0	2	8	0	0	<5	8	20	2	3	<15	10	28	2	2	<10
13hw25133	1	0	7	3	0	6	5-7	5	23	2	0	<15	12	26	2	3	<10
13hw98933	1	0	5	5	0	4	<5	8	14	8	5	<15	13	19	8	4	<10
13hw20292	1	0	5	5	0	4	<5	2	16	12	0	<15	7	21	12	1	<10
13hw84146	1	0	7	2	1	7	>=7	7	12	11	4	<15	14	14	12	5	<10
13hw53658	1	0	6	4	0	5	5-7	9	16	5	5	<15	15	20	5	5	<10
13hw24799	1	0	8	2	0	8	>=7	8	17	5	4	<15	16	19	5	6	<10
13hw12465	1	0	7	3	0	6	5-7	7	13	10	4	<15	14	16	10	5	<10
13hw94704	1	0	7	2	1	7	>=7	15	13	2	12	<15	22	15	3	9	<10
13hw46138	1	1	9	1	0	9	>=7	23	4	3	22	>=20	32	5	3	15	>=14
13hw83148	1	0	7	3	0	6	5-7	6	21	3	1	<15	13	24	3	4	<10
13hw64892	1	1	8	2	0	8	>=7	21	5	4	20	15-20	29	7	4	14	>=14
13hw25137	1	0	4	2	4	4	<5	11	18	1	7	<15	15	20	5	5	<10
13hw66965	1	1	7	3	0	6	5-7	19	6	5	18	15-20	26	9	5	12	10-13
13hw15432	1	0	2	7	1	0	<5	17	7	6	15	15-20	19	14	7	8	<10
13hw46383	1	0	5	5	0	4	<5	13	13	4	10	<15	18	18	4	7	<10
13hw61090	1	1	10	0	0	10	>=7	16	9	5	14	<15	26	9	5	12	10-13
13hw66576	1	1	6	4	0	5	5-7	19	11	0	16	15-20	25	15	0	11	10-13
13hw48148	1	0	5	5	0	4	<5	8	17	5	4	<15	13	22	5	4	<10
13hw99108	1	0	8	2	0	8	>=7	4	17	9	0	<15	12	19	9	4	<10
13hw33371	1	0	7	3	0	6	5-7	10	16	4	6	<15	17	19	4	6	<10
13hw24639	1	0	5	5	0	4	<5	17	13	0	14	<15	22	18	0	9	<10
13hw90297	1	0	2	6	2	1	<5	8	15	7	4	<15	10	21	9	2	<10
13hw45917	1	0	6	4	0	5	5-7	8	20	2	3	<15	14	24	2	4	<10
13hw28417	1	1	9	1	0	9	>=7	15	12	3	12	<15	24	13	3	10	10-13
13hw34712	1	1	4	5	1	3	<5	20	10	0	18	15-20	24	15	1	10	10-13
13hw32819	1	1	7	2	1	7	>=7	16	8	6	14	<15	23	10	7	10	10-13
13hw54430	1	0	4	6	0	3	<5	8	22	0	3	<15	12	28	0	3	<10
13hw19613	1	0	5	5	0	4	<5	13	6	11	12	<15	18	11	11	8	<10
