feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
19wb13415	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	A	C	D	C	A	B	D	C	A	B	D	D	B	C	A	D	A	C	B	D	D
19wb57721	1	C	B	A	B	D	C	D	B	B	C	A	B	X	X	A	C	D	C	A	X	D	X	X	B	A	C	C	C	A	D	B	C	B	B	C
19wb47943	1	C	B	A	D	D	B	D	B	D	C	D	B	A	B	C	C	D	C	A	D	B	C	D	B	B	B	A	C	C	A	B	C	C	B	D
19wb98829	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	X	C	A	D	A	C	B	B	B
19wb54173	1	C	B	A	B	D	B	D	B	D	C	A	D	B	B	D	C	D	C	A	D	D	D	D	B	D	C	D	C	A	C	A	C	A	B	B
19wb72255	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	B	C	D	C	A	D	D	C	B	B	B	C	B	B	A	D	A	C	B	B	B
19wb60260	1	C	B	A	B	D	B	D	B	D	C	X	A	X	B	B	C	D	C	A	D	D	D	D	B	B	C	B	C	A	D	B	C	B	B	D
19wb96974	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb63479	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	C	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb61048	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	A	B	D	C	B	B	C	B	C	A	D	A	B	B	B	B
19wb19014	1	C	B	A	B	D	B	D	B	D	C	A	A	A	C	A	C	C	C	A	D	D	B	D	C	B	C	B	C	A	D	A	C	C	B	B
19wb20094	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	C	C	B	X	C	B	C	A	D	A	C	B	B	B
19wb33570	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	C	A	B	B	B	B	C	A	D	A	C	C	B	B
19wb28150	1	C	B	A	B	D	X	A	X	D	C	A	X	X	B	X	C	X	C	X	D	X	X	X	X	X	C	X	B	A	X	A	C	X	B	D
19wb46690	1	B	B	A	D	D	A	D	B	D	B	X	B	C	A	C	D	D	C	D	D	A	D	D	D	B	C	D	C	C	C	A	B	A	D	C
19wb72984	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	A	A	X	D	X	C	B	B	C	X	C	D	D	A	X	B	B	B
19wb39259	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	B	C	A	D	D	D	C	B	D	C	B	B	A	D	A	D	C	B	B
19wb42630	1	A	B	A	B	D	B	D	X	D	C	A	X	X	B	X	C	D	C	D	A	D	X	X	C	D	X	B	C	A	X	B	A	C	B	C
19wb61917	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	D	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb71171	1	C	B	A	B	B	B	D	B	D	C	A	A	A	B	A	B	A	C	A	D	C	A	X	B	B	C	B	C	D	D	A	C	B	B	D
19wb41764	1	C	B	A	B	D	B	D	B	C	C	B	B	B	D	B	C	A	C	A	B	B	D	C	B	A	C	A	C	A	A	B	C	B	B	B
19wb83279	1	C	B	A	B	D	B	C	B	D	C	A	B	A	B	A	C	X	C	A	D	D	D	C	B	X	C	A	D	A	X	A	C	C	B	B
19wb95940	1	C	B	A	B	D	B	D	B	D	C	A	B	A	D	A	C	D	C	C	D	D	C	D	B	B	C	C	C	A	A	B	B	B	A	B
19wb72478	1	D	A	A	B	B	B	C	B	D	D	B	C	C	B	C	B	B	D	C	C	C	A	A	B	D	C	B	A	A	C	B	D	C	C	D
19wb29409	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	B	C	A	D	A	C	A	B	B
19wb77205	1	C	B	A	X	B	B	C	X	D	C	A	X	X	B	A	C	A	B	C	C	C	C	B	B	X	B	B	B	A	C	A	C	C	B	B
19wb92123	1	C	X	A	B	D	B	X	B	B	C	A	X	A	B	A	X	D	C	A	D	X	X	X	B	X	C	B	C	A	D	A	C	C	B	D
19wb27659	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	B	C	A	D	B	C	B	C	B
19wb42393	1	C	B	A	A	D	B	D	B	D	C	A	X	A	A	A	C	D	C	A	X	X	D	X	B	B	C	B	C	A	D	A	C	B	B	B
19wb13225	1	C	B	A	B	D	B	D	B	D	C	A	A	C	B	A	C	C	C	A	D	D	D	X	B	B	C	B	C	A	D	A	D	B	B	D
19wb65596	1	C	B	A	B	D	X	D	B	D	C	A	B	X	B	A	C	X	C	A	D	D	X	X	B	B	C	B	C	A	X	X	C	B	B	B
19wb93222	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	C	A	C	A	D	D	D	A	B	B	C	B	C	A	D	A	C	B	B	B
19wb24724	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	X	C	B	C	A	D	A	C	B	B	B
