ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
31509	1	D	D	X	B	D	C	D	X	X	B	C	X	X	C	D	X	X	D	D	A	B	A
31591	1	B	B	D	B	B	X	B	C	X	A	B	A	C	X	C	X	A	D	D	A	C	A
31674	1	D	D	A	B	D	B	D	A	A	B	B	A	D	D	C	C	B	X	D	A	A	A
31394	1	D	C	B	A	D	A	D	B	C	X	B	X	X	D	X	X	B	X	D	C	C	A
31414	1	D	C	B	B	D	X	D	A	C	B	B	X	C	D	C	X	B	D	D	A	C	A
31434	1	D	C	D	B	D	A	C	A	X	B	X	X	X	D	C	X	X	D	D	A	C	D
31512	1	X	C	B	B	D	A	D	A	C	C	B	X	X	X	X	X	X	X	D	D	A	C
31646	1	A	D	B	C	D	X	X	B	C	D	A	B	X	D	C	X	A	X	D	B	C	A
31482	1	B	C	D	D	B	X	X	D	C	A	X	X	X	X	X	B	D	A	D	A	B	A
31468	1	D	C	B	D	B	A	D	C	X	B	D	X	X	B	C	X	C	D	A	A	B	D
31411	1	B	B	C	A	A	X	X	B	D	B	D	D	X	X	X	X	X	X	D	X	C	A
31574	1	D	C	B	B	C	A	C	B	X	A	X	X	X	C	D	X	X	D	D	A	C	D
31415	1	D	C	D	B	D	B	D	A	B	D	B	A	C	B	C	A	B	A	D	C	A	D
31506	1	X	C	D	B	D	X	C	A	C	D	B	A	X	X	C	X	X	D	D	A	C	A
31583	1	D	D	C	A	A	C	A	A	C	C	B	D	D	B	C	A	B	D	D	B	D	C
31533	1	D	C	B	B	B	B	C	D	C	D	B	X	C	D	D	X	B	D	D	A	C	A
31398	1	X	C	X	B	C	C	C	D	X	C	B	X	A	X	B	X	X	C	D	D	B	C
31525	1	X	X	X	B	D	A	X	C	X	X	X	X	X	X	X	X	X	X	D	A	C	A
31642	1	C	D	B	A	C	C	D	D	A	D	X	X	B	C	B	A	X	C	C	A	B	B
31560	1	X	C	X	B	B	X	X	A	X	C	D	X	X	A	C	X	X	D	D	D	X	A
31635	1	X	D	D	B	X	B	X	A	X	C	D	X	C	B	X	X	X	X	D	A	X	A
32169	1	X	C	X	B	D	X	X	X	C	B	C	X	X	X	X	X	X	X	D	A	C	A
32170	1	D	C	B	C	D	X	B	B	C	B	C	A	A	D	A	X	X	D	D	A	B	B
32158	1	D	C	B	B	C	X	D	X	C	B	B	X	X	C	C	X	X	D	D	A	D	A
32165	1	X	C	B	B	D	X	C	A	X	D	X	X	X	C	D	X	X	X	D	A	C	X
32167	1	X	D	D	X	X	C	X	C	X	X	X	X	X	X	X	X	X	D	D	A	X	B
32159	1	X	C	D	B	X	X	X	X	X	B	X	X	C	X	D	X	X	X	D	A	C	A
32172	1	D	C	B	B	D	A	B	A	C	D	X	A	X	C	C	X	B	X	D	A	C	A
32157	1	D	C	B	B	D	A	B	A	X	D	B	X	X	D	C	X	B	D	D	A	X	A
32168	1	D	C	D	B	D	A	A	A	C	D	A	A	C	D	C	X	B	D	D	A	C	A
32171	1	X	B	X	B	X	X	X	X	X	X	X	X	X	X	X	X	X	X	C	X	D	A
32156	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	D	A	C	A
32163	1	X	C	B	C	C	X	B	X	X	X	X	X	X	C	C	X	X	D	D	A	A	A
31021	1	C	C	B	B	D	A	A	D	C	D	A	D	C	C	C	B	D	D	C	D	B	A
32166	1	X	C	D	C	D	A	D	A	C	C	X	X	X	D	C	X	X	X	D	A	X	A
32162	1	X	C	C	B	A	X	B	C	X	B	C	X	C	B	X	X	X	X	D	A	C	D
31794	1	D	C	B	B	D	A	D	A	X	D	B	X	X	D	C	A	B	X	D	A	C	A
31765	1	D	C	B	B	X	X	D	A	X	D	B	X	X	X	C	X	X	C	D	A	D	A
31773	1	D	C	B	B	D	A	D	A	X	D	B	X	X	D	C	X	B	D	D	C	X	A
31775	1	D	C	B	B	D	C	D	A	C	D	B	A	C	D	C	A	B	X	D	A	C	A
31769	1	B	B	A	A	C	C	X	D	X	C	B	C	A	C	B	D	X	C	D	A	A	C
31099	1	D	C	B	B	D	A	D	A	C	D	X	X	X	D	C	A	X	D	D	D	X	A
30552	1	D	C	C	B	D	C	D	A	C	D	B	D	X	B	B	X	X	C	D	A	C	A
30478	1	D	C	B	A	D	X	C	B	C	C	D	D	X	X	B	X	X	X	D	A	C	A
30561	1	D	C	B	B	D	A	C	A	C	B	B	X	X	D	C	X	A	D	D	A	C	A
30537	1	D	C	B	B	C	B	C	A	X	C	D	X	X	D	C	X	B	X	D	A	A	A
31725	1	A	C	X	B	A	B	C	X	X	D	D	X	X	D	C	X	X	X	D	D	D	A
30655	1	D	C	B	B	D	X	C	A	C	A	B	A	X	X	X	X	B	D	C	D	X	X
31175	1	D	C	B	A	D	X	D	C	X	D	B	B	X	D	C	X	X	X	C	C	A	A
30854	1	D	C	B	B	D	B	C	A	C	B	C	A	C	D	B	X	X	D	D	A	C	A
30949	1	D	C	D	B	D	C	D	A	C	B	X	A	X	D	C	X	X	X	D	A	D	A
31034	1	D	C	B	B	D	A	X	A	C	D	D	A	X	X	D	A	A	D	D	A	C	A
31249	1	D	C	B	B	D	A	D	A	C	D	X	X	X	D	C	A	B	D	D	A	C	A
31587	1	D	C	B	B	D	X	D	A	C	B	X	X	X	D	X	X	X	D	D	A	C	A
31236	1	D	B	B	B	D	B	X	A	C	C	B	A	X	D	X	X	X	X	A	C	X	A
31498	1	D	C	B	B	D	A	X	A	C	D	B	A	X	X	C	X	X	X	D	A	X	X
31241	1	D	C	A	B	D	B	C	A	X	D	D	B	C	D	D	B	B	D	D	A	C	A
31621	1	D	C	B	B	D	A	C	A	C	D	X	X	X	X	C	X	X	X	D	A	C	A
31650	1	D	C	C	B	D	X	D	X	C	D	B	X	X	D	X	X	X	D	D	A	C	C
31139	1	B	B	B	B	D	A	B	A	X	D	B	A	X	D	X	X	X	D	D	D	C	A
30579	1	D	C	D	D	D	X	D	A	C	D	B	A	X	X	X	A	X	X	D	A	C	A
30761	1	X	C	B	B	D	B	D	C	X	D	X	X	C	D	C	X	X	D	D	A	C	A
30707	1	D	C	B	B	D	X	X	X	X	D	B	X	C	D	X	X	B	X	D	A	C	A
30924	1	D	C	B	D	D	A	B	A	C	B	X	A	X	D	X	X	B	D	D	A	C	A
30880	1	D	C	B	B	D	X	D	B	X	B	X	X	C	D	C	X	B	D	D	A	X	A
30673	1	D	C	B	B	D	A	D	A	C	D	B	X	X	D	C	X	B	D	D	A	C	A
30542	1	D	X	C	B	D	B	C	D	C	D	B	X	X	D	X	X	B	D	D	A	C	A
30519	1	D	C	B	B	D	B	D	A	C	B	X	A	X	D	C	X	B	X	D	A	D	A
30750	1	D	B	C	B	D	X	D	B	X	D	D	X	X	D	C	X	X	D	D	A	C	A
30540	1	D	C	B	A	D	X	C	A	C	D	C	X	X	X	D	X	X	X	D	C	X	B
30943	1	D	D	B	B	C	A	D	A	C	D	B	A	C	D	C	A	B	X	D	A	C	A
31462	1	D	C	B	A	D	X	D	A	C	X	B	X	X	D	X	X	B	X	D	D	X	A
31110	1	D	C	B	B	D	A	X	X	C	D	X	A	X	D	C	X	B	X	D	A	C	A
31005	1	D	C	B	B	D	A	C	A	C	D	D	X	X	D	C	X	A	X	D	A	B	A
30708	1	D	C	B	A	D	X	C	A	C	D	B	A	X	D	C	X	X	X	A	C	D	A
31211	1	D	C	B	B	D	X	C	A	C	B	B	A	X	C	C	X	X	D	D	X	D	A
30883	1	X	C	X	B	D	X	C	B	C	D	B	X	X	C	C	X	X	X	D	A	C	A
30837	1	D	C	B	B	D	X	D	A	C	D	B	A	A	X	X	A	B	D	D	X	X	A
31276	1	D	C	B	B	D	A	D	A	C	D	B	X	X	X	C	A	B	D	D	A	C	A
30857	1	D	B	B	B	D	C	C	A	X	B	B	X	X	D	C	X	C	D	D	A	C	A
31225	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	A	A	A
30483	1	D	C	B	B	D	B	D	D	D	A	B	A	X	D	C	X	X	A	A	D	D	A
31353	1	D	B	B	B	D	X	C	C	X	B	X	D	C	D	C	X	X	X	C	A	A	A
31095	1	D	C	B	B	D	B	C	A	X	D	D	A	X	X	C	X	C	D	C	D	B	C
31669	1	D	D	B	B	D	B	B	A	C	D	X	A	C	D	C	X	B	X	X	A	X	B
30881	1	D	C	B	C	C	A	C	A	C	X	C	X	D	A	C	B	A	C	D	C	A	A
31594	1	D	C	B	A	D	A	C	D	X	D	X	A	C	X	C	X	B	D	D	A	C	A
31089	1	D	C	D	B	B	X	C	A	C	D	X	A	X	D	C	X	X	D	D	A	C	A
31151	1	D	C	D	B	X	X	D	X	X	D	A	D	X	C	D	X	X	X	D	A	B	A
31065	1	X	C	D	B	D	X	B	D	X	B	B	X	X	D	X	X	X	C	D	D	X	A
30691	1	D	B	C	B	D	X	A	X	X	D	X	X	X	D	C	X	X	X	D	X	D	A
