ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	ruimtelijkJuist	ruimtelijkFout	ruimtelijkBlanco	ruimtelijkScore
30812	1	1	16	4	2	13	13	3	2	13	6	1	1	7	7	2	1	13	3	1	0	7
31389	1	0	9	5	8	7	7	4	7	6	6	0	2	8	1	4	5	0	2	1	1	4
30831	1	0	7	11	4	3	5	9	4	2	2	4	2	1	3	5	2	3	2	2	0	3
30858	1	1	15	2	5	13	12	1	5	13	6	1	1	7	6	0	4	12	3	1	0	7
30866	1	0	5	12	5	1	4	9	5	1	3	3	2	3	1	6	3	0	1	3	0	0
31473	1	1	13	3	6	11	10	2	6	10	5	2	1	5	5	0	5	10	3	1	0	7
31125	1	1	13	4	5	11	10	3	5	10	4	2	2	4	6	1	3	11	3	1	0	7
31442	1	1	14	4	4	12	10	4	4	10	6	1	1	7	4	3	3	6	4	0	0	10
31349	1	0	6	16	0	1	4	14	0	0	2	6	0	0	2	8	0	0	2	2	0	3
31622	1	1	17	1	4	15	13	1	4	14	7	1	0	8	6	0	4	12	4	0	0	10
31478	1	0	9	9	4	5	5	9	4	2	1	6	1	0	4	3	3	6	4	0	0	10
30978	1	0	11	6	5	8	8	5	5	7	4	4	0	3	4	1	5	7	3	1	0	7
31397	1	0	13	6	3	10	9	6	3	8	4	2	2	4	5	4	1	7	4	0	0	10
31195	1	0	9	6	7	6	7	4	7	6	4	2	2	4	3	2	5	5	2	2	0	3
30819	1	1	19	1	2	17	16	0	2	18	7	0	1	9	9	0	1	18	3	1	0	7
31430	1	1	18	2	2	16	14	2	2	15	8	0	0	10	6	2	2	11	4	0	0	10
31262	1	0	11	6	5	8	9	4	5	9	6	2	0	7	3	2	5	5	2	2	0	3
31112	1	1	22	0	0	20	18	0	0	20	8	0	0	10	10	0	0	20	4	0	0	10
31101	1	1	14	3	5	12	10	3	5	10	5	2	1	5	5	1	4	9	4	0	0	10
31048	1	1	16	3	3	14	13	2	3	14	8	0	0	10	5	2	3	9	3	1	0	7
31166	1	0	8	5	9	6	5	4	9	4	5	3	0	5	0	1	9	0	3	1	0	7
31264	1	1	16	2	4	14	13	1	4	14	7	1	0	8	6	0	4	12	3	1	0	7
30967	1	1	18	2	2	16	14	2	2	15	7	1	0	8	7	1	2	13	4	0	0	10
31032	1	0	5	8	9	2	3	6	9	1	3	3	2	3	0	3	7	0	2	2	0	3
30917	1	0	11	6	5	8	9	5	4	8	6	2	0	7	3	3	4	4	2	1	1	4
30544	1	1	19	2	1	17	15	2	1	16	8	0	0	10	7	2	1	13	4	0	0	10
31673	1	0	11	2	9	9	8	2	8	8	5	1	2	6	3	1	6	5	3	0	1	8
30990	1	0	10	1	11	9	7	1	10	7	5	1	2	6	2	0	8	4	3	0	1	8
