ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
32798	1	1	29	6	0	15	19	6	0	14	10	0	0	10	13	2	0	12	6	4	0	5
33202	1	1	28	5	2	15	19	4	2	14	9	1	0	9	11	2	2	10	8	2	0	7
32502	1	1	30	5	0	16	20	5	0	15	10	0	0	10	12	3	0	11	8	2	0	7
33772	1	0	16	19	0	6	10	15	0	4	6	4	0	5	5	10	0	2	5	5	0	3
33858	1	1	35	0	0	20	25	0	0	20	10	0	0	10	15	0	0	15	10	0	0	10
33823	1	1	30	5	0	16	20	5	0	15	10	0	0	10	10	5	0	8	10	0	0	10
33170	1	0	21	9	5	10	11	9	5	6	10	0	0	10	6	5	4	4	5	4	1	4
32758	1	0	18	14	3	8	11	11	3	6	7	3	0	6	7	7	1	5	4	4	2	3
32291	1	1	32	1	2	18	22	1	2	17	10	0	0	10	14	0	1	14	8	1	1	8
33163	1	0	17	11	7	8	9	9	7	5	8	2	0	7	6	3	6	5	3	6	1	1
32807	1	0	22	5	8	12	12	5	8	8	10	0	0	10	9	2	4	8	3	3	4	2
33337	1	1	29	5	1	16	20	4	1	15	9	1	0	9	11	3	1	10	9	1	0	9
33223	1	1	26	9	0	13	18	7	0	13	8	2	0	7	10	5	0	8	8	2	0	7
32753	1	0	20	0	15	11	10	0	15	8	10	0	0	10	9	0	6	9	1	0	9	1
32773	1	1	33	2	0	18	23	2	0	18	10	0	0	10	14	1	0	14	9	1	0	9
33401	1	0	24	11	0	12	15	10	0	9	9	1	0	9	8	7	0	6	7	3	0	6
33396	1	1	29	6	0	15	20	5	0	15	9	1	0	9	13	2	0	12	7	3	0	6
33167	1	1	31	0	4	18	21	0	4	17	10	0	0	10	13	0	2	13	8	0	2	8
33919	1	1	32	2	1	18	23	1	1	18	9	1	0	9	14	0	1	14	9	1	0	9
33822	1	1	29	6	0	15	21	4	0	16	8	2	0	7	12	3	0	11	9	1	0	9
32797	1	1	26	8	1	13	17	7	1	12	9	1	0	9	9	5	1	7	8	2	0	7
33795	1	1	21	13	1	10	16	8	1	11	5	5	0	3	7	7	1	5	9	1	0	9
