ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
32550	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
32798	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	B	B	B	C	B	B	A	C	B	B	B	B	B
33202	1	C	B	A	B	D	A	D	B	D	C	A	X	X	B	A	C	D	C	A	C	D	C	D	B	B	C	A	C	A	D	A	C	B	B	D
32502	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	B	D	C	B	B	C	B	C	A	B	A	C	C	B	B
33772	1	C	B	C	D	B	B	B	B	D	C	D	A	C	B	C	C	A	C	A	B	B	C	D	C	A	C	A	B	A	A	A	C	C	B	D
33858	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
33823	1	C	B	A	B	D	B	D	B	D	C	C	B	B	B	A	C	D	C	A	D	B	D	C	C	B	C	B	C	A	D	A	C	B	B	B
33170	1	C	B	A	B	D	B	D	B	D	C	X	A	A	B	X	C	C	D	A	X	B	D	X	B	B	C	A	B	B	X	A	C	C	B	B
32758	1	C	B	C	C	C	B	D	B	D	C	C	B	X	B	D	C	B	D	D	A	D	C	B	B	B	C	B	A	B	A	X	C	B	X	D
32291	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	X	C	B	C	A	D	A	X	B	A	B
33163	1	C	B	A	D	D	B	C	B	D	C	A	X	D	D	X	C	C	C	A	X	D	C	X	X	X	A	X	D	D	D	A	A	C	B	C
32807	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	X	C	A	X	B	C	C	D	X	X	A	B	A	X	A	C	X	C	X
33337	1	B	B	A	B	D	B	D	B	D	C	A	B	A	B	X	D	D	C	A	D	B	B	C	B	B	C	B	B	A	D	A	C	B	B	B
33223	1	C	B	D	B	D	C	D	B	D	C	A	B	A	D	A	C	A	C	A	D	B	D	C	C	B	C	B	B	A	C	A	C	B	B	B
32753	1	C	B	A	B	D	B	D	B	D	C	X	X	A	B	A	C	D	C	A	X	D	X	X	X	B	X	X	X	X	X	A	X	X	X	X
32773	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	A	C	B	C	A	D	A	C	B	C	B
33401	1	C	B	A	B	D	C	D	B	D	C	A	A	B	B	D	C	D	D	A	D	C	C	B	B	A	C	B	C	D	D	A	A	B	B	C
33396	1	C	B	A	A	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	D	C	B	B	C	B	B	A	D	B	C	C	B	B
33167	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	X	C	B	X	X	B	C	A	D	X	C	B	B	B
33919	1	C	B	A	C	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	X	C	B	C	A	D	A	C	C	B	B
