feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
13ew38781	1	D	C	B	B	C	B	D	E	B	C	E	C	D	A	A	C	X	C	B	C	E	B	A	D	D	C	C	C	E	X	C	A	E	C	B	X	B	A	A	D
13ew52113	1	D	D	B	B	B	B	D	D	E	B	E	C	D	B	A	C	E	C	B	C	X	B	A	E	D	E	C	A	E	X	X	A	E	C	B	C	C	A	C	A
13ew13054	1	D	C	D	B	E	B	D	D	A	B	E	C	D	A	A	C	E	C	B	C	C	B	C	E	D	B	C	C	B	C	C	A	D	C	C	B	D	C	D	D
13ew75797	1	D	C	D	B	X	A	D	E	X	B	E	C	A	A	A	C	X	X	B	A	C	B	A	E	B	X	C	C	E	C	D	X	E	C	B	C	E	C	X	D
13ew33990	1	D	C	D	B	C	B	D	D	B	X	E	C	D	D	A	C	E	C	B	C	C	B	A	E	D	B	B	C	E	C	C	X	D	C	B	B	D	C	B	A
13ew51423	1	D	C	D	D	C	B	D	D	B	B	C	C	D	A	A	C	X	C	E	C	C	B	C	A	B	E	C	C	X	C	C	A	D	X	B	X	A	E	B	A
13ew34203	1	D	C	D	B	D	B	D	D	E	B	E	C	D	D	A	C	X	B	X	C	C	B	A	E	D	B	C	E	D	X	C	A	E	C	C	C	D	X	B	X
13ew78322	1	X	X	D	B	C	X	D	D	X	B	E	C	D	A	A	C	E	C	X	C	X	B	A	E	D	C	B	E	E	C	A	X	X	D	X	X	D	X	X	C
13ew84175	1	C	C	D	B	D	B	D	E	B	C	E	C	X	A	A	C	E	C	X	C	C	B	A	E	C	B	B	C	X	A	C	X	D	X	C	C	E	X	A	D
13ew63925	1	X	C	D	B	E	A	D	D	E	C	E	C	X	E	A	C	X	C	E	C	C	B	C	E	C	E	B	X	E	X	B	A	E	X	B	E	B	A	X	E
13ew74793	1	E	C	D	C	E	A	D	D	B	B	E	C	D	D	A	C	X	C	E	X	C	B	C	E	D	B	X	X	X	B	X	A	X	C	B	C	E	E	A	X
13ew82905	1	D	C	D	B	X	B	D	D	B	C	E	C	D	A	A	C	X	C	X	X	X	B	A	E	B	B	C	X	E	C	C	X	X	C	B	C	D	X	C	D
13ew44811	1	D	C	E	B	E	B	E	E	B	B	E	C	D	X	A	C	X	C	B	C	C	B	D	A	E	E	B	X	E	X	D	A	D	X	B	C	E	X	C	B
13ew48260	1	X	X	D	C	C	B	D	E	B	B	E	B	D	X	A	C	X	C	X	C	C	B	A	E	D	E	C	E	E	X	X	X	D	X	B	C	E	X	B	A
13ew24834	1	D	C	D	D	D	A	D	D	B	B	E	C	D	A	A	C	E	C	B	C	C	B	C	C	B	X	C	C	E	X	A	X	X	D	B	C	D	X	B	D
13ew28801	1	D	C	D	X	B	A	D	D	X	X	E	C	D	A	A	C	X	C	X	X	X	X	C	E	X	B	C	X	E	X	X	X	D	X	B	X	D	X	X	D
13ew94807	1	E	C	D	B	C	B	D	D	B	B	E	B	X	A	X	C	X	B	X	X	X	C	A	E	D	C	X	X	E	X	B	X	E	E	B	X	E	A	B	X
13ew23473	1	D	C	D	B	X	E	D	D	B	B	E	C	D	A	A	C	E	C	B	C	B	B	A	E	D	E	X	C	X	C	C	C	B	C	D	X	D	A	D	D
13ew16784	1	D	C	D	B	B	A	D	D	C	B	E	C	A	A	A	C	E	E	X	X	C	B	C	E	B	C	C	X	E	X	A	A	D	X	A	X	D	C	D	D
13ew69961	1	D	C	D	A	B	B	D	D	B	C	E	D	D	D	A	C	A	C	X	D	C	B	A	E	E	C	B	X	E	C	E	X	X	X	B	C	D	X	C	D
13ew47523	1	D	C	D	B	E	A	D	E	B	B	E	C	X	A	A	C	D	C	X	D	C	B	A	E	D	E	X	C	E	A	E	X	X	X	B	C	D	X	D	D
13ew55494	1	X	C	D	B	B	B	D	D	B	B	E	C	D	A	A	C	E	C	X	C	C	B	A	E	D	B	C	C	E	C	E	A	D	C	C	X	D	C	D	D
13ew64291	1	D	C	D	X	X	B	D	B	E	B	C	E	X	X	A	C	X	C	A	C	D	E	A	E	B	X	X	C	E	A	A	X	X	X	A	C	E	X	B	D
13ew28745	1	D	C	D	B	B	B	D	D	B	C	E	C	D	A	A	C	D	B	A	C	C	B	C	A	D	B	B	C	D	A	C	C	D	C	B	B	E	C	D	C
13ew30034	1	E	C	D	D	E	A	D	D	B	B	D	C	X	D	A	C	D	B	X	X	X	B	C	E	B	X	D	D	E	C	A	X	C	C	C	C	D	A	B	E
13ew56398	1	X	C	D	B	B	B	D	D	B	B	B	C	D	A	A	D	X	C	B	C	C	B	A	E	B	B	B	X	E	C	A	D	D	X	B	D	E	X	A	B
13ew33540	1	D	C	D	B	B	B	X	E	B	B	E	C	D	A	A	C	E	X	B	C	C	B	A	X	E	B	X	C	B	C	E	A	E	E	B	D	E	X	A	A
13ew90706	1	D	C	D	B	D	B	X	E	X	B	E	C	D	C	A	C	E	C	X	C	C	E	A	E	D	B	C	E	E	X	X	X	D	X	B	C	E	A	X	B
13ew38990	1	C	C	C	X	X	B	C	E	E	B	C	E	E	C	A	C	X	C	X	C	D	B	C	D	D	E	X	C	E	X	B	D	X	B	B	X	E	X	X	D
13ew77164	1	C	C	D	B	X	A	D	D	A	C	E	C	A	X	A	C	X	B	B	C	C	X	C	A	B	B	A	C	E	C	B	A	D	C	X	C	E	B	X	D
13ew56292	1	D	C	A	E	A	A	D	E	X	C	E	C	E	A	A	C	X	C	E	X	C	E	A	B	B	E	D	C	C	A	X	D	D	X	X	C	B	X	B	B
13ew14901	1	X	X	D	B	B	B	A	D	B	B	E	C	D	X	A	C	X	C	E	C	C	B	A	E	D	B	C	C	E	X	C	A	E	B	B	C	D	A	C	D
13ew60330	1	D	C	D	B	A	A	D	D	B	B	E	C	D	A	A	C	X	C	B	X	X	B	A	E	D	B	C	C	E	X	C	A	D	C	B	D	X	C	D	D
13ew71781	1	E	C	D	A	C	A	D	D	C	B	E	C	C	A	A	C	X	C	X	X	C	B	D	E	D	E	C	C	E	B	C	X	D	A	B	C	E	E	C	B
13ew29445	1	D	C	B	B	B	B	D	D	B	C	D	E	E	B	D	C	E	B	E	B	D	D	D	E	B	X	B	E	E	C	B	B	E	B	A	C	B	E	C	E
13ew85947	1	C	C	C	B	B	B	E	D	A	C	E	C	D	A	A	C	X	E	X	C	C	X	A	A	B	E	B	C	E	X	A	A	E	B	B	C	E	D	A	D
13ew13826	1	E	A	B	B	C	B	D	E	C	B	E	C	X	A	A	C	X	C	E	B	C	B	A	E	D	X	B	X	E	E	X	X	E	C	B	X	D	A	C	E
13ew87543	1	D	C	D	B	C	B	D	D	B	C	E	C	A	A	A	C	D	C	B	E	D	C	A	E	A	B	C	D	E	A	B	B	E	D	B	B	D	A	C	B
13ew41265	1	D	E	D	A	B	A	D	D	B	A	E	C	D	D	A	C	D	C	B	X	C	E	A	E	D	E	C	E	X	C	C	A	X	C	B	E	E	X	B	D
13ew64977	1	D	C	D	D	B	B	D	D	X	B	E	C	D	A	A	C	X	C	B	C	C	B	A	E	B	B	C	X	E	A	E	X	D	D	B	C	D	A	D	B
13ew40413	1	E	C	A	C	B	B	D	E	B	B	X	A	E	A	A	X	D	C	X	X	C	E	A	C	D	X	X	X	E	X	E	X	E	B	B	C	B	X	A	A
13ew48495	1	D	C	D	A	B	A	D	E	B	B	E	E	D	A	A	C	D	C	X	B	C	B	A	A	B	X	B	X	E	A	E	D	B	B	B	B	E	A	B	E
13ew23708	1	C	C	A	B	B	B	D	E	B	C	C	X	C	A	A	B	X	C	X	C	C	B	A	D	D	X	A	C	X	C	C	X	D	B	B	E	E	A	E	D
13ew54737	1	C	C	D	B	B	B	X	E	B	B	E	C	X	X	A	C	X	C	X	E	D	B	A	E	C	X	B	X	C	B	E	D	X	X	A	D	E	X	A	E
13ew35964	1	E	D	D	C	C	B	D	D	E	B	C	C	A	A	A	C	X	A	A	X	D	B	A	E	D	X	C	X	E	A	B	D	X	B	C	C	E	B	E	B
13ew71945	1	E	C	D	B	C	A	D	D	B	B	E	C	D	A	A	C	X	C	B	E	D	B	A	E	B	B	B	D	E	X	E	X	E	C	B	X	E	D	A	E
13ew99171	1	D	C	A	D	B	B	D	D	B	B	E	C	E	A	A	C	B	C	X	C	C	B	A	E	B	E	B	X	E	X	B	E	B	B	B	C	E	X	C	D
13ew44829	1	D	C	D	D	B	B	D	D	B	B	D	C	B	D	A	C	X	C	X	C	C	B	C	E	D	X	B	C	E	B	B	D	C	B	B	D	B	D	B	A
13ew25327	1	D	C	D	C	B	B	A	D	D	C	E	E	C	C	A	C	X	B	A	X	C	E	A	E	B	E	B	C	E	A	C	C	E	D	B	D	B	D	C	A
13ew89926	1	A	C	D	D	C	A	D	D	B	B	B	E	D	A	A	D	C	C	X	X	C	B	C	E	B	X	C	C	X	X	D	X	B	X	B	X	B	X	C	A
13ew78730	1	D	C	B	B	X	B	D	D	C	B	E	E	E	A	E	C	X	C	X	E	C	B	A	E	D	E	B	E	E	C	C	C	D	X	B	X	X	E	C	E
13ew44301	1	C	A	D	C	B	B	D	E	E	B	E	C	D	D	A	C	X	D	B	C	X	B	A	E	D	B	X	C	E	X	X	A	D	A	C	E	E	A	D	A
13ew53408	1	D	X	D	C	C	B	D	E	B	B	E	C	A	E	C	C	X	E	E	X	C	B	A	C	B	B	E	B	E	X	E	X	B	E	B	C	D	B	A	A
13ew93013	1	D	C	C	D	C	B	D	D	B	B	E	C	C	D	A	C	X	C	E	X	C	B	A	C	B	E	C	X	E	C	C	X	D	X	B	C	D	E	D	X
13ew71309	1	D	D	B	B	C	E	D	E	E	B	E	E	C	A	A	C	E	C	X	D	C	B	A	E	E	X	B	D	E	C	B	X	X	D	B	C	E	B	E	A
