feedbackCode	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	academisch-redenerenGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep
13ew69675	1	0	5	5	0	4	<5	11	10	9	9	<15	16	15	9	6	<10
13ew78438	1	1	8	2	0	8	>=7	17	11	2	14	<15	25	13	2	11	10-13
13ew63353	1	1	8	2	0	8	>=7	15	10	5	13	<15	23	12	5	10	10-13
13ew18419	1	1	9	0	1	9	>=7	22	4	4	21	>=20	31	4	5	15	>=14
13ew96242	1	0	7	2	1	7	>=7	8	11	11	5	<15	15	13	12	6	<10
13ew81765	1	0	5	5	0	4	<5	16	10	4	14	<15	21	15	4	9	<10
13ew84127	1	0	6	1	3	6	5-7	7	8	15	5	<15	13	9	18	5	<10
13ew75505	1	1	8	1	1	8	>=7	23	4	3	22	>=20	31	5	4	15	>=14
13ew45795	1	1	9	1	0	9	>=7	14	10	6	12	<15	23	11	6	10	10-13
13ew58972	1	1	7	3	0	6	5-7	20	8	2	18	15-20	27	11	2	12	10-13
13ew77433	1	1	7	3	0	6	5-7	16	12	2	13	<15	23	15	2	10	10-13
13ew43137	1	1	8	1	1	8	>=7	20	7	3	18	15-20	28	8	4	13	10-13
13ew54691	1	1	8	1	1	8	>=7	23	4	3	22	>=20	31	5	4	15	>=14
13ew24086	1	0	6	4	0	5	5-7	16	13	1	13	<15	22	17	1	9	<10
13ew17944	1	1	6	4	0	5	5-7	21	4	5	20	15-20	27	8	5	13	10-13
13ew26460	1	0	5	5	0	4	<5	16	14	0	13	<15	21	19	0	8	<10
13ew17583	1	0	7	3	0	6	5-7	12	8	10	10	<15	19	11	10	8	<10
13ew56344	1	0	5	5	0	4	<5	14	13	3	11	<15	19	18	3	7	<10
13ew45973	1	1	8	2	0	8	>=7	26	2	2	26	>=20	34	4	2	17	>=14
13ew85822	1	0	5	4	1	4	<5	16	11	3	13	<15	21	15	4	9	<10
13ew66151	1	1	8	2	0	8	>=7	17	12	1	14	<15	25	14	1	11	10-13
13ew71306	1	1	9	1	0	9	>=7	17	11	2	14	<15	26	12	2	12	10-13
13ew85476	1	0	5	2	3	5	5-7	12	6	12	11	<15	17	8	15	8	<10
13ew79827	1	1	6	4	0	5	5-7	17	11	2	14	<15	23	15	2	10	10-13
13ew29222	1	1	9	1	0	9	>=7	21	4	5	20	15-20	30	5	5	14	>=14
13ew85950	1	1	8	2	0	8	>=7	26	4	0	25	>=20	34	6	0	16	>=14
13ew24946	1	0	5	5	0	4	<5	15	10	5	13	<15	20	15	5	8	<10
13ew86187	1	0	8	2	0	8	>=7	13	12	5	10	<15	21	14	5	9	<10
13ew75122	1	0	8	2	0	8	>=7	11	11	8	8	<15	19	13	8	8	<10
13ew81238	1	1	8	2	0	8	>=7	24	5	1	23	>=20	32	7	1	15	>=14
13ew21488	1	0	6	3	1	5	5-7	7	16	7	3	<15	13	19	8	4	<10
13ew84454	1	0	2	8	0	0	<5	14	14	2	11	<15	16	22	2	5	<10
13ew48788	1	0	6	3	1	5	5-7	5	10	15	3	<15	11	13	16	4	<10
13ew28335	1	1	6	3	1	5	5-7	18	10	2	16	15-20	24	13	3	10	10-13
13ew91081	1	0	5	4	1	4	<5	12	16	2	8	<15	17	20	3	6	<10
13ew89834	1	0	0	10	0	0	<5	13	17	0	9	<15	13	27	0	3	<10
13ew10019	1	0	3	7	0	1	<5	9	18	3	5	<15	12	25	3	3	<10
13ew29905	1	1	7	3	0	6	5-7	19	10	1	17	15-20	26	13	1	11	10-13
13ew96879	1	0	6	2	2	6	5-7	9	14	7	6	<15	15	16	9	6	<10
13ew59468	1	1	7	3	0	6	5-7	22	6	2	21	>=20	29	9	2	13	10-13
13ew68018	1	0	3	6	1	2	<5	2	14	14	0	<15	5	20	15	0	<10
13ew58454	1	1	5	1	4	5	5-7	18	4	8	17	15-20	23	5	12	11	10-13
13ew21709	1	0	6	4	0	5	5-7	11	11	8	8	<15	17	15	8	7	<10
13ew82679	1	0	6	3	1	5	5-7	13	9	8	11	<15	19	12	9	8	<10
13ew84483	1	0	7	2	1	7	>=7	12	7	11	10	<15	19	9	12	8	<10
13ew38805	1	1	8	2	0	8	>=7	24	5	1	23	>=20	32	7	1	15	>=14
13ew63346	1	0	7	2	1	7	>=7	9	10	11	7	<15	16	12	12	7	<10
13ew38781	1	1	7	3	0	6	5-7	18	9	3	16	15-20	25	12	3	11	10-13
13ew52113	1	0	6	4	0	5	5-7	16	11	3	13	<15	22	15	3	9	<10
13ew13054	1	1	8	2	0	8	>=7	29	1	0	29	>=20	37	3	0	18	>=14
