Rnummer,plan,concepten,wiskundig,rekentechnisch,interpretatie
R_2149F1p7jDDxKKE,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.0
R_C4v7atN2zecu6Y1,0.8333333333333334,0.5714285714285714,0.5738095238095238,0.8571428571428572,0.6
R_sCiYkGmjBHbuIzD,0.8333333333333334,1.0,0.8666666666666667,1.0,0.6
R_2xGfpvDbNOPmlvL,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_1nPJ54owTaoQVGy,1.0,0.5714285714285714,0.8666666666666667,0.5803571428571428,0.8
R_23Pg6SBLYP0JaU1,0.8333333333333334,0.8571428571428571,0.8666666666666667,1.0,0.6
R_5dn8VuNsHnyN6IV,0.8333333333333334,0.5714285714285714,0.8666666666666667,0.8571428571428572,0.4
R_3h0AQkbCSvvoanF,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.4
R_2PzcAvkf2ViLK5b,1.0,0.42857142857142855,0.8666666666666667,1.0,0.6
R_1cSbSvFsvIyeCJQ,1.0,0.5714285714285714,0.7952380952380952,1.0,0.2
R_3hcIq8VU3F4inly,0.8333333333333334,0.5714285714285714,0.8309523809523809,0.875,0.2
R_1DHGAbAOXGn8nAF,1.0,1.0,0.95,0.6428571428571428,0.4
R_32PeMDXRrnu79cz,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.4
R_2YzVqi8lVIr50fE,0.8333333333333334,0.5714285714285714,0.7666666666666667,0.5803571428571428,0.8
R_x0k5TzkElurC3yF,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_2WwJXeQ09esHB2T,1.0,0.5714285714285714,0.8666666666666667,1.0,0.8
R_1jv67EMmPljsH8H,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_24HtOT0HbQYNLQR,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.4
R_rlhK0u1DVNtVZbH,0.8333333333333334,0.5714285714285714,0.8666666666666667,0.6875,0.2
R_1r3vMvmdhPRkMYh,0.8333333333333334,0.42857142857142855,0.8666666666666667,1.0,0.6
R_2PcjmB5usAx3GMZ,1.0,0.7142857142857143,0.8666666666666667,1.0,0.6
R_3JlQA7dpWC6jZts,1.0,0.5714285714285714,0.8666666666666667,0.9375,0.4
R_2dLWCzg16NCrAXe,0.8333333333333334,0.5714285714285714,0.95,0.8125,0.2
