feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep	basisvaardighedenJuist	basisvaardighedenFout	basisvaardighedenBlanco	basisvaardighedenScore	basisvaardighedenGroep
13wb98979	1	0	15	19	6	4	<10	4	11	5	0	<10	7	3	0	6	5-7	4	5	1	2	<5
13wb42641	1	1	32	5	3	15	>=14	16	2	2	15	>=14	7	2	1	6	5-7	9	1	0	9	>=7
13wb62589	1	1	33	7	0	15	>=14	18	2	0	17	>=14	6	4	0	5	5-7	9	1	0	9	>=7
13wb88835	1	0	21	15	4	8	<10	9	8	3	6	<10	7	2	1	6	5-7	5	5	0	3	<5
13wb57394	1	0	21	14	5	8	<10	11	4	5	10	10-13	6	4	0	5	5-7	4	6	0	2	<5
13wb81855	1	0	15	17	8	5	<10	8	5	7	6	<10	3	6	1	1	<5	4	6	0	2	<5
13wb61634	1	1	21	5	14	10	10-13	11	2	7	10	10-13	3	1	6	3	<5	7	2	1	6	5-7
13wb46705	1	1	27	9	4	12	10-13	12	5	3	10	10-13	5	4	1	4	<5	10	0	0	10	>=7
13wb86872	1	1	34	5	1	16	>=14	16	4	0	15	>=14	9	1	0	9	>=7	9	0	1	9	>=7
13wb61566	1	0	17	12	11	7	<10	9	6	5	7	<10	3	4	3	2	<5	5	2	3	4	<5
13wb75479	1	1	29	10	1	13	10-13	13	7	0	11	10-13	7	2	1	6	5-7	9	1	0	9	>=7
13wb93125	1	0	19	16	5	7	<10	10	7	3	8	<10	3	5	2	1	<5	6	4	0	5	5-7
13wb80788	1	0	9	19	12	1	<10	5	11	4	1	<10	1	3	6	0	<5	3	5	2	1	<5
13wb86052	1	0	19	13	8	7	<10	10	6	4	8	<10	5	2	3	4	<5	4	5	1	2	<5
13wb30965	1	0	16	9	15	7	<10	8	3	9	7	<10	3	2	5	2	<5	5	4	1	4	<5
13wb69338	1	1	24	9	7	11	10-13	13	4	3	12	10-13	6	2	2	5	5-7	5	3	2	4	<5
13wb69649	1	1	36	3	1	18	>=14	19	0	1	19	>=14	8	2	0	7	>=7	9	1	0	9	>=7
13wb17095	1	0	20	20	0	7	<10	9	11	0	5	<10	6	4	0	5	5-7	5	5	0	3	<5
13wb21990	1	0	23	15	2	9	<10	9	9	2	6	<10	7	3	0	6	5-7	7	3	0	6	5-7
13wb77781	1	1	22	7	11	10	10-13	13	2	5	12	10-13	3	2	5	2	<5	6	3	1	5	5-7
13wb55290	1	0	17	14	9	6	<10	7	6	7	5	<10	5	3	2	4	<5	5	5	0	3	<5
13wb28428	1	0	21	14	5	8	<10	11	7	2	9	<10	3	4	3	2	<5	7	3	0	6	5-7
13wb38519	1	1	27	13	0	11	10-13	11	9	0	8	<10	7	3	0	6	5-7	9	1	0	9	>=7
13wb88454	1	0	20	11	9	8	<10	10	3	7	9	<10	4	4	2	3	<5	6	4	0	5	5-7
13wb50692	1	1	26	11	3	11	10-13	10	8	2	7	<10	8	1	1	8	>=7	8	2	0	7	>=7
13wb30937	1	1	29	5	6	14	>=14	15	3	2	14	>=14	6	0	4	6	5-7	8	2	0	7	>=7
13wb99640	1	1	26	11	3	11	10-13	11	7	2	9	<10	6	3	1	5	5-7	9	1	0	9	>=7
13wb15158	1	1	23	8	9	10	10-13	12	3	5	11	10-13	4	3	3	3	<5	7	2	1	6	5-7
13wb43630	1	0	17	15	8	6	<10	5	8	7	2	<10	5	4	1	4	<5	7	3	0	6	5-7
13wb60262	1	1	26	8	6	12	10-13	15	3	2	14	>=14	4	2	4	3	<5	7	3	0	6	5-7
13wb70502	1	1	26	11	3	11	10-13	13	5	2	11	10-13	6	3	1	5	5-7	7	3	0	6	5-7
13wb68649	1	0	20	14	6	8	<10	10	7	3	8	<10	3	4	3	2	<5	7	3	0	6	5-7
13wb40055	1	0	20	15	5	8	<10	11	8	1	8	<10	5	3	2	4	<5	4	4	2	3	<5
13wb98534	1	1	26	11	3	11	10-13	15	4	1	14	>=14	7	2	1	6	5-7	4	5	1	2	<5
13wb85263	1	0	20	16	4	7	<10	8	9	3	5	<10	5	4	1	4	<5	7	3	0	6	5-7
13wb30874	1	0	20	16	4	7	<10	8	9	3	5	<10	5	4	1	4	<5	7	3	0	6	5-7
13wb86581	1	0	20	17	3	7	<10	11	7	2	9	<10	5	4	1	4	<5	4	6	0	2	<5
13wb23494	1	0	19	11	10	8	<10	13	4	3	12	10-13	2	2	6	1	<5	4	5	1	2	<5
13wb84080	1	1	30	9	1	14	>=14	19	1	0	19	>=14	7	2	1	6	5-7	4	6	0	2	<5
13wb46162	1	1	29	11	0	13	10-13	15	5	0	13	10-13	7	3	0	6	5-7	7	3	0	6	5-7
13wb17362	1	0	22	16	2	8	<10	12	7	1	10	10-13	7	3	0	6	5-7	3	6	1	1	<5
13wb92047	1	0	19	10	11	8	<10	8	5	7	6	<10	6	1	3	6	5-7	5	4	1	4	<5
13wb24274	1	0	17	12	11	7	<10	11	4	5	10	10-13	1	4	5	0	<5	5	4	1	4	<5
13wb36482	1	1	28	5	7	13	10-13	13	3	4	12	10-13	8	0	2	8	>=7	7	2	1	6	5-7
13wb47505	1	1	40	0	0	20	>=14	20	0	0	20	>=14	10	0	0	10	>=7	10	0	0	10	>=7
13wb21570	1	1	28	8	4	13	10-13	12	6	2	10	10-13	7	1	2	7	>=7	9	1	0	9	>=7
13wb47690	1	0	17	18	5	6	<10	10	6	4	8	<10	2	7	1	0	<5	5	5	0	3	<5
13wb53832	1	0	19	10	11	8	<10	12	3	5	11	10-13	2	5	3	0	<5	5	2	3	4	<5
13wb42354	1	0	19	17	4	7	<10	8	8	4	5	<10	7	3	0	6	5-7	4	6	0	2	<5
13wb57438	1	0	7	13	20	1	<10	3	5	12	1	<10	0	3	7	0	<5	4	5	1	2	<5
13wb78649	1	0	14	17	9	4	<10	8	7	5	6	<10	3	5	2	1	<5	3	5	2	1	<5
13wb97173	1	0	21	10	9	9	<10	10	4	6	9	<10	4	3	3	3	<5	7	3	0	6	5-7
13wb66271	1	0	13	21	6	3	<10	8	9	3	5	<10	2	6	2	0	<5	3	6	1	1	<5
13wb16139	1	0	23	14	3	9	<10	10	7	3	8	<10	10	0	0	10	>=7	3	7	0	1	<5
13wb63289	1	1	24	11	5	10	10-13	14	5	1	12	10-13	3	3	4	2	<5	7	3	0	6	5-7
13wb32350	1	0	15	25	0	3	<10	6	14	0	1	<10	5	5	0	3	<5	4	6	0	2	<5
13wb65249	1	0	16	11	13	6	<10	6	6	8	4	<10	2	4	4	1	<5	8	1	1	8	>=7
13wb13361	1	0	21	15	4	8	<10	8	8	4	5	<10	7	3	0	6	5-7	6	4	0	5	5-7
13wb32850	1	1	24	12	4	10	10-13	11	7	2	9	<10	6	2	2	5	5-7	7	3	0	6	5-7
13wb53237	1	0	11	18	11	3	<10	2	9	9	0	<10	3	6	1	1	<5	6	3	1	5	5-7
13wb83859	1	0	19	21	0	6	<10	10	10	0	7	<10	3	7	0	1	<5	6	4	0	5	5-7
13wb62078	1	1	24	11	5	10	10-13	9	6	5	7	<10	7	3	0	6	5-7	8	2	0	7	>=7
13wb90244	1	0	14	24	2	3	<10	8	11	1	4	<10	4	5	1	2	<5	2	8	0	0	<5
13wb68692	1	1	26	14	0	11	10-13	11	9	0	8	<10	7	3	0	6	5-7	8	2	0	7	>=7
13wb61388	1	0	22	12	6	9	<10	12	4	4	11	10-13	3	5	2	1	<5	7	3	0	6	5-7
13wb43548	1	0	15	20	5	4	<10	9	10	1	6	<10	3	5	2	1	<5	3	5	2	1	<5
13wb42016	1	1	26	10	4	11	10-13	12	6	2	10	10-13	8	1	1	8	>=7	6	3	1	5	5-7
13wb47982	1	1	27	12	1	12	10-13	16	4	0	15	>=14	6	4	0	5	5-7	5	4	1	4	<5
13wb31930	1	0	13	13	14	4	<10	7	5	8	5	<10	1	3	6	0	<5	5	5	0	3	<5
13wb78482	1	0	19	17	4	7	<10	8	10	2	5	<10	5	3	2	4	<5	6	4	0	5	5-7
13wb26845	1	0	15	12	13	6	<10	7	5	8	5	<10	4	5	1	2	<5	4	2	4	3	<5
13wb88746	1	1	26	11	3	11	10-13	13	6	1	11	10-13	6	2	2	5	5-7	7	3	0	6	5-7
13wb11555	1	0	12	13	15	4	<10	10	8	2	7	<10	2	5	3	0	<5	0	0	10	0	<5
