ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
q1427167	1	D	C	D	B	D	C	A	A	D	D	C	D	D	D	C	B	B	D	B	C	C	B
q1461583	1	D	C	C	B	X	B	D	A	X	D	B	A	C	D	C	D	C	X	X	X	B	D
q1385848	1	D	C	X	B	B	A	B	A	X	D	D	X	X	X	X	X	X	D	X	X	D	B
q0947379	1	D	C	B	C	D	X	D	A	X	C	X	X	X	D	C	X	X	X	X	X	X	D
q1378848	1	X	C	B	B	D	C	D	A	X	D	B	X	X	D	C	X	X	X	D	C	A	D
q1380447	1	D	B	B	B	D	A	B	D	D	C	C	C	C	D	B	C	B	A	B	B	C	B
q1417417	1	D	B	D	B	A	A	A	A	X	B	B	X	X	C	A	X	X	X	C	B	A	B
q1381979	1	D	C	B	B	D	A	D	A	C	D	B	A	B	D	C	A	X	D	D	C	B	D
q1381191	1	D	C	B	B	D	C	D	A	C	D	B	A	C	D	C	X	B	X	X	C	B	D
q1379047	1	B	C	B	B	C	C	D	A	C	B	B	A	C	D	C	A	B	B	C	C	A	D
q1278850	1	D	C	X	B	D	X	D	A	X	D	B	X	X	C	X	B	X	X	X	X	X	X
q1141769	1	D	C	B	A	D	C	D	A	C	D	B	A	C	D	C	A	X	D	X	X	B	B
q1421681	1	D	C	B	B	D	A	D	A	C	D	B	A	C	C	C	A	X	X	D	D	B	X
q1438824	1	B	C	B	A	D	A	X	A	C	B	B	X	X	D	A	X	B	D	D	X	C	D
q1396284	1	D	B	B	B	C	X	D	A	X	D	B	A	X	C	C	X	X	D	X	C	B	C
q1415906	1	D	C	B	B	D	A	D	A	C	D	B	X	X	D	C	A	B	X	D	X	B	D
q1417831	1	D	C	B	B	D	C	X	A	C	D	X	A	X	D	C	X	B	D	B	X	B	D
q1444444	1	D	C	X	B	X	X	D	X	X	D	X	X	X	X	C	X	X	X	X	B	B	D
q1431548	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	X	B	X	X	C	D	D
q1443945	1	X	C	D	A	X	X	B	A	X	B	B	X	X	D	C	X	X	X	D	X	A	X
q1382444	1	D	C	D	A	D	A	D	A	C	B	C	C	B	C	C	C	C	A	A	A	C	B
q1445097	1	D	C	B	B	D	X	C	C	C	B	X	B	X	X	C	X	X	D	D	D	D	B
q1462960	1	X	B	X	C	D	A	C	A	C	D	X	X	X	D	C	X	X	D	X	X	X	X
q1421267	1	D	C	B	B	D	A	D	A	X	D	B	A	C	D	C	X	B	X	D	X	B	D
q1374373	1	D	C	B	B	D	A	D	A	C	D	B	A	B	D	C	X	B	D	D	A	B	B
q1360716	1	D	X	B	B	A	C	B	C	C	C	D	B	C	D	X	X	X	C	X	A	B	C
q1426989	1	D	C	B	B	D	C	C	A	C	C	B	A	C	D	C	A	B	D	D	B	D	D
q1281195	1	D	C	B	B	D	A	D	A	C	D	D	A	C	D	D	A	B	D	D	X	A	D
q1387840	1	D	C	B	B	D	A	D	A	C	B	B	A	X	D	C	X	B	X	B	X	D	D
q1443110	1	D	C	B	B	B	C	D	A	C	D	B	A	A	D	D	A	B	X	D	C	D	D
q1140408	1	D	C	B	B	D	A	C	A	C	D	B	X	C	D	C	X	X	X	X	C	D	D
q1381172	1	D	C	B	B	D	A	D	A	X	C	B	D	X	D	A	X	X	D	X	A	B	D
q1307401	1	D	C	X	A	D	C	C	A	C	D	B	B	X	D	C	X	A	D	C	X	D	D
q1438402	1	D	C	C	B	D	A	D	A	X	D	B	X	C	X	X	A	X	D	D	X	B	D
q1444647	1	D	C	C	B	B	A	D	A	C	B	C	A	C	D	C	X	B	D	X	C	B	B
q1445828	1	D	C	D	B	D	X	D	A	C	D	B	X	C	D	C	X	X	X	D	C	B	D
q1399608	1	D	C	B	B	D	A	C	A	X	D	C	X	C	C	C	X	B	D	X	C	B	D
q1443794	1	D	C	D	A	D	A	A	B	A	D	D	A	C	D	C	B	B	D	B	B	D	C
q1418157	1	D	C	B	A	D	A	A	A	C	B	B	A	C	D	X	A	X	D	X	X	D	D
q1359594	1	D	C	B	B	D	A	B	D	X	C	D	C	X	D	A	X	X	X	D	C	A	B
q1417651	1	D	C	B	B	D	A	D	B	C	D	B	X	X	D	C	A	B	D	D	X	B	D
q1377048	1	D	C	B	B	D	X	D	A	X	D	B	B	C	D	B	X	C	X	X	C	A	X
