feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep
19in84734	1	1	20	5	0	15	>=14	10	0	0	10	>=9	10	5	0	8	8-11
19in46873	1	1	18	7	0	13	10-13	10	0	0	10	>=9	8	7	0	6	<8
19in27562	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in69200	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19in31764	1	1	18	7	0	13	10-13	9	1	0	9	>=9	9	6	0	7	<8
19in17880	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in83539	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19in43792	1	1	19	6	0	14	>=14	8	2	0	7	7-8	11	4	0	10	8-11
19in87866	1	1	17	4	4	13	10-13	8	1	1	8	7-8	9	3	3	8	8-11
19in97466	1	0	12	13	0	6	<10	4	6	0	2	<7	8	7	0	6	<8
19in35798	1	1	18	2	5	14	>=14	10	0	0	10	>=9	8	2	5	7	<8
19in72095	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in93774	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in33883	1	1	14	6	5	10	10-13	8	1	1	8	7-8	6	5	4	4	<8
19in54905	1	0	11	4	10	8	<10	8	0	2	8	7-8	3	4	8	2	<8
19in11165	1	1	19	6	0	14	>=14	9	1	0	9	>=9	10	5	0	8	8-11
19in87518	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19in88776	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in80813	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in41316	1	1	15	6	4	10	10-13	8	2	0	7	7-8	7	4	4	6	<8
19in87705	1	1	17	6	2	12	10-13	8	2	0	7	7-8	9	4	2	8	8-11
19in20616	1	1	16	4	5	12	10-13	9	1	0	9	>=9	7	3	5	6	<8
19in15834	1	1	23	1	1	18	>=14	10	0	0	10	>=9	13	1	1	13	>=12
19in53359	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in78896	1	1	16	3	6	12	10-13	7	1	2	7	7-8	9	2	4	8	8-11
19in58009	1	1	21	2	2	16	>=14	9	1	0	9	>=9	12	1	2	12	>=12
19in14008	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in20106	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in62684	1	1	17	8	0	11	10-13	7	3	0	6	<7	10	5	0	8	8-11
19in53739	1	1	20	5	0	15	>=14	8	2	0	7	7-8	12	3	0	11	8-11
19in28809	1	1	22	3	0	17	>=14	9	1	0	9	>=9	13	2	0	12	>=12
19in17958	1	1	18	5	2	13	10-13	9	1	0	9	>=9	9	4	2	8	8-11
19in92856	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in18184	1	0	13	12	0	7	<10	8	2	0	7	7-8	5	10	0	2	<8
19in21879	1	1	13	3	9	10	10-13	8	1	1	8	7-8	5	2	8	4	<8
19in54323	1	1	24	0	1	19	>=14	10	0	0	10	>=9	14	0	1	14	>=12
19in15476	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in29126	1	1	18	4	3	13	10-13	9	1	0	9	>=9	9	3	3	8	8-11
19in27175	1	0	4	21	0	0	<10	2	8	0	0	<7	2	13	0	0	<8
19in69358	1	1	18	4	3	13	10-13	9	0	1	9	>=9	9	4	2	8	8-11
19in97320	1	0	15	10	0	9	<10	6	4	0	5	<7	9	6	0	7	<8
19in84652	1	1	21	4	0	16	>=14	8	2	0	7	7-8	13	2	0	12	>=12
19in46708	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in97220	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in86175	1	1	21	1	3	17	>=14	10	0	0	10	>=9	11	1	3	11	8-11
19in31778	1	1	16	9	0	10	10-13	7	3	0	6	<7	9	6	0	7	<8
19in86354	1	1	23	1	1	18	>=14	9	1	0	9	>=9	14	0	1	14	>=12
19in26051	1	0	13	12	0	7	<10	8	2	0	7	7-8	5	10	0	2	<8
19in36518	1	0	13	6	6	9	<10	7	1	2	7	7-8	6	5	4	4	<8
19in45146	1	1	19	4	2	14	>=14	9	1	0	9	>=9	10	3	2	9	8-11
19in51856	1	1	16	9	0	10	10-13	10	0	0	10	>=9	6	9	0	3	<8
19in59953	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19in98533	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in59157	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in32290	1	1	17	5	3	12	10-13	9	1	0	9	>=9	8	4	3	7	<8
19in35490	1	0	13	9	3	8	<10	7	3	0	6	<7	6	6	3	4	<8
19in60090	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in54122	1	1	17	3	5	13	10-13	9	1	0	9	>=9	8	2	5	7	<8
19in29712	1	1	18	3	4	14	>=14	10	0	0	10	>=9	8	3	4	7	<8
19in28850	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in44736	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in16085	1	1	16	4	5	12	10-13	8	2	0	7	7-8	8	2	5	7	<8
19in73698	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in45976	1	1	15	0	10	12	10-13	10	0	0	10	>=9	5	0	10	5	<8
19in92080	1	1	18	3	4	14	>=14	9	0	1	9	>=9	9	3	3	8	8-11
19in76010	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in32620	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in16395	1	1	20	0	5	16	>=14	10	0	0	10	>=9	10	0	5	10	8-11
19in53587	1	1	19	6	0	14	>=14	9	1	0	9	>=9	10	5	0	8	8-11
19in80776	1	1	22	2	1	17	>=14	9	1	0	9	>=9	13	1	1	13	>=12
19in23729	1	1	17	6	2	12	10-13	10	0	0	10	>=9	7	6	2	5	<8
19in46122	1	0	10	15	0	4	<10	5	5	0	3	<7	5	10	0	2	<8
19in18093	1	1	16	2	7	12	10-13	9	0	1	9	>=9	7	2	6	6	<8
19in15913	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in93373	1	1	23	1	1	18	>=14	10	0	0	10	>=9	13	1	1	13	>=12
19in63812	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in14576	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in64983	1	0	13	8	4	8	<10	8	2	0	7	7-8	5	6	4	3	<8
19in64987	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in78016	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in30547	1	1	17	7	1	12	10-13	8	2	0	7	7-8	9	5	1	7	<8
19in47424	1	1	20	4	1	15	>=14	9	1	0	9	>=9	11	3	1	10	8-11
19in90805	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19in64778	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in76428	1	1	22	3	0	17	>=14	9	1	0	9	>=9	13	2	0	12	>=12
19in29313	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in74123	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19in36955	1	1	15	3	7	11	10-13	8	2	0	7	7-8	7	1	7	7	<8
19in93330	1	0	14	7	4	9	<10	8	2	0	7	7-8	6	5	4	4	<8
19in81711	1	1	17	2	6	13	10-13	8	0	2	8	7-8	9	2	4	8	8-11
19in75402	1	1	16	2	7	12	10-13	9	0	1	9	>=9	7	2	6	6	<8
19in87143	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in51597	1	1	20	3	2	15	>=14	9	1	0	9	>=9	11	2	2	10	8-11
19in17940	1	1	19	2	4	15	>=14	10	0	0	10	>=9	9	2	4	8	8-11
19in34803	1	1	19	6	0	14	>=14	9	1	0	9	>=9	10	5	0	8	8-11
19in65897	1	1	15	6	4	10	10-13	8	2	0	7	7-8	7	4	4	6	<8
19in76383	1	1	15	6	4	10	10-13	8	2	0	7	7-8	7	4	4	6	<8
19in15296	1	0	11	5	9	7	<10	7	1	2	7	7-8	4	4	7	3	<8
19in55379	1	1	21	3	1	16	>=14	9	1	0	9	>=9	12	2	1	11	8-11
19in37259	1	0	12	13	0	6	<10	7	3	0	6	<7	5	10	0	2	<8
19in13280	1	1	21	1	3	17	>=14	10	0	0	10	>=9	11	1	3	11	8-11
19in30307	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in96451	1	1	16	9	0	10	10-13	8	2	0	7	7-8	8	7	0	6	<8
19in56101	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in46607	1	1	24	1	0	19	>=14	9	1	0	9	>=9	15	0	0	15	>=12
19in24170	1	1	19	6	0	14	>=14	9	1	0	9	>=9	10	5	0	8	8-11
19in58531	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in22835	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in41201	1	0	13	12	0	7	<10	7	3	0	6	<7	6	9	0	3	<8
19in69298	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19in95836	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in56768	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in72333	1	1	20	2	3	15	>=14	10	0	0	10	>=9	10	2	3	9	8-11
19in93202	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in69537	1	1	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11
19in60301	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19in78462	1	1	24	0	1	19	>=14	10	0	0	10	>=9	14	0	1	14	>=12
19in30976	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19in71982	1	1	17	8	0	11	10-13	8	2	0	7	7-8	9	6	0	7	<8
19in13629	1	1	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11
19in12418	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in59362	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19in68505	1	1	19	6	0	14	>=14	9	1	0	9	>=9	10	5	0	8	8-11
19in65813	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19in61166	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in25924	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19in34698	1	1	20	4	1	15	>=14	9	0	1	9	>=9	11	4	0	10	8-11
19in60120	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in15275	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in59348	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in92860	1	1	16	9	0	10	10-13	8	2	0	7	7-8	8	7	0	6	<8
19in60338	1	1	17	8	0	11	10-13	9	1	0	9	>=9	8	7	0	6	<8
19in83174	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19in67636	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19in40432	1	1	21	1	3	17	>=14	10	0	0	10	>=9	11	1	3	11	8-11
19in18053	1	1	17	8	0	11	10-13	9	1	0	9	>=9	8	7	0	6	<8
19in10092	1	1	19	2	4	15	>=14	9	0	1	9	>=9	10	2	3	9	8-11
19in53681	1	1	22	3	0	17	>=14	9	1	0	9	>=9	13	2	0	12	>=12
19in78330	1	1	21	1	3	17	>=14	10	0	0	10	>=9	11	1	3	11	8-11
19in45796	1	1	17	4	4	13	10-13	9	1	0	9	>=9	8	3	4	7	<8
19in77994	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in53202	1	1	19	6	0	14	>=14	9	1	0	9	>=9	10	5	0	8	8-11
19in18724	1	1	16	9	0	10	10-13	10	0	0	10	>=9	6	9	0	3	<8
19in34584	1	1	21	1	3	17	>=14	10	0	0	10	>=9	11	1	3	11	8-11
19in23469	1	1	22	3	0	17	>=14	9	1	0	9	>=9	13	2	0	12	>=12
19in98917	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19in48827	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in78028	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in75453	1	1	23	1	1	18	>=14	8	1	1	8	7-8	15	0	0	15	>=12
19in30686	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in67806	1	1	24	0	1	19	>=14	10	0	0	10	>=9	14	0	1	14	>=12
19in31538	1	0	15	10	0	9	<10	7	3	0	6	<7	8	7	0	6	<8
19in35385	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19in63755	1	1	20	2	3	15	>=14	10	0	0	10	>=9	10	2	3	9	8-11
19in72361	1	1	18	5	2	13	10-13	10	0	0	10	>=9	8	5	2	6	<8
19in27540	1	0	13	10	2	8	<10	7	3	0	6	<7	6	7	2	4	<8
19in77060	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19in74013	1	1	23	1	1	18	>=14	9	0	1	9	>=9	14	1	0	14	>=12
19in46316	1	1	20	5	0	15	>=14	10	0	0	10	>=9	10	5	0	8	8-11
19in79202	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19in83083	1	1	15	5	5	11	10-13	7	2	1	6	<7	8	3	4	7	<8
19in62144	1	1	20	1	4	16	>=14	10	0	0	10	>=9	10	1	4	10	8-11
19in93838	1	1	22	0	3	18	>=14	10	0	0	10	>=9	12	0	3	12	>=12
19in57528	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in12763	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in88637	1	0	14	11	0	8	<10	7	3	0	6	<7	7	8	0	4	<8
19in60235	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in91982	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in71324	1	1	24	1	0	19	>=14	9	1	0	9	>=9	15	0	0	15	>=12
19in38582	1	1	24	1	0	19	>=14	9	1	0	9	>=9	15	0	0	15	>=12
19in29284	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in44985	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19in21604	1	1	20	5	0	15	>=14	10	0	0	10	>=9	10	5	0	8	8-11
19in18762	1	1	20	4	1	15	>=14	9	1	0	9	>=9	11	3	1	10	8-11
19in91398	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19in12417	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19in71664	1	1	18	7	0	13	10-13	10	0	0	10	>=9	8	7	0	6	<8
19in59750	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in13062	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in26395	1	1	19	2	4	15	>=14	10	0	0	10	>=9	9	2	4	8	8-11
19in68112	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19in88317	1	1	21	3	1	16	>=14	8	2	0	7	7-8	13	1	1	13	>=12
19in14246	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in62389	1	1	19	6	0	14	>=14	9	1	0	9	>=9	10	5	0	8	8-11
19in43146	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in86680	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19in54345	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19in28971	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in65170	1	1	19	3	3	14	>=14	10	0	0	10	>=9	9	3	3	8	8-11
19in51491	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19in74556	1	1	19	2	4	15	>=14	10	0	0	10	>=9	9	2	4	8	8-11
19in32725	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19in33230	1	1	20	1	4	16	>=14	10	0	0	10	>=9	10	1	4	10	8-11
19in48674	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in35850	1	1	21	0	4	17	>=14	10	0	0	10	>=9	11	0	4	11	8-11
19in52121	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19in61102	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in58613	1	1	20	3	2	15	>=14	10	0	0	10	>=9	10	3	2	9	8-11
19in46003	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in21452	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in21070	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in44414	1	1	18	3	4	14	>=14	10	0	0	10	>=9	8	3	4	7	<8
19in81311	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in67014	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in56074	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in25424	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in41241	1	1	20	3	2	15	>=14	10	0	0	10	>=9	10	3	2	9	8-11
19in91273	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in61514	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in53484	1	1	19	6	0	14	>=14	9	1	0	9	>=9	10	5	0	8	8-11
19in10386	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19in76725	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19in88240	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in15632	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in34547	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in77890	1	1	24	0	1	19	>=14	10	0	0	10	>=9	14	0	1	14	>=12
19in74905	1	1	21	4	0	16	>=14	8	2	0	7	7-8	13	2	0	12	>=12
19in34485	1	0	12	7	6	8	<10	8	1	1	8	7-8	4	6	5	2	<8
19in70012	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19in10062	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in32825	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in23025	1	1	23	1	1	18	>=14	10	0	0	10	>=9	13	1	1	13	>=12
19in56465	1	1	19	6	0	14	>=14	8	2	0	7	7-8	11	4	0	10	8-11
19in28077	1	1	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11
19in91793	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19in51889	1	1	18	4	3	13	10-13	8	2	0	7	7-8	10	2	3	9	8-11
19in88059	1	1	20	3	2	15	>=14	9	1	0	9	>=9	11	2	2	10	8-11
19in86165	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19in68204	1	0	14	8	3	9	<10	7	3	0	6	<7	7	5	3	5	<8
19in71060	1	0	14	11	0	8	<10	8	2	0	7	7-8	6	9	0	3	<8
19in21970	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in20949	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19in95894	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in58902	1	1	15	5	5	11	10-13	8	1	1	8	7-8	7	4	4	6	<8
19in99636	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19in93495	1	1	19	4	2	14	>=14	8	1	1	8	7-8	11	3	1	10	8-11
19in45113	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in90528	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in93022	1	1	18	4	3	13	10-13	9	1	0	9	>=9	9	3	3	8	8-11
19in98105	1	1	22	2	1	17	>=14	8	2	0	7	7-8	14	0	1	14	>=12
19in76788	1	1	18	4	3	13	10-13	9	1	0	9	>=9	9	3	3	8	8-11
19in37753	1	1	23	0	2	18	>=14	10	0	0	10	>=9	13	0	2	13	>=12
19in20198	1	1	15	1	9	12	10-13	8	1	1	8	7-8	7	0	8	7	<8
19in10764	1	1	18	7	0	13	10-13	9	1	0	9	>=9	9	6	0	7	<8
19in97205	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in56813	1	1	23	0	2	18	>=14	10	0	0	10	>=9	13	0	2	13	>=12
19in94009	1	1	19	4	2	14	>=14	9	0	1	9	>=9	10	4	1	9	8-11
19in84281	1	1	19	4	2	14	>=14	10	0	0	10	>=9	9	4	2	8	8-11
19in24278	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19in22274	1	1	16	5	4	11	10-13	9	1	0	9	>=9	7	4	4	6	<8
19in41472	1	1	18	4	3	13	10-13	9	1	0	9	>=9	9	3	3	8	8-11
19in33969	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19in70096	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19in74118	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19in40510	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19in22967	1	1	17	8	0	11	10-13	8	2	0	7	7-8	9	6	0	7	<8
19in47151	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19in71505	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in66093	1	1	18	1	6	14	>=14	8	0	2	8	7-8	10	1	4	10	8-11
19in21247	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19in77555	1	1	19	6	0	14	>=14	9	1	0	9	>=9	10	5	0	8	8-11
19in52042	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19in46710	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19in81156	1	1	15	6	4	10	10-13	8	2	0	7	7-8	7	4	4	6	<8
19in16307	1	1	23	0	2	18	>=14	10	0	0	10	>=9	13	0	2	13	>=12
19in81849	1	1	15	0	10	12	10-13	8	0	2	8	7-8	7	0	8	7	<8
19in30272	1	1	16	9	0	10	10-13	8	2	0	7	7-8	8	7	0	6	<8
19in31845	1	1	19	5	1	14	>=14	10	0	0	10	>=9	9	5	1	7	<8
19in25238	1	1	17	2	6	13	10-13	7	1	2	7	7-8	10	1	4	10	8-11
19in73583	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19in35255	1	1	22	3	0	17	>=14	9	1	0	9	>=9	13	2	0	12	>=12
19in72899	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in60955	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in82606	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19in21624	1	1	24	1	0	19	>=14	9	1	0	9	>=9	15	0	0	15	>=12
19in57677	1	1	14	6	5	10	10-13	8	2	0	7	7-8	6	4	5	5	<8
19in75787	1	1	19	0	6	15	>=14	9	0	1	9	>=9	10	0	5	10	8-11
19in14406	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19in12409	1	1	18	7	0	13	10-13	7	3	0	6	<7	11	4	0	10	8-11
19in87268	1	1	20	2	3	15	>=14	9	1	0	9	>=9	11	1	3	11	8-11
