feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
17dw52241	1	X	X	C	D	X	B	A	C	D	C	B	A	X	X	X	X	B	X	B	B	B	A	B	C	A	C	A	D	C	C
17dw35566	1	A	C	C	D	X	C	A	C	C	C	A	A	C	A	A	B	B	D	D	B	A	A	B	B	A	C	B	A	D	C
17dw49526	1	A	B	C	X	X	D	A	C	D	C	B	A	X	X	X	B	B	D	C	B	A	C	B	C	D	C	A	B	A	C
17dw45181	1	B	D	D	B	X	X	A	C	X	C	A	A	X	C	X	B	A	X	B	X	B	C	B	B	A	C	A	D	D	A
17dw31520	1	A	X	C	D	X	X	A	C	X	D	B	X	A	D	B	B	B	X	X	C	C	A	B	B	A	C	A	D	D	C
17dw47232	1	A	X	C	D	X	A	A	C	D	C	B	A	B	D	X	B	X	X	D	B	A	A	B	C	A	C	C	D	A	C
17dw12404	1	A	D	C	X	B	C	A	A	X	C	B	A	C	C	A	B	B	X	A	B	B	A	B	C	A	C	A	D	A	C
17dw57703	1	A	X	A	X	A	X	A	A	X	X	D	A	B	D	X	B	B	A	D	A	B	X	B	X	C	C	B	D	C	X
17dw43889	1	B	D	C	X	X	B	A	C	X	B	B	A	X	X	A	C	B	X	X	X	X	A	B	C	C	C	B	B	D	A
17dw27902	1	A	C	B	X	A	C	C	B	X	C	B	A	A	A	B	B	C	B	C	B	B	A	B	C	D	C	D	D	C	D
17dw15308	1	B	X	C	X	A	C	B	A	A	C	B	B	C	X	B	B	A	B	C	D	B	D	D	C	X	D	D	A	X	D
17dw77921	1	A	C	X	X	B	X	B	C	B	A	B	A	B	D	A	B	B	X	D	X	A	B	A	C	A	D	A	B	B	C
17dw27269	1	C	B	X	D	X	D	A	B	X	A	B	A	X	X	A	B	B	C	A	D	A	D	B	B	C	C	A	D	B	B
17dw37813	1	B	X	X	D	X	X	A	C	X	C	B	A	C	X	A	B	C	X	X	X	B	B	B	C	A	B	A	C	D	D
17dw32834	1	D	X	X	C	X	X	C	C	X	B	B	A	C	C	D	B	A	B	D	X	C	D	B	C	A	C	B	D	C	B
17dw94858	1	D	X	D	D	A	C	A	C	B	C	B	A	D	C	X	B	B	C	C	B	A	B	B	C	B	C	B	D	C	D
17dw36545	1	B	X	D	X	B	X	A	C	X	B	B	A	X	D	X	B	C	D	A	X	B	D	B	C	A	B	A	D	D	C
17dw95830	1	B	X	C	D	X	X	A	B	X	C	B	A	A	X	B	B	C	B	A	D	B	A	B	A	A	C	A	D	B	B
17dw11144	1	B	C	C	B	B	D	A	C	B	C	B	A	C	C	A	B	A	A	D	D	A	B	B	C	A	C	A	D	D	D
17dw26720	1	X	X	X	X	X	X	A	X	X	D	B	A	X	X	B	B	X	D	D	X	X	A	B	X	X	C	A	A	X	X
17dw17387	1	C	B	C	D	X	C	A	C	X	C	B	A	C	B	A	B	D	D	X	B	A	D	B	X	B	D	D	D	C	B
17dw30265	1	C	B	D	B	B	D	A	A	A	C	A	A	C	D	B	B	C	C	B	B	B	D	B	C	B	C	A	B	D	D
17dw30603	1	B	B	D	B	A	C	A	B	A	C	B	B	D	A	A	B	B	C	A	A	A	D	B	C	A	C	A	D	C	C
17dw37084	1	A	C	C	D	B	B	C	C	A	C	B	A	A	C	B	B	A	C	A	B	B	B	D	C	D	D	A	D	D	C
17dw75431	1	B	X	X	B	X	C	X	C	X	C	A	A	X	X	X	X	B	X	A	X	A	X	B	X	D	C	B	X	X	X
17dw30340	1	D	D	C	C	A	D	A	B	A	D	B	A	B	C	C	B	B	D	C	B	A	A	X	D	B	C	D	D	B	D
17dw84461	1	D	C	D	B	B	D	C	C	D	C	B	A	C	C	B	B	A	B	C	D	C	A	B	C	A	C	A	D	C	C
17dw35488	1	D	B	D	D	X	C	C	X	B	D	B	C	B	C	D	B	B	C	D	B	A	D	B	B	D	D	D	A	C	D
17dw52308	1	B	X	D	A	X	D	A	C	A	B	B	A	A	C	B	B	A	B	B	D	B	D	B	C	B	C	C	D	D	C
17dw69779	1	B	D	C	A	A	A	A	D	D	B	B	A	B	C	D	B	A	B	B	D	C	B	A	A	C	C	D	A	C	D
17dw81252	1	B	X	X	B	X	D	A	D	C	B	C	A	X	C	X	D	A	X	X	X	C	X	X	X	X	X	A	B	C	X
17dw64660	1	B	C	C	B	D	C	D	D	B	B	D	A	C	C	B	B	D	B	D	D	B	B	D	B	A	C	C	D	A	B
17dw85929	1	A	C	C	D	B	C	B	D	A	B	B	A	C	C	A	B	B	D	D	A	B	A	B	B	A	C	D	D	D	A
17dw34023	1	A	A	C	X	X	X	A	X	X	C	B	A	X	X	A	B	B	C	C	B	B	A	B	C	A	C	A	D	D	B
17dw79005	1	A	D	C	X	X	X	A	C	X	A	B	B	X	C	X	A	A	D	D	X	X	A	B	C	B	C	B	D	D	C
17dw32464	1	A	C	C	C	B	D	A	B	D	C	D	A	B	C	D	B	B	C	B	D	A	D	B	B	A	C	A	D	D	C
17dw18526	1	A	X	C	X	X	A	A	C	B	B	B	A	X	X	X	B	X	X	D	X	A	X	B	D	A	C	A	A	C	C
17dw63627	1	X	A	X	X	X	X	B	C	B	C	B	A	C	B	A	A	X	X	X	B	X	A	B	X	A	C	B	D	D	C
17dw44806	1	B	C	B	X	B	D	A	C	D	C	A	A	A	C	C	D	B	A	B	B	A	A	B	C	A	D	B	B	B	C
17dw97979	1	C	X	X	X	X	X	X	X	X	X	B	A	C	X	B	A	D	C	D	D	B	X	B	C	A	C	D	B	D	C
17dw56862	1	C	B	A	D	B	C	B	D	B	C	B	A	C	A	A	D	B	D	D	D	A	D	A	C	A	B	D	D	B	B
17dw26924	1	D	B	A	B	C	D	D	B	B	D	B	B	B	C	C	B	D	B	A	D	B	A	B	D	A	A	B	A	B	D
17dw84307	1	B	B	C	D	C	B	B	B	D	B	B	A	A	A	A	B	B	C	D	D	A	A	B	C	A	C	B	C	B	B
17dw97436	1	B	X	X	A	X	X	C	X	X	C	D	B	B	C	C	D	A	B	D	X	B	D	B	D	A	C	C	A	C	A
17dw53112	1	B	X	B	X	X	X	D	X	X	X	B	A	X	B	X	D	X	X	D	X	X	X	X	X	X	X	A	D	B	C
17dw32724	1	C	X	X	B	X	C	A	D	B	B	D	B	B	X	X	A	X	X	C	X	A	B	X	X	X	X	B	A	C	X
17dw46248	1	B	B	C	B	A	D	A	C	D	C	B	A	B	C	B	B	C	D	A	B	B	D	B	B	A	B	A	D	C	B
17dw34868	1	D	B	A	B	X	B	D	C	X	C	B	C	B	C	A	B	B	X	B	D	D	A	B	C	B	A	A	D	C	C
17dw94611	1	A	X	C	D	B	X	A	A	D	B	B	A	D	C	A	B	A	D	A	D	A	B	B	C	A	C	B	X	D	C
17dw97333	1	B	D	C	C	B	C	A	A	B	D	B	A	C	C	A	B	C	D	C	D	B	D	B	D	B	B	A	A	D	D
17dw98592	1	A	B	B	C	X	B	B	B	B	C	B	A	C	C	A	B	A	D	A	B	B	C	B	C	A	B	B	D	D	C
17dw15024	1	A	D	C	X	X	X	A	X	X	C	B	A	X	C	X	B	A	X	A	B	A	A	B	C	A	C	A	D	C	D
17dw63090	1	D	B	D	C	B	B	C	C	D	B	A	C	B	B	C	C	C	B	B	C	C	A	A	B	B	C	A	C	B	A
17dw81820	1	B	X	X	D	X	X	A	C	X	X	B	A	B	X	A	B	B	D	X	B	C	C	B	X	X	D	X	D	X	C
17dw53912	1	B	C	B	C	B	B	C	C	A	D	B	A	A	B	A	B	A	D	C	D	C	C	B	C	A	C	A	D	D	B
17dw71538	1	A	D	X	D	X	C	B	C	D	B	B	A	A	D	A	D	B	X	D	B	X	A	B	X	D	C	C	D	D	C
17dw70390	1	B	X	X	D	X	C	B	B	X	C	B	B	X	X	X	B	X	X	X	B	X	X	X	X	X	X	X	X	X	X
17dw51935	1	B	B	D	D	C	C	C	A	A	D	D	B	C	B	B	B	D	D	C	B	C	C	D	D	A	A	A	A	C	D
17dw49689	1	D	B	C	X	B	X	A	C	B	C	B	A	A	D	A	B	B	B	A	D	A	B	B	C	A	X	D	D	A	C
17dw62551	1	X	X	X	X	X	X	X	X	X	B	D	X	B	X	X	A	X	X	B	D	B	A	B	D	A	C	X	X	C	C
17dw73192	1	B	B	X	B	X	X	B	X	X	C	D	A	X	B	X	D	D	B	C	D	B	C	X	X	X	C	X	B	C	D
17dw61874	1	X	X	X	X	X	X	B	B	X	X	B	A	B	A	A	B	B	X	B	D	B	D	B	X	A	B	A	D	C	B
17dw21349	1	B	C	X	B	B	X	A	C	D	X	B	A	C	X	A	C	C	B	D	A	A	B	B	A	B	D	D	D	D	C
17dw91469	1	B	X	C	B	X	C	C	A	D	D	B	B	B	B	X	B	B	D	A	D	A	X	C	D	A	D	C	D	D	X
17dw46632	1	C	A	D	A	X	D	D	X	X	X	B	X	C	X	X	A	D	X	B	A	X	D	X	X	X	X	X	X	C	D
17dw79157	1	C	B	C	B	A	C	C	A	D	B	B	A	C	C	A	B	C	B	A	B	B	B	B	B	D	C	A	D	B	C
17dw95219	1	C	D	C	B	D	B	A	C	C	C	B	A	A	D	A	B	A	B	B	A	B	C	B	D	A	C	B	B	D	C
