feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	totaal_geen_correctieJuist	totaal_geen_correctieFout	totaal_geen_correctieBlanco	totaal_geen_correctieScore	totaal_geen_correctieGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	wiskunde_geen_correctieJuist	wiskunde_geen_correctieFout	wiskunde_geen_correctieBlanco	wiskunde_geen_correctieScore	wiskunde_geen_correctieGroep	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	fysicaGroep	fysica_geen_correctieJuist	fysica_geen_correctieFout	fysica_geen_correctieBlanco	fysica_geen_correctieScore	fysica_geen_correctieGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep	chemie_geen_correctieJuist	chemie_geen_correctieFout	chemie_geen_correctieBlanco	chemie_geen_correctieScore	chemie_geen_correctieGroep	verwerkingsstrategieenScore	stuurloosleergedragScore	zelfcontroleScore	uitstelScore	nieuwsgierigheidScore	testangstScore	emotionelecontroleScore	samenwerkingScore	extraversieScore
17dw31534	1	0	12	15	0	5	5-9	12	18	0	4	<5	1	8	0	0	<3	1	9	0	0	<3	5	4	0	4	3-4	5	5	0	3	3-4	6	3	0	6	>=5	6	4	0	5	>=5	16	7	12	7	15	9	15	9	15
17dw37612	1	0	5	13	9	0	<5	5	14	11	0	<5	0	2	7	0	<3	0	2	8	0	<3	2	5	2	0	<3	2	5	3	0	<3	3	6	0	1	<3	3	7	0	1	<3	17	4	14	4	11	8	11	15	12
17dw19553	1	1	18	7	2	12	>=10	20	8	2	12	>=10	7	0	2	8	>=5	8	0	2	8	>=5	5	4	0	4	3-4	6	4	0	5	>=5	6	3	0	6	>=5	6	4	0	5	>=5	15	4	12	11	14	7	15	12	14
17dw39212	1	0	8	16	3	2	<5	8	18	4	1	<5	1	7	1	0	<3	1	8	1	0	<3	3	5	1	1	<3	3	6	1	1	<3	4	4	1	3	3-4	4	4	2	3	3-4	16	8	14	6	14	8	17	17	14
17dw36231	1	1	23	4	0	16	>=10	24	5	1	15	>=10	9	0	0	10	>=5	10	0	0	10	>=5	5	4	0	4	3-4	5	4	1	4	3-4	9	0	0	10	>=5	9	1	0	9	>=5	17	7	14	7	15	9	12	20	15
17dw19771	1	0	11	9	7	6	5-9	13	10	7	6	5-9	2	1	6	2	<3	3	1	6	3	3-4	4	4	1	3	3-4	4	5	1	2	<3	5	4	0	4	3-4	6	4	0	5	>=5	15	5	14	4	14	5	15	9	14
17dw12286	1	1	20	7	0	13	>=10	21	9	0	12	>=10	5	4	0	4	3-4	6	4	0	5	>=5	8	1	0	9	>=5	8	2	0	7	>=5	7	2	0	7	>=5	7	3	0	6	>=5	16	9	13	7	14	11	17	13	14
17dw71041	1	0	10	8	9	5	5-9	11	9	10	5	5-9	1	2	6	0	<3	1	3	6	0	<3	5	2	2	5	>=5	5	2	3	4	3-4	4	4	1	3	3-4	5	4	1	4	3-4	15	7	11	7	12	12	9	11	9
17dw81894	1	0	9	12	6	4	<5	9	13	8	3	<5	1	2	6	0	<3	1	3	6	0	<3	6	3	0	6	>=5	6	3	1	5	>=5	2	7	0	0	<3	2	7	1	0	<3	19	4	17	4	18	10	14	15	13
17dw88922	1	0	12	7	8	7	5-9	12	9	9	6	5-9	3	1	5	3	3-4	3	2	5	2	<3	5	3	1	4	3-4	5	3	2	4	3-4	4	3	2	3	3-4	4	4	2	3	3-4	17	8	14	6	15	8	16	14	19
17dw75119	1	0	14	13	0	7	5-9	14	16	0	6	5-9	5	4	0	4	3-4	5	5	0	3	3-4	4	5	0	3	3-4	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	15	9	14	6	14	9	13	10	15
17dw86061	1	0	10	17	0	3	<5	11	19	0	3	<5	2	7	0	0	<3	2	8	0	0	<3	2	7	0	0	<3	2	8	0	0	<3	6	3	0	6	>=5	7	3	0	6	>=5	18	12	17	4	15	10	14	19	20
17dw21611	1	0	13	14	0	6	5-9	15	15	0	7	5-9	3	6	0	1	<3	4	6	0	2	<3	3	6	0	1	<3	3	7	0	1	<3	7	2	0	7	>=5	8	2	0	7	>=5	15	6	16	7	17	8	16	14	15
17dw91511	1	0	10	8	9	5	5-9	10	10	10	4	<5	2	1	6	2	<3	2	2	6	1	<3	4	2	3	4	3-4	4	3	3	3	3-4	4	5	0	3	3-4	4	5	1	2	<3	14	6	13	4	14	10	15	13	14
17dw32317	1	1	16	8	3	10	>=10	17	9	4	9	5-9	3	3	3	2	<3	3	3	4	2	<3	7	2	0	7	>=5	7	3	0	6	>=5	6	3	0	6	>=5	7	3	0	6	>=5	17	5	17	4	14	7	16	12	17
17dw28047	1	1	20	1	6	15	>=10	21	2	7	14	>=10	5	0	4	6	>=5	6	0	4	6	>=5	7	1	1	7	>=5	7	1	2	7	>=5	8	0	1	9	>=5	8	1	1	8	>=5	15	14	14	8	14	10	15	9	14
17dw80406	1	1	20	7	0	13	>=10	21	9	0	12	>=10	6	3	0	6	>=5	6	4	0	5	>=5	6	3	0	6	>=5	6	4	0	5	>=5	8	1	0	9	>=5	9	1	0	9	>=5	15	4	12	7	15	7	16	15	13
17dw70600	1	0	9	15	3	3	<5	9	18	3	2	<5	1	7	1	0	<3	1	8	1	0	<3	5	3	1	4	3-4	5	4	1	4	3-4	3	5	1	1	<3	3	6	1	1	<3	15	11	16	0	14	6	15	14	12
17dw28416	1	0	13	10	4	7	5-9	14	12	4	7	5-9	3	5	1	1	<3	3	6	1	1	<3	3	4	2	2	<3	3	5	2	1	<3	7	1	1	7	>=5	8	1	1	8	>=5	16	6	14	6	13	8	13	13	13
