Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,33980,bi1591039513bDPV56pZmqe8LJYzWx6xlXTM6sGij8,20,A,18,,,,16,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33982,bi1591041816hgLk0IEa3P13pO9iZLUAcyt7Ns3vJ3,20,A,14,,,,11,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33986,bi1591046472oUxA58VRM0OyX95H7boKu8enIDcrI6,20,A,13,,,,10,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33988,bi1591089221pt4DODsOYcEmnfs5Wa4Srp0m0ffMhT,20,A,16,,,,12,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33991,bi1591102645h0s5lkRVuGRp2sR02jQG5VL668IfQJ,20,A,17,,,,12,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33992,bi15911074347TqWHfI2WnYJhwHaNRc9h06lZiwbsp,20,A,16,,,,11,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34730,bi1591108464wm4Dh9ut3kGx1hWwuKd3WSmdX6Sr54,20,A,19,,,,20,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33994,bi1591109601o9HzOTkzCOgxDOQSl2pCDLrVvWkkaF,20,A,13,,,,3,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33995,bi1591113297EI4DPBXu5TZUvMtbVElxzeB1oGCGQD,20,B,8,,,,0,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33997,bi1591119983Ir0AtbIW6INEe6csuV9oKCXSE6yQYR,20,A,16,,,,20,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
