ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
30357	1	A	A	C	D	X	B	A	C	D	X	B	A	X	D	X	B	B	X	D	D	A	A	B	C	A	C	A	D	D	C
30196	1	D	A	X	X	X	X	A	C	X	D	B	D	X	X	B	X	X	D	C	B	X	A	X	X	X	X	B	C	B	X
30152	1	A	X	B	D	B	D	A	A	X	B	B	A	C	C	A	B	A	D	D	D	C	X	B	C	A	C	A	D	D	C
30144	1	A	D	C	X	B	X	A	C	X	B	C	A	C	X	B	X	B	X	A	X	A	A	B	C	A	C	C	X	D	C
30163	1	B	B	B	X	X	A	A	C	X	C	D	A	C	C	A	C	X	B	D	B	B	C	B	X	A	D	A	D	D	B
30191	1	A	X	X	X	D	D	A	D	X	C	B	A	X	X	A	B	X	X	D	D	B	X	B	X	A	D	B	D	C	X
30192	1	A	B	B	D	X	B	A	C	X	D	B	B	B	X	A	B	X	D	A	B	B	X	B	C	A	X	B	D	D	X
30218	1	A	A	C	D	B	B	A	C	D	C	B	A	C	C	A	B	A	D	D	D	A	A	B	C	A	C	A	D	D	C
30149	1	A	A	A	X	X	B	A	X	X	C	B	A	D	X	X	B	X	X	X	X	X	X	B	X	A	C	B	D	X	X
30183	1	B	D	C	C	B	B	A	C	D	B	B	A	C	B	A	B	B	D	A	B	B	A	B	C	A	C	B	D	D	C
30136	1	A	B	A	C	A	C	C	C	D	C	B	C	B	D	A	D	D	B	D	D	B	B	B	C	B	C	A	A	B	C
30147	1	A	B	X	D	X	X	A	C	D	B	B	A	C	D	A	B	A	X	X	D	B	C	B	B	A	C	A	D	D	C
30123	1	A	A	C	B	C	C	A	C	D	B	B	A	A	C	A	B	B	C	D	B	C	X	B	D	D	C	X	X	B	C
30155	1	A	A	B	X	B	B	A	C	D	B	B	B	B	D	D	B	X	D	D	B	A	A	B	C	A	C	A	D	D	C
30207	1	A	X	C	D	X	X	A	C	X	B	B	A	C	C	X	X	X	X	X	X	X	A	B	X	A	C	X	X	D	X
30164	1	B	B	B	X	X	D	A	B	X	A	B	B	X	X	A	B	C	X	A	D	C	D	B	D	X	B	A	D	C	C
30125	1	A	C	D	A	B	B	B	B	D	C	D	A	A	B	A	D	B	D	A	B	A	A	D	C	C	D	B	A	D	C
30124	1	A	D	B	C	A	C	A	C	B	C	B	A	C	C	A	B	A	B	A	B	C	A	B	C	A	C	A	A	D	B
30146	1	A	C	X	X	D	A	A	A	D	D	D	A	D	X	A	B	B	D	C	B	B	D	X	X	X	C	X	D	X	C
30223	1	A	X	B	X	X	X	D	A	X	C	B	B	X	B	X	A	A	D	C	X	A	C	B	X	X	X	A	A	D	C
30127	1	B	D	B	B	B	C	B	C	B	C	B	A	B	B	A	B	C	A	D	B	A	C	B	C	A	C	A	D	D	C
30143	1	A	C	B	D	B	C	A	C	D	C	D	A	A	C	A	B	B	B	A	B	B	D	B	D	D	C	A	A	B	D
30129	1	B	D	C	C	C	C	A	B	A	C	D	B	B	C	A	B	A	D	D	B	B	C	B	C	A	D	B	C	D	B
30190	1	D	X	X	X	X	B	A	C	X	C	B	A	X	C	X	B	C	X	D	B	B	D	B	X	B	C	X	D	D	C
30222	1	B	D	C	C	D	C	A	C	B	D	B	B	C	A	A	A	A	B	A	D	B	D	B	C	B	C	A	A	D	A
30184	1	C	B	D	B	D	C	C	D	A	B	A	C	B	C	D	B	A	D	A	D	C	B	D	D	B	C	D	A	B	C
30157	1	C	B	X	C	X	B	A	A	X	B	B	A	A	X	X	A	C	D	B	D	B	C	B	C	B	C	A	A	D	C
30161	1	D	C	C	D	B	X	A	X	A	D	B	C	C	B	A	B	D	D	A	X	B	C	X	D	X	D	A	D	B	D
