ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaal_geen_correctieJuist	totaal_geen_correctieFout	totaal_geen_correctieBlanco	totaal_geen_correctieScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_geen_correctieJuist	wiskunde_geen_correctieFout	wiskunde_geen_correctieBlanco	wiskunde_geen_correctieScore	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	fysica_geen_correctieJuist	fysica_geen_correctieFout	fysica_geen_correctieBlanco	fysica_geen_correctieScore	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemie_geen_correctieJuist	chemie_geen_correctieFout	chemie_geen_correctieBlanco	chemie_geen_correctieScore
30011	1	0	7	11	9	2	7	13	10	2	0	2	7	0	0	2	8	0	3	5	1	1	3	6	1	1	4	4	1	3	4	5	1	2
30098	1	0	12	12	3	6	13	13	4	6	4	3	2	3	4	3	3	3	4	4	1	3	4	5	1	2	4	5	0	3	5	5	0	3
30225	1	0	8	15	4	2	9	16	5	2	2	5	2	0	2	6	2	0	3	6	0	1	3	6	1	1	3	4	2	2	4	4	2	3
30379	1	0	3	12	12	0	3	12	15	0	1	5	3	0	1	5	4	0	2	4	3	1	2	4	4	1	0	3	6	0	0	3	7	0
30380	1	0	12	15	0	5	13	17	0	5	2	7	0	0	3	7	0	1	5	4	0	4	5	5	0	3	5	4	0	4	5	5	0	3
30456	1	0	14	13	0	7	14	16	0	6	4	5	0	3	4	6	0	2	5	4	0	4	5	5	0	3	5	4	0	4	5	5	0	3
30454	1	0	10	17	0	3	11	19	0	3	2	7	0	0	2	8	0	0	4	5	0	3	4	6	0	2	4	5	0	3	5	5	0	3
30069	1	0	10	14	3	4	12	15	3	5	4	2	3	4	5	2	3	4	4	5	0	3	4	6	0	2	2	7	0	0	3	7	0	1
30159	1	0	10	17	0	3	11	19	0	3	1	8	0	0	2	8	0	0	4	5	0	3	4	6	0	2	5	4	0	4	5	5	0	3
30035	1	0	4	6	17	1	4	7	19	1	0	2	7	0	0	2	8	0	0	2	7	0	0	2	8	0	4	2	3	4	4	3	3	3
30137	1	0	14	9	4	8	14	11	5	7	4	2	3	4	4	3	3	3	6	3	0	6	6	3	1	5	4	4	1	3	4	5	1	2
30407	1	0	8	14	5	2	9	16	5	2	1	4	4	0	1	5	4	0	2	6	1	0	2	7	1	0	5	4	0	4	6	4	0	5
30047	1	1	17	10	0	10	19	11	0	10	6	3	0	6	7	3	0	6	4	5	0	3	4	6	0	2	7	2	0	7	8	2	0	7
30398	1	1	22	2	3	16	23	3	4	15	7	0	2	8	7	1	2	7	8	0	1	9	8	0	2	8	7	2	0	7	8	2	0	7
30297	1	0	11	5	11	7	11	6	13	6	3	0	6	3	3	0	7	3	4	3	2	3	4	3	3	3	4	2	3	4	4	3	3	3
30298	1	0	11	16	0	4	13	17	0	5	4	5	0	3	4	6	0	2	4	5	0	3	5	5	0	3	3	6	0	1	4	6	0	2
30384	1	1	19	6	2	13	19	9	2	11	6	2	1	6	6	3	1	5	4	4	1	3	4	5	1	2	9	0	0	10	9	1	0	9
30209	1	1	20	7	0	13	21	8	1	12	6	3	0	6	7	3	0	6	6	3	0	6	6	3	1	5	8	1	0	9	8	2	0	7
30158	1	0	13	14	0	6	15	15	0	7	5	4	0	4	6	4	0	5	3	6	0	1	4	6	0	2	5	4	0	4	5	5	0	3
30289	1	0	8	13	6	3	8	15	7	2	2	5	2	0	2	6	2	0	2	5	2	0	2	5	3	0	4	3	2	3	4	4	2	3
30001	1	0	15	9	3	9	16	11	3	8	2	4	3	1	2	5	3	0	7	2	0	7	7	3	0	6	6	3	0	6	7	3	0	6
30080	1	0	6	21	0	0	6	24	0	0	2	7	0	0	2	8	0	0	3	6	0	1	3	7	0	1	1	8	0	0	1	9	0	0
30116	1	0	12	13	2	6	12	15	3	5	4	5	0	3	4	5	1	2	4	3	2	3	4	4	2	3	4	5	0	3	4	6	0	2
30193	1	0	5	20	2	0	5	23	2	0	2	6	1	0	2	7	1	0	2	7	0	0	2	8	0	0	1	7	1	0	1	8	1	0
30120	1	0	8	10	9	3	8	11	11	3	0	2	7	0	0	2	8	0	5	4	0	4	5	4	1	4	3	4	2	2	3	5	2	1
30303	1	0	14	13	0	7	14	16	0	6	2	7	0	0	2	8	0	0	5	4	0	4	5	5	0	3	7	2	0	7	7	3	0	6
30241	1	0	8	8	11	4	8	10	12	3	3	2	4	3	3	3	4	2	2	2	5	1	2	2	6	1	3	4	2	2	3	5	2	1
30104	1	0	16	11	0	9	16	14	0	8	3	6	0	1	3	7	0	1	6	3	0	6	6	4	0	5	7	2	0	7	7	3	0	6
30148	1	0	5	15	7	0	5	18	7	0	0	7	2	0	0	8	2	0	2	4	3	1	2	5	3	0	3	4	2	2	3	5	2	1
30205	1	0	13	11	3	7	13	14	3	6	1	5	3	0	1	6	3	0	5	4	0	4	5	5	0	3	7	2	0	7	7	3	0	6
30236	1	0	8	19	0	1	9	21	0	1	2	7	0	0	2	8	0	0	4	5	0	3	4	6	0	2	2	7	0	0	3	7	0	1
30364	1	0	2	21	4	0	3	23	4	0	1	6	2	0	1	7	2	0	0	8	1	0	1	8	1	0	1	7	1	0	1	8	1	0
30441	1	1	20	0	7	15	22	1	7	14	6	0	3	7	6	1	3	6	7	0	2	8	8	0	2	8	7	0	2	8	8	0	2	8
30290	1	1	25	1	1	18	28	1	1	18	7	1	1	7	8	1	1	8	9	0	0	10	10	0	0	10	9	0	0	10	10	0	0	10
30277	1	0	5	22	0	0	5	25	0	0	1	8	0	0	1	9	0	0	2	7	0	0	2	8	0	0	2	7	0	0	2	8	0	0
30269	1	0	10	17	0	3	11	19	0	3	3	6	0	1	4	6	0	2	3	6	0	1	3	7	0	1	4	5	0	3	4	6	0	2
30301	1	0	15	7	5	9	15	10	5	8	4	2	3	4	4	3	3	3	4	4	1	3	4	5	1	2	7	1	1	7	7	2	1	6
30370	1	0	12	15	0	5	12	18	0	4	1	8	0	0	1	9	0	0	5	4	0	4	5	5	0	3	6	3	0	6	6	4	0	5
30049	1	0	5	13	9	0	5	14	11	0	0	2	7	0	0	2	8	0	2	5	2	0	2	5	3	0	3	6	0	1	3	7	0	1
30287	1	1	18	7	2	12	20	8	2	12	7	0	2	8	8	0	2	8	5	4	0	4	6	4	0	5	6	3	0	6	6	4	0	5
30066	1	0	8	16	3	2	8	18	4	1	1	7	1	0	1	8	1	0	3	5	1	1	3	6	1	1	4	4	1	3	4	4	2	3
30338	1	1	23	4	0	16	24	5	1	15	9	0	0	10	10	0	0	10	5	4	0	4	5	4	1	4	9	0	0	10	9	1	0	9
30229	1	0	11	9	7	6	13	10	7	6	2	1	6	2	3	1	6	3	4	4	1	3	4	5	1	2	5	4	0	4	6	4	0	5
30141	1	1	20	7	0	13	21	9	0	12	5	4	0	4	6	4	0	5	8	1	0	9	8	2	0	7	7	2	0	7	7	3	0	6
30270	1	0	10	8	9	5	11	9	10	5	1	2	6	0	1	3	6	0	5	2	2	5	5	2	3	4	4	4	1	3	5	4	1	4
30438	1	0	9	12	6	4	9	13	8	3	1	2	6	0	1	3	6	0	6	3	0	6	6	3	1	5	2	7	0	0	2	7	1	0
30041	1	0	12	7	8	7	12	9	9	6	3	1	5	3	3	2	5	2	5	3	1	4	5	3	2	4	4	3	2	3	4	4	2	3
30217	1	0	14	13	0	7	14	16	0	6	5	4	0	4	5	5	0	3	4	5	0	3	4	6	0	2	5	4	0	4	5	5	0	3
30250	1	0	10	17	0	3	11	19	0	3	2	7	0	0	2	8	0	0	2	7	0	0	2	8	0	0	6	3	0	6	7	3	0	6
30004	1	0	13	14	0	6	15	15	0	7	3	6	0	1	4	6	0	2	3	6	0	1	3	7	0	1	7	2	0	7	8	2	0	7
30284	1	0	10	8	9	5	10	10	10	4	2	1	6	2	2	2	6	1	4	2	3	4	4	3	3	3	4	5	0	3	4	5	1	2
30091	1	1	16	8	3	10	17	9	4	9	3	3	3	2	3	3	4	2	7	2	0	7	7	3	0	6	6	3	0	6	7	3	0	6
30246	1	1	20	1	6	15	21	2	7	14	5	0	4	6	6	0	4	6	7	1	1	7	7	1	2	7	8	0	1	9	8	1	1	8
30023	1	1	20	7	0	13	21	9	0	12	6	3	0	6	6	4	0	5	6	3	0	6	6	4	0	5	8	1	0	9	9	1	0	9
