Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,"Voornaam","nummer","ijkID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,31836,"18dwGRDM02931836",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31837,"18dwAET301231837",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31838,"18dwGRDM03031838",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31839,"18dwGRDM03131839",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31899,"18dwGRDM07031899",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31840,"18dwGRDM03231840",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31841,"18dwAET301331841",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31900,"18dwAET303431900",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31901,"18dwGRDM07131901",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31842,"18dwAET301431842",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31843,"18dwGRDM03331843",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31844,"18dwGRDM03431844",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31845,"18dwAET301531845",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31846,"18dwGRDM03531846",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31847,"18dwAET301631847",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31848,"18dwAET301731848",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31849,"18dwAET301831849",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31850,"18dwGRDM03631850",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31851,"18dwAET301931851",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31852,"18dwAET302031852",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31853,"18dwAET302131853",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31854,"18dwGRDM03731854",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31855,"18dwGRDM03831855",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31856,"18dwAET302231856",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31857,"18dwGRDM03931857",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31858,"18dwGRDM04031858",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31859,"18dwGRDM04131859",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31860,"18dwAET302331860",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31861,"18dwGRDM04231861",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31862,"18dwGRDM04331862",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31902,"18dwAET303531902",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31903,"18dwGRDM07231903",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31863,"18dwGRDM04431863",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31864,"18dwGRDM04531864",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31865,"18dwGRDM04631865",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31866,"18dwGRDM04731866",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31867,"18dwGRDM04831867",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31868,"18dwAET302431868",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31869,"18dwGRDM04931869",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31870,"18dwGRDM05031870",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31871,"18dwGRDM05131871",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31872,"18dwAET302531872",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31873,"18dwAET302631873",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31874,"18dwAET302731874",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31875,"18dwGRDM05231875",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31876,"18dwGRDM05331876",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31877,"18dwGRDM05431877",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31878,"18dwGRDM05531878",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31879,"18dwGRDM05631879",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31880,"18dwGRDM05731880",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31881,"18dwAET302831881",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31882,"18dwGRDM05831882",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31883,"18dwGRDM05931883",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31884,"18dwGRDM06031884",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31885,"18dwGRDM06131885",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31886,"18dwGRDM06231886",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31887,"18dwGRDM06331887",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31888,"18dwAET302931888",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31889,"18dwGRDM06431889",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31904,"18dwAET303631904",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31890,"18dwGRDM06531890",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
