ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
32901	1	B	A	D	D	B	D	D	C	D	D	C	C	D	C	C	B	B	C	B	B	D	B	C	B	A	B	C	B	A	D
33549	1	B	A	D	D	B	C	D	C	D	A	C	C	D	C	B	A	B	A	B	C	D	A	B	B	A	C	A	B	D	C
33420	1	B	A	D	D	B	D	D	C	D	C	A	C	C	C	B	X	A	A	C	B	D	B	A	B	A	C	A	B	D	C
33345	1	B	A	D	D	B	D	D	C	D	D	A	C	B	A	A	C	X	X	X	X	X	X	X	X	X	X	X	X	X	X
32378	1	B	C	D	A	B	C	B	D	B	D	C	C	X	C	X	B	C	A	D	X	D	B	A	B	A	C	D	A	B	A
33739	1	B	A	D	B	B	D	B	C	B	D	C	C	D	C	B	B	C	C	C	C	D	B	B	B	A	A	A	A	D	C
32866	1	B	A	D	D	B	D	D	C	D	D	A	C	D	C	B	A	A	A	B	C	D	A	A	B	A	C	A	B	D	C
33502	1	B	A	D	D	B	D	D	C	D	D	A	C	C	C	B	X	A	A	D	C	D	B	A	B	A	C	A	B	D	A
32459	1	B	A	D	D	B	X	D	C	D	D	A	C	X	C	X	B	X	A	B	B	D	B	A	B	A	C	A	B	D	A
32968	1	B	A	D	D	B	D	D	C	D	B	A	C	D	B	B	B	C	A	X	C	D	C	X	B	D	B	X	C	X	X
32419	1	B	A	D	D	B	D	X	C	D	D	A	C	X	C	B	X	X	A	B	B	D	B	A	A	A	C	A	B	D	C
32668	1	A	A	C	D	B	D	D	C	B	C	A	C	C	C	B	D	B	A	B	B	D	A	D	B	A	C	A	B	D	C
33557	1	B	A	D	D	B	D	D	C	D	A	A	C	D	C	B	B	D	A	B	C	D	B	A	B	A	C	A	B	D	C
33357	1	B	A	D	X	A	C	D	C	D	X	A	D	B	B	A	X	D	B	A	B	D	B	B	C	A	A	X	A	X	X
32509	1	A	B	D	D	D	C	D	D	C	D	B	A	D	C	A	B	C	A	A	C	C	A	B	B	A	A	A	B	A	A
32841	1	C	A	D	D	B	C	D	D	C	B	D	A	C	C	A	B	C	A	A	B	D	B	B	A	D	C	C	B	B	D
32395	1	B	A	D	D	B	D	C	C	D	D	A	C	C	C	A	B	C	A	A	B	D	D	B	B	A	A	A	B	D	A
32440	1	B	B	D	D	B	D	D	C	D	D	A	C	A	C	C	D	A	A	C	C	D	C	A	A	A	C	D	B	D	C
32274	1	B	A	D	D	B	D	D	C	X	D	X	C	X	C	X	X	X	A	B	X	D	A	A	A	A	X	X	C	D	C
33569	1	B	A	C	B	B	A	D	C	D	A	C	A	C	C	B	C	A	A	X	X	D	A	B	A	A	C	X	B	X	D
33755	1	C	A	C	D	B	A	B	C	B	D	B	A	X	C	B	B	B	D	C	D	B	D	A	A	A	X	X	C	B	B
32662	1	B	A	D	B	A	D	D	C	B	A	A	A	C	B	D	D	C	C	C	D	D	B	A	A	D	D	C	B	A	C
