ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore
33463	1	0	14	11	5	7	14	11	5	10	3	3	0	2	11	8	5	8	5	4	0	4	6	6	4	4	2	1	1	2	1	0	0	1
33305	1	1	24	3	3	15	24	3	3	23	5	1	0	5	19	2	3	18	8	0	1	8	12	3	1	11	4	0	0	4	0	0	1	0
32281	1	0	18	12	0	9	18	12	0	14	5	1	0	5	13	11	0	9	5	4	0	4	10	6	0	8	2	2	0	1	1	0	0	1
33745	1	1	19	6	5	11	19	6	5	17	5	1	0	5	14	5	5	12	8	1	0	8	8	4	4	7	2	1	1	2	1	0	0	1
33122	1	0	14	10	6	7	14	10	6	11	3	3	0	2	11	7	6	9	5	2	2	4	6	6	4	4	3	1	0	3	0	1	0	0
33189	1	1	18	6	6	11	18	6	6	16	5	1	0	5	13	5	6	11	6	2	1	5	9	3	4	8	2	1	1	2	1	0	0	1
33209	1	1	19	9	2	11	19	9	2	16	4	2	0	3	15	7	2	13	6	3	0	5	11	3	2	10	2	2	0	1	0	1	0	0
33882	1	1	24	6	0	15	24	6	0	22	5	1	0	5	19	5	0	17	7	2	0	6	13	3	0	12	4	0	0	4	0	1	0	0
33339	1	0	15	14	1	7	15	14	1	10	3	3	0	2	12	11	1	8	6	3	0	5	7	8	1	4	1	3	0	0	1	0	0	1
32685	1	1	22	2	6	14	22	2	6	21	4	1	1	4	18	1	5	18	6	1	2	6	13	0	3	13	3	1	0	3	0	0	1	0
32693	1	1	21	9	0	12	21	9	0	18	5	1	0	5	16	8	0	13	5	4	0	4	13	3	0	12	2	2	0	1	1	0	0	1
32310	1	1	20	8	2	12	20	8	2	17	6	0	0	6	14	8	2	11	6	3	0	5	10	4	2	9	4	0	0	4	0	1	0	0
33574	1	1	26	2	2	17	26	2	2	25	5	1	0	5	21	1	2	21	8	0	1	8	15	0	1	15	3	1	0	3	0	1	0	0
32960	1	1	24	6	0	15	24	6	0	22	4	2	0	3	20	4	0	19	7	2	0	6	13	3	0	12	3	1	0	3	1	0	0	1
32873	1	0	6	11	13	2	6	11	13	2	3	3	0	2	3	8	13	0	2	3	4	1	3	5	8	1	1	2	1	0	0	1	0	0
32342	1	0	10	15	5	3	10	15	5	5	2	4	0	1	8	11	5	4	3	5	1	1	5	8	3	2	2	1	1	2	0	1	0	0
32185	1	1	18	6	6	11	18	6	6	16	5	1	0	5	13	5	6	11	5	2	2	4	9	3	4	8	3	1	0	3	1	0	0	1
32901	1	1	20	10	0	11	20	10	0	17	6	0	0	6	14	10	0	11	6	3	0	5	10	6	0	8	3	1	0	3	1	0	0	1
33549	1	1	23	7	0	14	23	7	0	21	5	1	0	5	18	6	0	16	7	2	0	6	12	4	0	11	4	0	0	4	0	1	0	0
33420	1	1	25	4	1	16	25	4	1	24	6	0	0	6	19	4	1	18	8	1	0	8	14	1	1	14	3	1	0	3	0	1	0	0
33345	1	0	12	4	14	7	12	4	14	11	6	0	0	6	6	4	14	5	2	0	7	2	8	3	5	7	1	1	2	1	1	0	0	1
32378	1	0	14	13	3	6	14	13	3	10	3	3	0	2	11	10	3	8	5	4	0	4	5	9	2	2	3	0	1	3	1	0	0	1
33739	1	1	20	10	0	11	20	10	0	17	5	1	0	5	15	9	0	12	5	4	0	4	11	5	0	9	3	1	0	3	1	0	0	1
32866	1	1	28	2	0	18	28	2	0	27	6	0	0	6	22	2	0	21	8	1	0	8	15	1	0	15	4	0	0	4	1	0	0	1
33502	1	1	26	3	1	17	26	3	1	25	6	0	0	6	20	3	1	19	7	2	0	6	15	0	1	15	3	1	0	3	1	0	0	1
32459	1	1	24	2	4	16	24	2	4	23	5	0	1	5	19	2	3	18	7	1	1	7	13	1	2	13	3	0	1	3	1	0	0	1
