feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	basisJuist	basisFout	basisBlanco	basisScore	basisGroep	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	niet_basisGroep	analyseJuist	analyseFout	analyseBlanco	analyseScore	analyseGroep	algebraJuist	algebraFout	algebraBlanco	algebraScore	algebraGroep	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	meetkundeGroep	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore	kansrekenenGroep
19hw21482	1	0	13	14	3	6	6-9	13	14	3	8	<9	4	2	0	3	basis	9	12	3	5	niet_basis	4	5	0	2	analyse	6	8	2	3	algebra	2	1	1	2	meetkunde	1	0	0	1	kansrekenen
19hw47131	1	0	8	22	0	0	<6	8	22	0	1	<9	1	5	0	0	basis	7	17	0	1	niet_basis	2	7	0	0	analyse	5	11	0	1	algebra	1	3	0	0	meetkunde	0	1	0	0	kansrekenen
19hw88727	1	1	22	8	0	13	10-14	22	8	0	19	15-21	5	1	0	5	basis	17	7	0	15	niet_basis	7	2	0	6	analyse	12	4	0	11	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw48286	1	0	16	14	0	8	6-9	16	14	0	11	9-14	3	3	0	2	basis	13	11	0	9	niet_basis	4	5	0	2	analyse	9	7	0	7	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw40065	1	0	11	15	4	4	<6	11	15	4	6	<9	3	3	0	2	basis	8	12	4	4	niet_basis	4	5	0	2	analyse	6	6	4	4	algebra	1	3	0	0	meetkunde	0	1	0	0	kansrekenen
19hw31799	1	0	11	17	2	4	<6	11	17	2	5	<9	1	5	0	0	basis	10	12	2	6	niet_basis	5	4	0	4	analyse	4	10	2	1	algebra	2	2	0	1	meetkunde	0	1	0	0	kansrekenen
19hw66358	1	1	17	6	7	10	10-14	17	6	7	15	15-21	2	2	2	1	basis	15	4	5	14	niet_basis	8	0	1	8	analyse	6	4	6	5	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw75797	1	1	26	2	2	17	>14	26	2	2	25	>=22	6	0	0	6	basis	20	2	2	19	niet_basis	7	1	1	7	analyse	14	1	1	14	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw82521	1	1	21	9	0	12	10-14	21	9	0	18	15-21	3	3	0	2	basis	18	6	0	16	niet_basis	9	0	0	9	analyse	10	6	0	8	algebra	1	3	0	0	meetkunde	1	0	0	1	kansrekenen
19hw10119	1	0	11	19	0	3	<6	11	19	0	5	<9	3	3	0	2	basis	8	16	0	3	niet_basis	2	7	0	0	analyse	8	8	0	5	algebra	0	4	0	0	meetkunde	1	0	0	1	kansrekenen
19hw38199	1	1	23	2	5	15	>14	23	2	5	22	>=22	6	0	0	6	basis	17	2	5	16	niet_basis	8	1	0	8	analyse	10	1	5	10	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw79083	1	1	28	2	0	18	>14	28	2	0	27	>=22	6	0	0	6	basis	22	2	0	21	niet_basis	8	1	0	8	analyse	15	1	0	15	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw62777	1	1	20	10	0	11	10-14	20	10	0	17	15-21	5	1	0	5	basis	15	9	0	12	niet_basis	6	3	0	5	analyse	10	6	0	8	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw77282	1	0	14	9	7	7	6-9	14	9	7	11	9-14	4	2	0	3	basis	10	7	7	8	niet_basis	3	3	3	2	analyse	9	4	3	8	algebra	2	1	1	2	meetkunde	0	1	0	0	kansrekenen
19hw55067	1	0	11	6	13	6	6-9	11	6	13	9	9-14	3	1	2	3	basis	8	5	11	6	niet_basis	4	2	3	3	analyse	5	3	8	4	algebra	1	1	2	1	meetkunde	1	0	0	1	kansrekenen
19hw57763	1	1	20	8	2	12	10-14	20	8	2	17	15-21	5	1	0	5	basis	15	7	2	13	niet_basis	4	4	1	3	analyse	13	2	1	12	algebra	3	1	0	3	meetkunde	0	1	0	0	kansrekenen
19hw81467	1	1	24	6	0	15	>14	24	6	0	22	>=22	6	0	0	6	basis	18	6	0	16	niet_basis	8	1	0	8	analyse	12	4	0	11	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw81038	1	1	23	2	5	15	>14	23	2	5	22	>=22	5	0	1	5	basis	18	2	4	17	niet_basis	6	1	2	6	analyse	13	0	3	13	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw23045	1	1	26	2	2	17	>14	26	2	2	25	>=22	5	0	1	5	basis	21	2	1	20	niet_basis	8	1	0	8	analyse	14	0	2	14	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw34116	1	1	27	3	0	17	>14	27	3	0	26	>=22	6	0	0	6	basis	21	3	0	20	niet_basis	7	2	0	6	analyse	15	1	0	15	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw63399	1	1	25	5	0	16	>14	25	5	0	23	>=22	6	0	0	6	basis	19	5	0	17	niet_basis	7	2	0	6	analyse	13	3	0	12	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw89858	1	0	10	20	0	2	<6	10	20	0	3	<9	1	5	0	0	basis	9	15	0	4	niet_basis	4	5	0	2	analyse	4	12	0	0	algebra	1	3	0	0	meetkunde	1	0	0	1	kansrekenen
19hw17123	1	1	23	3	4	15	>14	23	3	4	22	>=22	5	1	0	5	basis	18	2	4	17	niet_basis	6	2	1	5	analyse	14	0	2	14	algebra	2	1	1	2	meetkunde	1	0	0	1	kansrekenen
19hw47635	1	1	27	3	0	17	>14	27	3	0	26	>=22	6	0	0	6	basis	21	3	0	20	niet_basis	7	2	0	6	analyse	15	1	0	15	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw89024	1	1	20	7	3	12	10-14	20	7	3	18	15-21	5	1	0	5	basis	15	6	3	13	niet_basis	8	1	0	8	analyse	9	4	3	8	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw69396	1	1	20	6	4	12	10-14	20	6	4	18	15-21	4	2	0	3	basis	16	4	4	15	niet_basis	6	3	0	5	analyse	9	3	4	8	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw91600	1	0	13	12	5	6	6-9	13	12	5	9	9-14	4	2	0	3	basis	9	10	5	6	niet_basis	5	4	0	4	analyse	6	5	5	4	algebra	2	2	0	1	meetkunde	0	1	0	0	kansrekenen
19hw42052	1	1	22	8	0	13	10-14	22	8	0	19	15-21	5	1	0	5	basis	17	7	0	15	niet_basis	6	3	0	5	analyse	13	3	0	12	algebra	3	1	0	3	meetkunde	0	1	0	0	kansrekenen
19hw80450	1	1	23	7	0	14	10-14	23	7	0	21	15-21	5	1	0	5	basis	18	6	0	16	niet_basis	6	3	0	5	analyse	13	3	0	12	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw78852	1	0	17	13	0	8	6-9	17	13	0	13	9-14	4	2	0	3	basis	13	11	0	9	niet_basis	4	5	0	2	analyse	10	6	0	8	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw89257	1	1	18	7	5	10	10-14	18	7	5	16	15-21	4	2	0	3	basis	14	5	5	12	niet_basis	6	2	1	5	analyse	8	4	4	7	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw62543	1	0	16	8	6	9	6-9	16	8	6	13	9-14	2	4	0	1	basis	14	4	6	13	niet_basis	6	1	2	6	analyse	8	4	4	7	algebra	2	2	0	1	meetkunde	0	1	0	0	kansrekenen
19hw33429	1	1	21	6	3	13	10-14	21	6	3	19	15-21	4	2	0	3	basis	17	4	3	16	niet_basis	8	1	0	8	analyse	10	3	3	9	algebra	3	1	0	3	meetkunde	0	1	0	0	kansrekenen
19hw85370	1	0	13	17	0	5	<6	13	17	0	7	<9	5	1	0	5	basis	8	16	0	3	niet_basis	1	8	0	0	analyse	10	6	0	8	algebra	1	3	0	0	meetkunde	1	0	0	1	kansrekenen
19hw57412	1	1	23	4	3	14	10-14	23	4	3	22	>=22	6	0	0	6	basis	17	4	3	16	niet_basis	7	1	1	7	analyse	13	2	1	12	algebra	2	1	1	2	meetkunde	1	0	0	1	kansrekenen
19hw81718	1	1	20	10	0	11	10-14	20	10	0	17	15-21	4	2	0	3	basis	16	8	0	13	niet_basis	4	5	0	2	analyse	12	4	0	11	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw73893	1	1	23	5	2	14	10-14	23	5	2	21	15-21	5	1	0	5	basis	18	4	2	17	niet_basis	8	1	0	8	analyse	12	2	2	11	algebra	3	1	0	3	meetkunde	0	1	0	0	kansrekenen
19hw13755	1	0	12	18	0	4	<6	12	18	0	6	<9	2	4	0	1	basis	10	14	0	5	niet_basis	3	6	0	1	analyse	8	8	0	5	algebra	1	3	0	0	meetkunde	0	1	0	0	kansrekenen
19hw51045	1	1	21	8	1	12	10-14	21	8	1	18	15-21	5	1	0	5	basis	16	7	1	14	niet_basis	6	3	0	5	analyse	10	5	1	8	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw46311	1	1	24	6	0	15	>14	24	6	0	22	>=22	5	1	0	5	basis	19	5	0	17	niet_basis	7	2	0	6	analyse	14	2	0	13	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw27005	1	1	26	3	1	17	>14	26	3	1	25	>=22	5	1	0	5	basis	21	2	1	20	niet_basis	9	0	0	9	analyse	12	3	1	11	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw30044	1	1	23	7	0	14	10-14	23	7	0	21	15-21	5	1	0	5	basis	18	6	0	16	niet_basis	7	2	0	6	analyse	12	4	0	11	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw61845	1	1	22	8	0	13	10-14	22	8	0	19	15-21	4	2	0	3	basis	18	6	0	16	niet_basis	6	3	0	5	analyse	14	2	0	13	algebra	2	2	0	1	meetkunde	0	1	0	0	kansrekenen
19hw61143	1	1	23	7	0	14	10-14	23	7	0	21	15-21	4	2	0	3	basis	19	5	0	17	niet_basis	8	1	0	8	analyse	12	4	0	11	algebra	3	1	0	3	meetkunde	0	1	0	0	kansrekenen
