ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
27082	1	D	B	C	D	C	B	A	C	A	D	B	B	C	A	D	C	D	X	A	A	A	B	C	D	B	C	B	C	D	D	A	A	D	C	B	A	D	C	B	B
24631	1	D	B	D	D	B	D	A	C	A	D	B	C	D	A	C	B	B	C	C	D	A	B	C	A	C	A	B	C	C	D	A	B	D	B	B	A	D	C	D	C
27190	1	A	A	C	D	D	B	B	C	X	D	B	B	C	C	D	X	B	D	C	C	A	C	C	D	B	C	B	A	C	A	B	A	D	C	B	A	D	C	D	B
25202	1	D	B	C	D	B	X	A	X	A	D	B	B	D	X	D	X	X	B	A	A	A	X	X	D	C	C	X	A	X	X	A	A	A	B	B	A	C	C	X	D
27495	1	D	B	C	A	X	X	X	C	B	D	X	B	C	C	X	X	C	X	D	D	A	D	C	A	X	C	B	A	B	X	A	B	C	B	B	A	B	C	B	D
27183	1	D	B	A	D	C	B	A	X	A	D	B	B	C	X	A	B	B	D	C	D	A	X	B	A	B	C	C	X	D	X	A	A	C	C	B	A	D	C	B	A
25972	1	D	B	D	D	B	B	D	C	A	D	B	B	C	C	D	B	B	D	D	D	A	B	C	D	C	C	B	C	D	D	A	A	D	C	B	A	C	C	B	C
23986	1	D	B	C	D	X	D	X	X	A	X	B	B	C	C	X	X	B	B	A	X	A	B	C	D	C	X	A	C	X	A	B	C	D	A	B	A	D	C	B	B
24707	1	D	B	D	D	B	D	A	X	A	D	B	B	C	A	X	B	A	C	C	D	A	X	C	D	B	C	B	C	D	D	A	A	D	C	C	A	C	C	B	C
24582	1	D	X	C	D	B	B	A	C	A	D	B	B	X	A	A	B	D	B	A	A	A	X	C	X	B	C	B	X	C	X	A	A	A	C	B	A	C	C	B	C
26738	1	D	B	C	D	B	B	A	C	D	D	C	B	X	D	D	B	X	D	A	D	A	X	C	D	B	A	C	C	D	D	A	B	D	C	B	A	C	C	B	B
26613	1	D	B	C	D	A	X	A	X	A	D	B	B	C	C	X	X	A	B	A	X	A	X	C	D	C	A	X	X	D	D	A	B	B	X	B	A	C	C	B	B
26759	1	C	X	C	D	D	X	X	B	X	D	X	C	D	C	X	C	X	B	D	C	D	B	C	D	B	D	B	X	D	D	A	D	D	A	B	D	C	C	B	B
25779	1	D	A	C	D	D	B	A	C	A	D	B	B	C	X	D	X	D	C	A	A	A	X	A	X	C	C	X	C	X	D	A	B	A	C	B	A	D	C	B	B
26390	1	D	C	C	D	C	B	A	X	A	D	B	B	D	D	D	B	D	X	C	A	A	B	C	D	B	D	X	C	D	D	A	D	A	A	B	A	C	C	B	B
27473	1	D	X	C	B	B	X	A	C	A	D	B	B	C	A	X	B	B	C	D	D	A	D	X	B	C	D	X	A	X	D	A	A	C	C	B	D	C	C	B	C
26529	1	D	D	B	D	B	A	A	C	A	D	B	B	C	B	D	A	A	X	C	A	A	D	C	D	X	D	A	A	X	D	A	A	X	B	B	A	B	D	X	C
24496	1	D	B	C	D	B	B	B	C	A	D	B	B	C	A	D	C	D	A	C	X	D	X	C	D	B	C	B	C	D	D	A	B	A	X	B	A	D	D	B	C
25748	1	D	B	C	D	C	D	B	X	A	D	X	X	C	B	C	B	B	D	C	D	C	C	A	C	B	C	B	C	X	D	A	B	D	C	B	A	D	C	B	A
25069	1	D	C	C	B	D	X	C	C	A	C	B	B	D	B	X	C	X	C	A	D	A	X	D	D	C	C	B	A	D	D	A	A	D	C	A	A	D	C	B	C
25194	1	D	A	C	D	B	B	X	D	X	D	B	B	C	C	D	B	A	B	C	A	C	X	B	D	B	C	B	A	D	D	A	D	B	D	B	A	C	D	C	C
25712	1	D	B	C	D	B	X	A	C	A	D	B	B	C	X	X	B	A	B	D	A	D	X	X	X	B	C	X	X	X	B	A	B	B	A	B	A	D	C	X	C
24742	1	D	B	C	D	C	B	A	C	A	D	B	B	C	A	D	C	D	B	B	A	A	A	C	D	B	C	X	A	C	D	A	D	A	B	B	D	D	C	B	C
26710	1	D	B	C	D	B	D	A	C	A	D	B	B	C	A	D	B	A	A	A	A	A	C	C	B	B	C	B	C	C	A	A	B	D	A	B	A	B	C	B	B
26342	1	D	B	C	D	B	B	B	B	A	D	B	B	C	A	D	B	B	X	C	D	A	B	C	D	B	C	B	B	A	D	D	B	X	C	C	B	D	C	B	C
26508	1	D	A	C	X	C	X	A	C	B	X	X	B	C	X	A	C	X	D	X	C	A	X	C	D	B	X	B	X	D	D	A	B	D	D	B	C	C	C	X	C
24810	1	D	B	C	D	X	X	A	C	A	D	C	B	C	A	B	X	C	X	C	X	A	X	X	C	A	D	X	X	D	X	A	B	A	C	B	A	D	C	X	D
26462	1	D	B	C	D	B	C	A	X	A	D	B	B	C	X	D	X	A	X	A	A	A	D	C	X	B	C	B	X	C	D	A	B	D	C	B	A	X	C	B	C
27100	1	D	B	C	D	C	B	A	C	A	D	B	B	C	A	D	C	D	B	A	A	A	D	C	D	B	C	B	C	C	D	A	A	D	C	B	A	C	C	B	B
27198	1	D	X	C	D	B	D	A	C	A	D	B	B	D	C	B	X	A	B	A	A	A	X	C	C	B	C	B	C	X	D	A	B	D	C	B	A	C	C	B	B
27341	1	D	X	C	B	A	B	A	C	A	D	B	B	D	A	X	X	X	A	D	D	A	C	C	A	C	A	C	D	A	X	A	A	D	A	A	B	D	C	B	C
24491	1	D	X	C	D	A	X	A	X	A	D	B	B	C	X	X	C	B	B	A	C	D	C	X	D	C	D	B	X	X	C	D	X	X	X	B	A	C	C	D	B
